# Jofré et al. 2014, A&A 564 A133 (2014A&A...564A.133J) — Table 5, golden Fe II lines. TRANSCRIBED AS PUBLISHED (RYA-161).
# Source PDF: 1309.1099v2.pdf  md5 ee1a047131ce2c3ebced51881e6a5d88
# loggf_ref_code is the paper's integer gf reference code. The decoder footnote did NOT typeset in this copy — see the module docstring. NOT resolvable to a bibliography key from here.
wavelength_air_A	elow_eV	log_gf	vdw_abo	loggf_ref_code
4923.93	2.8910	-1.260	175.202	158
4993.36	2.8070	-3.684	172.220	166
5264.81	3.2300	-3.130	186.300	158
5325.55	3.2210	-3.160	179.252	158
5414.07	3.2210	-3.580	185.303	158
5425.26	3.1990	-3.220	178.255	158
5534.85	3.2450	-2.865	178.239	166
5991.38	3.1530	-3.647	172.221	166
6084.11	3.1990	-3.881	173.223	166
6247.56	3.8920	-2.435	186.272	166
6432.68	2.8910	-3.570	169.204	158
6456.38	3.9030	-2.185	185.276	166
