18 Sco    16 15 37.27 -08 22 10.0 6.15   5.50  G2Va            table7.dat  table41.dat
61 Cyg A  21 06 53.95 +38 44 58.0 6.39   5.21  K5V             table8.dat  table42.dat
61 Cyg B  21 06 55.26 +38 44 31.4 7.40   6.03  K7V             table9.dat  table43.dat
alf Cen A 14 39 36.49 -60 50 02.4 0.72   0.01  G2V             table20.dat table54.dat
alf Cen B 14 39 35.06 -60 50 15.1 2.21   1.33  K1V             table21.dat table55.dat
alf Cet   03 02 16.77 +04 05 23.1 4.17   2.53  M1.5IIIa        table22.dat table56.dat
alf Tau   04 35 55.24 +16 30 33.5 2.40   0.86  K5III           table23.dat table57.dat
Arcturus  14 15 39.67 +19 10 56.7 1.18  -0.05  K1.5III         table10.dat table44.dat
bet Ara   17 25 17.99 -55 31 47.6 4.31   2.85  K3Ib-II         table24.dat table58.dat
bet Gem   07 45 18.95 +28 01 34.3 2.14   1.14  K0IIIb          table25.dat table59.dat
bet Hyi   00 25 45.07 -77 15 15.3 3.41   2.79  G0V             table26.dat table60.dat
bet Vir   11 50 41.72 +01 45 53.0 4.15   3.60  F9V             table27.dat table61.dat
del Eri   03 43 14.90 -09 45 48.2 4.46   3.54  K1III-IV        table28.dat table62.dat
eps Eri   03 32 55.84 -09 27 29.7 4.61   3.73  K2Vk:           table29.dat table63.dat
eps For   03 01 37.64 -28 05 29.6 6.68   5.85  K2VFe-1.3CH-0.8 table30.dat table64.dat
eps Vir   13 02 10.60 +10 57 32.9 3.71   2.79  G8III           table31.dat table65.dat
eta Boo   13 54 41.08 +18 23 51.8 3.250  2.680 G0IV            table32.dat table66.dat
gam Sge   19 58 45.43 +19 29 31.7 5.04   3.47  M0III           table33.dat table67.dat
Gmb1830   11 52 58.77 +37 43 07.2 7.20   6.45  G8Vp            table34.dat table68.dat
HD 107328 12 20 20.98 +03 18 45.3 6.12   4.96  K0IIIb          table11.dat table45.dat
HD 122563 14 02 31.85 +09 41 09.9 7.10   6.19  F8IV            table12.dat table46.dat
HD 140283 15 43 03.10 -10 56 00.6 7.711  7.212 sdF3            table12.dat table47.dat
HD 220009 23 20 20.58 +05 22 52.7 6.284  5.077 K2III           table14.dat table48.dat
HD 22879  03 40 22.06 -03 13 01.1 7.222  6.667 F9V             table15.dat table49.dat
HD 49933  06 50 49.83 -00 32 27.2 6.135  5.783 F2V             table16.dat table50.dat
HD 84937  09 48 56.10 +13 44 39.3 8.68   8.32  sdF5            table17.dat table51.dat
ksi Hya   11 33 00.12 -31 51 27.4 4.47   3.54  G7III           table35.dat table69.dat
mu Ara    17 44 08.70 -51 50 02.6 5.85   5.15  G3IV-V          table36.dat table70.dat
mu Cas    01 08 16.39 +54 55 13.2 5.86   5.17  G5Vb            table37.dat table71.dat
mu Leo    09 52 45.82 +26 00 25.0 5.10   3.88  K2III           table38.dat table72.dat
Procyon   07 39 18.12 +05 13 30.0 0.79   0.37  F5IV-V+DQZ      table18.dat table52.dat
psi Phe   01 53 38.74 -46 18 09.6 6.00   4.41  M4III           table39.dat table73.dat
Sun                                                            table19.dat table53.dat
tau Cet   01 44 04.08 -15 56 14.9 4.22   3.50  G8.5V           table40.dat table74.dat
