source_key,regime,parameter_coverage,diagnostics,spectra_geometry,resolution_snr,measurement,line_data_gf,blends_continuum,atmosphere,line_formation,collisions,C_O_equilibrium,isotopes,uncertainty,failure_limits,method_decision,source_locator
amarsi2020_solar_n,Sun,5773 K 3D; solar 1D MARCS,NI 7442.29 8216.33 8629.23 8683.40 10108.90 A,Jungfraujoch and Neckel/Labs disk-center intensity,High-resolution atlases; two EW sets agree <5%; no numeric universal SNR cut,EW; empirical CN subtraction using neighboring same-band lines,Tachiev/Froese Fischer 2002 MCHF; GRASP cross-check,4 CN-blended lines; equal line weights; perturbed 8216 wings,STAGGER 3D; mean3D; MARCS 1D,BALDER 3D NLTE and matched LTE controls,BSR electrons; LCAO plus free-electron H collisions,Empirical CN blend correction reduces molecular-model dependence,Not a fitted isotope ratio,0.05 dex systematic versus 0.002 dex mean standard error,High-excitation weak lines; EW/blend sensitivity,Replicate five exact indicators; preserve flux/intensity distinction,"Sections 2, 4; Tables 1-3"
amarsi2021_molecular_cno,Sun,Solar models; no stellar grid,59 CN AX (0-0); 13 NH rotational; 18 NH rovibrational,Solar disk-center intensity; ground-based and ATMOS,High-quality atlases; no universal numeric SNR threshold,EW-based iterative CNO solution,Brooke CN/NH transition calculations; Barklem/Collet EOS data,Weak carefully selected lines; trend audit,3D STAGGER; mean3D; ATMO; MARCS; HM74,LTE,Molecular NLTE not computed,Iterative coupled CNO; compositional errors; composition covariance omitted in individual propagation,CO isotopic correction +0.006 dex; no free N-isotope fit,Atmospheric/trend/composition/statistical; correlated atmosphere and composition across groups,Temperature sensitivity; NH UV electronic lines not retained,Use published line-specific model comparisons; extend covariance beyond paper,Tables 1-3; Section 3
asplund2021,Sun,Solar reference,5 NI; NH 13 rotational/15 fundamental; CN 59 plus 463 other-band lines,Compiled solar intensity analyses,See contributing papers,Synthesis of indicator results,Tachiev NI; Brooke molecular,Atomic-molecular disagreement retained,3D,NI NLTE; molecular LTE,Underlying NI model,CN carbon uncertainty propagated,Underlying molecular analysis,Atomic 7.77 vs molecular 7.90; recommendation 7.83 +/-0.07,Inventory differs from final Amarsi2021 paper,Do not conflate this inventory with A113 final 90 N molecular lines,Publisher PDF page 8; Table 3
mashonkina2024,Sun and A-F stars,Sun plus 11 stars; Table 2 hot sample,Same five solar NI; additional stellar NI,Kurucz1984 solar flux; high-resolution stellar spectra,Solar R about 520000; stellar spectra Table 2/Section 4,Profile synthesis; whole-region versus NI-core fitting,Tachiev NI; Brooke CN; VALD3 blends,CaII/HI wings; local versus physical continuum; C+0.1 probes,Solar MARCS; stellar LLmodels,DETAIL departures; SynthV_NLTE,Wang BSR electron; Amarsi/Barklem H; approximate uncovered transitions,Solar C=8.43 fixed; tested C=8.53,No free N isotope fit,Solar 7.92 +/-0.03 scatter; not a complete external systematic budget,0.12/0.05 dex continuum shifts; hybrid 3D correction is not full 3D NLTE,Competing primary explanation; test matching flux and continuum before ranking results,Sections 2-4; Tables 1-3; Figs 3-4
suarez2016,Planet-host FGK dwarfs/subgiants,4583-6431 K; logg 3.69-4.82; metallicity -0.45 to +0.55; exclude <5000 K,NH 3345-3375 A,UVES stellar flux,R 80000; mean SNR 150 in NH,MOOG/FITTING synthesis,Ecuvillon list solar-calibrated to A(N)=8.05; D0 3.37 eV,Model-guided normalization; crowded UV,ATLAS9 1D,LTE,Not applicable,Atmospheric composition fixed; no full CNO covariance,Not established in inspected method,Parameter perturbations; continuum 0.1 dex allowance,Cool-star opacity and continuum; tuned gf,Observational feasibility only; solar-tuned gf cannot enter canonical_gf,Sections 2-3
botelho2020,Solar twins,Solar-twin sample; stellar parameters Table 1,CN BX 4180.02 4192.94 4193.40 4195.95 4212.25 A,HARPS stellar flux and reflected solar reference,R 115000; CN local SNR 200-500,Line-by-line synthesis with narrow feature windows,VALD atomic plus Kurucz/Brooke molecular; explicit per-line solar gf calibration,Detailed blends; feature-specific continuum sidebands,ATLAS9 1D,LTE,Not applicable,C determined first; O input; N refitted,12C13C and 14N15N tests; selected abundance lines insensitive within errors,Photon/continuum and parameter terms,Differential precision does not establish absolute gf accuracy,Candidate blue windows; rebuild with physical gf rather than import calibrated values,Sections 2-3; Table 3
smith2013,K/M/MS giants,Five benchmark giants; atmosphere parameters Table 1,H-band CN AX with CO/OH and 13CO,KPNO FTS stellar flux,R 45000-100000; H 15000-17000 A,Full spectral synthesis,Kurucz CN with Melendez/Barbuy updates; source audit needed,Multi-species blends; dense CN in metal-rich giant,ATLAS9 1D,LTE,Not applicable,Iterate CO then OH to convergence; CN then N; C/O <=1,12C13C measured,Atmospheric finite differences and significant covariance terms,Dredge-up changes photospheric C/N; sample not entire APOGEE hull,Use coupled CNO and isotopes; separate present surface from natal abundances,"Sections 2, 4.2, 4.4; Tables 4-7"
spite2005,Extremely metal-poor giants,35 stars; metallicity -4.1 to -2.0,NH 336 nm; CN 388.8 nm where detected,UVES stellar flux,R 47000 at 400 nm; UV SNR about 30,Molecular spectrum synthesis,Older NH line data; CN comparison,UV continuum and molecular weaknesses,1D,LTE,Not applicable,C/O from companion analysis,Mixing diagnostics used,NH/CN 0.4 dex offset; historical empirical correction,Molecular data uncertain; 3D not fully accounted; stellar mixing,Historical failure evidence only; do not apply -0.4 dex correction universally,Sections 2-3
spite2022,Metal-poor dwarfs,4870-6400 K; metallicity -2.18 to -0.75 in Table 2,NH AX near 336 nm,UVES/HIRES and other stellar flux spectra,Per-instrument spectra Table 1; no one SNR assigned here,Turbospectrum molecular synthesis,Fernando2018 NH; compared to Kurucz,NH profile comparison; observed-spectrum fits,MARCS 1D,LTE,Not applicable,N-rich sample; C/O measured separately,Not established in inspected NH method,Line-list comparison yields 0.50 dex over 3357-3365 A,0.44-0.52 dex varying by feature; not an NLTE correction,Modern NH data mandatory; no universal legacy-list abundance offset,Section 3.2; Fig 2; Tables 1-2
li2023_n,Atomic data; solar validation,103 lowest NI states; 1701 E1 transitions,Exact five Amarsi solar transitions in Table 7,Atomic calculations; solar validation reuses Amarsi EWs,Not an observational survey,MCDHF/RCI; first-order gf abundance comparison,Babushkin/Coulomb gauges; explicit experimental comparisons,No new deblending experiment,Atomic-structure calculation,Not a new stellar NLTE solve,Not a collision grid,Not applicable,Not applicable,Gauge/convergence/statistical grade assessment; gauges not independent experiments,Theory wavelengths need level-based matching; laboratory measurements exist,Preferred new theory candidate for adjudication; no automatic solar-result-driven replacement,"Tables 4, 6, 7; Section 3.3"
