element,A_authoritative,verdict,channel,scale,n_lines,source
Fe,7.516,PASS,"EW: 62 Fe I + 3 Fe II, NLTE-wired (Bergemann MPIA)",1D-NLTE (Fe I),62,phase_c_verdict (RYA-521)
C,8.491,PASS,synthesis: CH G-band + C I 5052 + C2 Swan (C I 5380 BAD_FIT-excluded),synthesis,5,phase_c_verdict (RYA-521)
O,8.735,PASS,synthesis: O I 777 (primary) + [O I] 6300 (cross-check),synthesis,3,phase_c_verdict (RYA-521)
Mg,,CURATION-OWED,EW present; no independent-gf line survives the graded cull,EW 1D-LTE/NLTE,0,phase_c_verdict (RYA-521)
Si,7.888,CURATION-OWED,"EW: 7 curated line(s), graded-gf (RYA-395/398)",EW 1D-LTE/NLTE,7,phase_c_verdict (RYA-521)
Ca,6.324,CURATION-OWED,"EW: 2 curated line(s), low-confidence (RYA-395/398)",EW 1D-LTE/NLTE,2,phase_c_verdict (RYA-521)
Ti,5.471,CURATION-OWED,"EW: 10 curated line(s), graded-gf (RYA-395/398)",EW 1D-LTE/NLTE,10,phase_c_verdict (RYA-521)
Ni,6.946,CURATION-OWED,"EW: 2 curated line(s), low-confidence (RYA-395/398)",EW 1D-LTE/NLTE,2,phase_c_verdict (RYA-521)
Na,6.264,CURATION-OWED,"EW: 2 curated line(s), low-confidence (RYA-395/398)",EW 1D-LTE/NLTE,2,phase_c_verdict (RYA-521)
P,6.61,CURATION-OWED,kittpeak: P I 10581/10596 near-IR multiplet,atlas 1D,2,phase_c_verdict (RYA-521)
S,7.753,CURATION-OWED,"EW: 2 curated line(s), low-confidence (RYA-395/398)",EW 1D-LTE/NLTE,2,phase_c_verdict (RYA-521)
N,8.202,NLTE-OWED,kittpeak: N I red 7442/7468 + 8216/8223 + 8680-8718 (NH/CN blue-edge flagged),atlas 1D,3,phase_c_verdict (RYA-521)
Co,6.128,CURATION-OWED,"kittpeak: Co I 3845 (blue-edge, SNR-limited)",atlas 1D,1,phase_c_verdict (RYA-521)
Cr,6.022,CURATION-OWED,"EW: 7 curated line(s), graded-gf (RYA-395/398)",EW 1D-LTE/NLTE,7,phase_c_verdict (RYA-521)
Al,7.406,CURATION-OWED,"EW: 1 curated line(s), low-confidence (RYA-395/398)",EW 1D-LTE/NLTE,1,phase_c_verdict (RYA-521)
K,5.099,PASS,kittpeak: K I 7699 (clean; 7665 in the telluric O2 A-band) — NLTE-wired,atlas 1D,1,phase_c_verdict (RYA-521)
Ba,,CURATION-OWED,EW present; no independent-gf line survives the graded cull,EW 1D-LTE/NLTE,0,phase_c_verdict (RYA-521)
Y,,CURATION-OWED,EW present; no independent-gf line survives the graded cull,EW 1D-LTE/NLTE,0,phase_c_verdict (RYA-521)
V,3.917,CURATION-OWED,HFS synthesis LTE: V I 6 lines — NLTE-VOID (no model atom),synthesis,6,phase_c_verdict (RYA-521)
Cu,4.345,CURATION-OWED,"HFS synthesis: Cu I 5 lines (5105/5218/5220/5700/5782), gf=Kock&Richter, NLTE vendored RYA-402 b-factor (live .grd offline)",synthesis,5,phase_c_verdict (RYA-521)
Mn,5.47,PASS,"HFS synthesis: Mn I 3 lines (6013/6016/6021, Den Hartog e6S→z6P), gf=Den Hartog+2011 (MED), NLTE live Amarsi HFS-resolved",synthesis,3,phase_c_verdict (RYA-521)
Sc,3.203,CURATION-OWED,"kittpeak: Sc II 4246 (blue-edge, HFS)",atlas 1D,1,phase_c_verdict (RYA-521)
Li,0.727,CURATION-OWED,"EW: Li I 6707 (single line, UPPER LIMIT)",EW (upper limit),1,phase_c_verdict (RYA-521)
Eu,,CURATION-OWED,EW present; no independent-gf line survives the graded cull,EW 1D-LTE/NLTE,0,phase_c_verdict (RYA-521)
Zr,,CURATION-OWED,EW present; no independent-gf line survives the graded cull,EW 1D-LTE/NLTE,0,phase_c_verdict (RYA-521)
Sr,4.961,CURATION-OWED,"EW: 1 curated line(s), low-confidence (RYA-395/398)",EW 1D-LTE/NLTE,1,phase_c_verdict (RYA-521)
