# solar gold-standard abundance reference — RYA-469 (write-once, immutable)
# version: v4
# frozen_utc: 2026-08-14T05:11:01Z
# source_commit: 17a08c474fbb
# source_file: data/reference/solar/solar_abundances_v4_candidate.csv
# fe_anchor_a_fe1: 7.466
# verdict: PASS=7 NLTE-OWED=? CURATION-OWED=19 DATA-GAP=0
# changelog: RYA-811 — LABEL-ONLY re-freeze: the Fe I row method_scale 1D-NLTE (Fe I) -> 3D-NLTE (Fe I). The VALUE 7.466 is UNCHANGED and was always correct — v3 froze a post-Magic-2013 3D value under a pre-correction 1D label (the RYA-669 defect), which made solar_scale_provenance.resolve_gold_scale refuse to load gold and blocked phase_c. Every other row byte-identical.
# supersedes: v3
# immutable: editing this file trips the RYA-469 immutability guard
element,ion,A_X,A_X_nlte,confidence,verdict,method_scale,asplund2021,n_lines,source,note
Fe,I,7.466,7.466,gold,PASS,3D-NLTE (Fe I),7.46,62,phase_c_verdict (RYA-521),"3D-corrected value: the tabulated Magic-2013 1D→3D solar Fe offset IS APPLIED (RYA-553 ported 7.516 → 7.466), so this number sits on the 3D scale and reads +0.006 against Asplund 3D-true 7.46. The v3 label said 1D-NLTE beside this 3D value, which made phase_c re-arm the correction and double-apply it (RYA-669: A(Fe I) drifted to 7.416 with all nine gates green). RYA-811 fixes the LABEL only — the value is unchanged and was already correct, and RYA-681 had already re-keyed the idempotency guard on the value rather than the label."
C,I,8.491,8.491,gold,PASS,synthesis,8.46,5,phase_c_verdict (RYA-521),CH G-band + C I (RYA-237)
O,I,8.735,8.735,gold,PASS,synthesis,8.69,3,phase_c_verdict (RYA-521),O I 777 + [O I] 6300 (RYA-237)
Mg,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,7.55,0,phase_c_verdict (RYA-521),EW present; no independent-gf line survives the graded cull
Si,I,7.888,7.888,gf_floor,CURATION-OWED,EW 1D-LTE/NLTE,7.51,7,phase_c_verdict (RYA-521),characterized gf-scale floor (+0.38); 3D not the lever (RYA-398/399)
Ca,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,6.3,2,phase_c_verdict (RYA-521),EW: 2 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
Ti,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,4.97,10,phase_c_verdict (RYA-521),EW: 10 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
Ni,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,6.2,2,phase_c_verdict (RYA-521),EW: 2 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
Na,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,6.24,2,phase_c_verdict (RYA-521),EW: 2 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
P,I,,,owed,CURATION-OWED,atlas 1D,5.41,2,phase_c_verdict (RYA-521),"near-IR multiplet, gf-limited (RYA-460) — A(X) 6.610 HELD at tier 'owed' (RYA-522), not frozen"
