element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
C,I,7111.461,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0708[uncorrected: no telluric band registered]",8.479,,1D-LTE,True,,8.64,False,0.41541589625418696,0.04299329700087875,3.0532013072346107,44.507,0.0,"none — LTE, no departure applied",native,,,,,,,,
C,I,7113.171,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0708[uncorrected: no telluric band registered]",8.478,,1D-LTE,True,,8.647,False,0.13486279701071313,0.09638233093994233,3.051832640376727,45.63,0.0,"none — LTE, no departure applied",native,,,,,,,,
C,I,8335.147,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_8100_8400.txt",8.597,,1D-LTE,True,,7.685,False,0.0385455229140289,6.489784474387466,3.1707910376575317,13.769,0.0,"none — LTE, no departure applied",native,,,,,,,,
C,I,8727.139,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0872[uncorrected: no telluric band registered]",8.539,,1D-LTE,True,,1.264,False,0.10608536542001665,0.10047847095256313,3.1133733160339965,6.244,0.0,"none — LTE, no departure applied",native,,,,,,,,
C,I,9061.43,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0904[uncorrected: no telluric band registered]",9.437,,1D-LTE,True,,7.483,False,0.20085522865208136,0.6159504104544781,3.989353023763824,500.101,0.0,"none — LTE, no departure applied",native,,,,,,,,
C,I,9062.47,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0904[uncorrected: no telluric band registered]",9.917,,1D-LTE,True,,7.48,False,0.08142103900606674,3.046819479842895,3.5092743552938757,185.909,0.0,"none — LTE, no departure applied",native,,,,,,,,
C,I,9078.28,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0904[uncorrected: no telluric band registered]",9.071,,1D-LTE,True,,7.483,False,0.26563453551567984,0.39357923266268585,3.6448385766775697,324.672,0.0,"none — LTE, no departure applied",native,,,,,,,,
C,I,9088.508,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0908[uncorrected: no telluric band registered]",8.891,,1D-LTE,True,,7.483,False,0.09442281054843199,1.873428905945161,3.4652636012511433,58.531,0.0,"none — LTE, no departure applied",native,,,,,,,,
C,I,9094.829,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0908[uncorrected: no telluric band registered]",9.897,,1D-LTE,True,,7.488,False,0.13462468053076995,1.2593765784606508,3.528885197821321,460.615,0.0,"none — LTE, no departure applied",native,,,,,,,,
C,I,9111.799,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0908[uncorrected: no telluric band registered]",8.695,,1D-LTE,True,,7.488,False,0.030550549625579716,16.05361563650288,3.269281676087955,10.329,0.0,"none — LTE, no departure applied",native,,,,,,,,
