element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,II,3002.644,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.47,,1D-LTE,True,,1.6953,False,0.11288738204287874,6.96862942495798,2.9735441560667377,33.97,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,3170.337,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.758,,1D-LTE,True,,1.6953,False,0.11843137664085715,3.3166981156918913,3.2624135863551587,222.585,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,3183.114,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.599,,1D-LTE,True,,1.6953,False,0.1057800180561109,6.156846356335267,3.103136961060887,123.186,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,3186.737,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.709,,1D-LTE,True,,1.6953,False,0.0802060748932259,12.051885936291956,3.212848560962131,76.104,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,3192.909,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.674,,1D-LTE,True,,1.6706,False,0.20420081634230058,13.173088629217172,3.1776347864868084,86.086,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,3193.799,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.79,,1D-LTE,True,,1.724,False,0.04759616748521225,6.323053495698124,3.2935597202966704,72.826,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,3196.07,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.826,,1D-LTE,True,,1.6706,False,0.07152253692438999,23.776883235685982,3.3300109418856962,47.229,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,3210.444,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.491,,1D-LTE,True,,1.724,False,0.04695539553028724,8.187954784789262,2.9952990841871543,64.333,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,3213.309,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.636,,1D-LTE,True,,1.6953,False,0.07473654103208384,8.5721047329146,3.139569769074946,77.627,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,3227.742,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.382,,1D-LTE,True,,1.6706,False,0.02893981566515267,18.084093636180622,2.88566399228914,30.912,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,3255.887,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.466,,1D-LTE,True,,0.9863,False,0.0433831260411241,12.407173824546495,2.9698223901405685,41.454,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,II,3277.348,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.228,,1D-LTE,True,,0.9863,False,0.03814421344351045,13.506629179191895,2.732114386910334,36.173,0.0,"none — LTE, no departure applied",native,,,,,,,,
