element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,3067.244,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0304[uncorrected: no telluric band registered]",8.525,,1D-LTE,True,,0.9146,False,0.01636708966608849,0.8604657164765702,3.9714209729223082,42.504,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3083.741,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0308[uncorrected: no telluric band registered]",7.441,,1D-LTE,True,,0.9901,False,0.02442430368809558,2.252863880277613,2.9453572454660453,52.264,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3099.894,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0308[uncorrected: no telluric band registered]",7.405,,1D-LTE,True,,1.0111,False,0.023205139459495618,6.23711248693249,2.9088540865378745,34.663,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3100.665,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0308[uncorrected: no telluric band registered]",8.308,,1D-LTE,True,,0.9582,False,0.02415896980764689,4.456030579713928,3.8115241784267857,32.428,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3125.651,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0312[uncorrected: no telluric band registered]",7.702,,1D-LTE,True,,0.9901,False,0.124570342050016,2.71211197515141,3.205916949871993,258.35,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3211.986,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0320[uncorrected: no telluric band registered]",7.147,,1D-LTE,True,,2.3992,False,0.02169170798128576,8.691387784685743,2.651100662867149,36.575,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3217.377,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0320[uncorrected: no telluric band registered]",7.196,,1D-LTE,True,,2.3992,False,0.03910885513764325,2.7690956975286327,2.6998495489324617,38.863,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3225.787,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0320[uncorrected: no telluric band registered]",7.679,,1D-LTE,True,,2.3992,False,0.07010318918447006,14.509401145180341,3.1825246325920613,70.007,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3227.795,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0320[uncorrected: no telluric band registered]",7.387,,1D-LTE,True,,2.4254,False,0.019665604408827777,20.302866576968164,2.8910910536540753,30.702,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3228.249,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0320[uncorrected: no telluric band registered]",7.286,,1D-LTE,True,,2.4688,False,0.023171210255748795,18.781457388233008,2.789606914893324,45.578,0.0,"none — LTE, no departure applied",native,,,,,,,,
