element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,4289.08,harps,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv",7.566,,1D-LTE,True,,3.368,False,0.18524507485831543,0.692282030538635,3.0704994706776683,375.358,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4372.982,harps,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv",7.61,,1D-LTE,True,,3.017,False,0.23453152345409017,0.6695556856802869,3.1140517345538763,430.707,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4488.906,harps,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv",7.696,,1D-LTE,True,,3.654,False,0.09716651644590135,5.167909451280556,3.2000899768009035,52.419,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4495.391,harps,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv",7.278,,1D-LTE,True,,2.885,False,0.038486186646209036,2.22937938973082,2.781952266526896,112.253,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4531.636,harps,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv",7.698,,1D-LTE,True,,3.634,False,0.05523960923196573,5.94134537134138,3.2018924960590898,54.893,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4554.451,harps,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv",7.36,,1D-LTE,True,,2.865,False,0.08127847832879705,0.8020757548032695,2.864393658283178,70.149,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4565.662,harps,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv",7.45,,1D-LTE,True,,3.241,False,0.027160426000752455,8.889289530053846,2.9536856269679648,30.611,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4574.216,harps,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv",7.722,,1D-LTE,True,,3.211,False,0.06524891014125185,2.8328310545206827,3.225518490626561,58.188,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4611.184,harps,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv",7.313,,1D-LTE,True,,2.851,False,0.06929849060681981,3.5372820887061454,2.817343319920078,68.656,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4708.968,harps,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv",7.789,,1D-LTE,True,,3.64,False,0.0691456214655441,2.9540615323825006,3.2926288744267094,88.56,0.0,"none — LTE, no departure applied",native,,,,,,,,
