element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,4289.08,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.475,,ENGINE-B-NLTE,True,,3.368,False,0.16288322226236457,0.6880139897261421,2.9793505002813134,349.476,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4372.982,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.399,,ENGINE-B-NLTE,True,,3.017,False,0.14539407201170204,0.9129278563249308,2.902978282248866,320.75,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4488.906,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.424,,ENGINE-B-NLTE,True,,3.654,False,0.034600948678503975,15.993207846355252,2.927766598251666,17.238,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4495.391,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.05,,ENGINE-B-NLTE,True,,2.885,False,0.02735207222187126,1.928154788142334,2.553911683239969,83.138,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4531.636,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.506,,ENGINE-B-NLTE,True,,3.634,False,0.023583417601638058,56.964505671375136,3.010400807050501,12.07,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4554.451,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.335,,ENGINE-B-NLTE,True,,2.865,False,0.05944720704700742,1.2300164498480792,2.8387034453032136,35.859,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4565.662,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.411,,ENGINE-B-NLTE,True,,3.241,False,0.019045868877867814,17.69341236590664,2.914742698278806,12.453,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4574.216,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.568,,ENGINE-B-NLTE,True,,3.211,False,0.021030689340713473,32.00333256066567,3.071953329348027,9.302,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4611.184,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.176,,ENGINE-B-NLTE,True,,2.851,False,0.04197923306797703,16.029383081699216,2.6799164579173853,36.069,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4708.968,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.658,,ENGINE-B-NLTE,True,,3.64,False,0.01778740030975942,56.14293229441565,3.162232703007822,7.339,0.0,"none — LTE, no departure applied",native,,,,,,,,
