element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,4289.08,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.508,,synth-mean3D-LTE-gerber-stagger,True,,3.368,False,0.15561343788505907,0.7003387208884831,3.0117386179305408,358.065,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4372.982,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.421,,synth-mean3D-LTE-gerber-stagger,True,,3.017,False,0.1646024216292475,0.908281714231098,2.9248665786202945,325.794,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4488.906,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.496,,synth-mean3D-LTE-gerber-stagger,True,,3.654,False,0.035490963055260866,22.249320298696396,2.9999412428831844,13.079,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4495.391,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.101,,synth-mean3D-LTE-gerber-stagger,True,,2.885,False,0.02762969040798329,2.1433843749668853,2.6047739200320743,79.898,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4531.636,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.55,,synth-mean3D-LTE-gerber-stagger,True,,3.634,False,0.02971738811834197,38.38001682255279,3.05396762363375,16.577,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4554.451,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.317,,synth-mean3D-LTE-gerber-stagger,True,,2.865,False,0.06704980618046062,1.1013314772326739,2.8211086149406075,40.115,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4565.662,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.407,,synth-mean3D-LTE-gerber-stagger,True,,3.241,False,0.013848677394310982,32.92773667153598,2.9110137806245007,7.034,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4574.216,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.596,,synth-mean3D-LTE-gerber-stagger,True,,3.211,False,0.018053085981963885,49.28493327320208,3.1001814737717774,6.046,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4611.184,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.196,,synth-mean3D-LTE-gerber-stagger,True,,2.851,False,0.04134361295338634,16.079781464523556,2.6999589376103534,35.156,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4708.968,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.677,,synth-mean3D-LTE-gerber-stagger,True,,3.64,False,0.018154449421018303,55.092208015446374,3.180857371937466,7.501,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4720.962,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.477,,synth-mean3D-LTE-gerber-stagger,True,,4.154,False,0.030331212029085106,6.7145214457700835,2.9809119456557935,11.228,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4726.137,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.325,,synth-mean3D-LTE-gerber-stagger,True,,2.998,False,0.05674110708111671,0.9442970948978686,2.8286092454576677,25.013,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4741.069,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.55,,synth-mean3D-LTE-gerber-stagger,True,,3.332,False,0.09554206956211816,2.7120391729412683,3.053824430591403,118.04,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4787.827,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.567,,synth-mean3D-LTE-gerber-stagger,True,,2.998,False,0.021069947397500597,22.469479973090746,3.071138259407183,4.351,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4807.708,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.656,,synth-mean3D-LTE-gerber-stagger,True,,3.368,False,0.016132903886827317,37.80565108420966,3.159652157141596,5.486,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4860.978,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.873,,synth-mean3D-LTE-gerber-stagger,True,,3.397,False,0.27688392210219887,0.060649397580653484,3.37730388631656,102.398,0.0,"none — LTE, no departure applied",native,,,,,,,,
