element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,4289.08,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0428[uncorrected: no telluric band registered]",7.527,,synth-mean3D-NLTE-gerber-stagger,True,,3.368,False,0.16274779289923327,0.5809563273543245,3.0308731774099096,436.959,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4372.982,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0436[uncorrected: no telluric band registered]",7.475,,synth-mean3D-NLTE-gerber-stagger,True,,3.017,False,0.16516391565387561,0.9129354321837142,2.9792916934607137,339.039,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4488.906,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0448[uncorrected: no telluric band registered]",7.507,,synth-mean3D-NLTE-gerber-stagger,True,,3.654,False,0.03737351197136998,19.691625108677844,3.011188169240792,15.261,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4495.391,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0448[uncorrected: no telluric band registered]",7.189,,synth-mean3D-NLTE-gerber-stagger,True,,2.885,False,0.06490093753044406,1.833225581347904,2.6926975017558403,90.697,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4531.636,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0452[uncorrected: no telluric band registered]",7.586,,synth-mean3D-NLTE-gerber-stagger,True,,3.634,False,0.02640535107214237,45.17670900189428,3.0902266240190164,13.625,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4554.451,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0452[uncorrected: no telluric band registered]",7.387,,synth-mean3D-NLTE-gerber-stagger,True,,2.865,False,0.06754597199932924,1.1094744098292997,2.8911348978783273,43.343,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4565.662,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0456[uncorrected: no telluric band registered]",7.48,,synth-mean3D-NLTE-gerber-stagger,True,,3.241,False,0.030155684358808554,26.06797903252834,2.983680089157655,9.146,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4574.216,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0456[uncorrected: no telluric band registered]",7.676,,synth-mean3D-NLTE-gerber-stagger,True,,3.211,False,0.02193397344921567,44.30336296326654,3.1796062498752873,7.255,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4611.184,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0460[uncorrected: no telluric band registered]",7.259,,synth-mean3D-NLTE-gerber-stagger,True,,2.851,False,0.0454135129042415,13.758531407515372,2.7631395840101627,39.043,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4708.968,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0468[uncorrected: no telluric band registered]",7.768,,synth-mean3D-NLTE-gerber-stagger,True,,3.64,False,0.026784763840023817,36.742721258058815,3.271768615330088,12.028,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4720.962,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0468,lm0472[uncorrected: no telluric band registered]",7.536,,synth-mean3D-NLTE-gerber-stagger,True,,4.154,False,0.04846309531386691,2.14937049284708,3.040303242176976,42.042,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4726.137,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0472[uncorrected: no telluric band registered]",7.397,,synth-mean3D-NLTE-gerber-stagger,True,,2.998,False,0.03526989780913279,3.4218416945208414,2.900824819653966,7.686,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4741.069,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0472[uncorrected: no telluric band registered]",7.581,,synth-mean3D-NLTE-gerber-stagger,True,,3.332,False,0.06760627357433517,2.791994643146835,3.085390563549101,118.825,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4787.827,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0476[uncorrected: no telluric band registered]",7.621,,synth-mean3D-NLTE-gerber-stagger,True,,2.998,False,0.013732324127732645,24.18451209254691,3.125087225361858,4.023,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,4807.708,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0480[uncorrected: no telluric band registered]",7.693,,synth-mean3D-NLTE-gerber-stagger,True,,3.368,False,0.015344604713981842,47.680343252046384,3.1971592477183464,4.253,0.0,"none — LTE, no departure applied",native,,,,,,,,
