element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,5023.498,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.586,,synth-1D-LTE-gerber,True,,4.313,False,0.024720101591422666,4.449940997840542,3.089824229822817,32.898,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5099.077,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.47,,synth-1D-LTE-gerber,True,,3.984,False,0.03425802730999271,14.079726530837952,2.973803538494586,60.346,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5129.631,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.608,,synth-1D-LTE-gerber,True,,3.943,False,0.054601900286509006,1.6043359232511396,3.1118586542425923,74.83,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5285.127,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.652,,synth-1D-LTE-gerber,True,,4.435,False,0.03796397513788414,1.271094088339157,3.156306396116624,68.045,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5288.525,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.378,,synth-1D-LTE-gerber,True,,3.695,False,0.06360010445661785,1.53100063630718,2.88195645384455,115.685,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5373.709,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.468,,synth-1D-LTE-gerber,True,,4.473,False,0.06409635282093648,1.6819690236675924,2.971801025849521,91.169,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5379.574,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.492,,synth-1D-LTE-gerber,True,,3.695,False,0.06452703903046511,2.612330123635681,2.996261398443666,73.686,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5403.822,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.291,,synth-1D-LTE-gerber,True,,4.076,False,0.027794242238426914,12.951914769699444,2.7946724030884447,71.735,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5473.9,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.565,,synth-1D-LTE-gerber,True,,4.154,False,0.06559579137497028,3.937154014492089,3.068763851931144,73.724,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5481.438,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.597,,synth-1D-LTE-gerber,True,,4.191,False,0.04246024863078564,4.6371967228234805,3.101299911088841,80.033,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5483.099,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.516,,synth-1D-LTE-gerber,True,,4.154,False,0.06359684267086006,1.3929033147091332,3.0200668218997615,84.868,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5493.499,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.888,,synth-1D-LTE-gerber,True,,4.103,False,0.07134170599420087,0.3872544663902156,2.3923755033308582,150.036,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5532.747,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.279,,synth-1D-LTE-gerber,True,,3.573,False,0.03664017380468744,2.1581307746629204,2.7827145211060005,54.496,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5538.516,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.547,,synth-1D-LTE-gerber,True,,4.218,False,0.049627296357260736,1.4404763796384137,3.051476991475444,57.824,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5554.894,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.388,,synth-1D-LTE-gerber,True,,4.549,False,0.054503329847859196,3.0331426878529664,2.892389720590824,106.616,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5563.6,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.423,,synth-1D-LTE-gerber,True,,4.191,False,0.0421791552070294,4.264775190635712,2.9266836189971572,79.2,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5573.102,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.478,,synth-1D-LTE-gerber,True,,4.191,False,0.03341436022719546,6.542928043283688,2.981673476800707,77.606,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5602.767,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.557,,synth-1D-LTE-gerber,True,,4.154,False,0.057844595272207096,5.060603634069303,3.0610442666610496,71.32,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5618.632,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.417,,synth-1D-LTE-gerber,True,,4.209,False,0.055507457482305976,1.583528965806463,2.921094527726206,81.014,0.0,"none — LTE, no departure applied",native,,,,,,,,
