element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,5002.792,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.08,,synth-1D-LTE-gerber,True,,3.397,False,0.03833862959052125,3.697269920637195,2.584448666366053,77.352,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5005.712,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.262,,synth-1D-LTE-gerber,True,,3.884,False,0.01563161608523806,28.427359621439226,2.7662431330578245,25.335,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5014.942,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.256,,synth-1D-LTE-gerber,True,,3.943,False,0.02803083142051968,11.589492067254644,2.759779324365611,42.783,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5022.235,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.889,,synth-1D-LTE-gerber,True,,3.984,False,0.041074858110434424,3.412034253670823,2.3933605991728637,121.802,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5023.498,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.586,,synth-1D-LTE-gerber,True,,4.313,False,0.024720101591422666,4.449940997840542,3.089824229822817,32.898,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5028.126,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.476,,synth-1D-LTE-gerber,True,,3.573,False,0.030443449418141998,10.86067088689608,2.9798342287209634,44.082,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5039.251,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.4,,synth-1D-LTE-gerber,True,,3.368,False,0.030709348985921408,11.4737020582332,2.9037185931129965,22.609,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5048.436,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.317,,synth-1D-LTE-gerber,True,,3.96,False,0.041099663134806744,3.648917263513044,2.8212225233351376,66.344,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5098.573,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.516,,synth-1D-LTE-gerber,True,,3.929,False,0.027185971288426314,16.667077926600804,3.0198894340307314,40.115,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,5099.077,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.62 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.47,,synth-1D-LTE-gerber,True,,3.984,False,0.03425802730999271,14.079726530837952,2.973803538494586,60.346,0.0,"none — LTE, no departure applied",native,,,,,,,,
