element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,6916.68,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.477,,1D-LTE,True,,4.154,False,0.056177834306839966,1.8980001690129797,2.9814422991706797,39.694,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,6977.429,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.389,,1D-LTE,True,,4.593,False,0.055199624077350996,0.46667683625930934,2.8926544678647623,38.636,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,6999.883,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.567,,1D-LTE,True,,4.103,False,0.06739682968118355,1.225034418560955,3.07100908180814,60.647,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,7007.966,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.386,,1D-LTE,True,,4.178,False,0.058202707685154696,0.5085162125838227,2.8895397815841397,35.639,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,7016.39,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.459,,1D-LTE,True,,4.154,False,0.04416253936328372,2.9232546504654264,2.9626933166445584,51.657,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,7022.952,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.455,,1D-LTE,True,,4.191,False,0.044439692505123606,3.418504148013013,2.959466458782316,27.754,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,7071.86,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.733,,1D-LTE,True,,4.607,False,0.20560213674774255,0.026552033544734205,2.2373384401885774,69.61,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,7130.921,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.504,,1D-LTE,True,,4.218,False,0.06806591962109208,2.6720760550144207,3.007711502010018,54.245,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,7164.448,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.345,,1D-LTE,True,,4.191,False,0.06024466150328176,3.661893999821349,2.8490799365478487,41.926,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,7175.921,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.404,,1D-LTE,True,,4.559,False,0.05832237833406692,0.9014928731451302,2.908483058129825,69.76,0.0,"none — LTE, no departure applied",native,,,,,,,,
