element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,9214.499,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.521,,1D-LTE,True,,4.913,False,0.047108485138919125,2.824940711540136,3.024843923229972,13.663,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9258.267,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.449,,1D-LTE,True,,4.6076,False,0.06735818552877075,2.0776365347163557,2.9526071569554553,47.919,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9259.005,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.451,,1D-LTE,True,,4.913,False,0.0669554406854366,1.9974696310978286,2.9552487053654026,49.877,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9294.534,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.886,,1D-LTE,True,,5.0331,False,0.08719050005770178,0.26916818211687377,2.3903144562100707,2.075,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9311.514,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.216,,1D-LTE,True,,5.0856,False,0.19607497049387881,0.03795723537973997,2.7197293305499715,48.268,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9318.179,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.68,,1D-LTE,True,,4.9556,False,0.02506901891114929,7.547818092194886,3.1843504373814673,2.136,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9350.415,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",5.707,,1D-LTE,True,,4.5485,False,0.6454626765265437,0.0025526125199095847,1.2112064733945882,49.638,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9354.628,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",4.502,,1D-LTE,False,SYNTHESIS: edge_pinned,5.0856,False,,0.0,0.005964187317625047,29.675,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9388.184,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.607,,1D-LTE,True,,4.988,False,0.08227227757381052,0.36577068211274344,3.1112105103395518,48.043,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9410.159,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",5.52,,1D-LTE,True,,5.0995,False,2.882712263818129,0.0001292235224198516,1.0241137621774943,48.38,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9414.042,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",8.491,,1D-LTE,True,,5.0638,False,0.21392752835374554,0.13287967978302612,3.994717157625394,309.129,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9437.793,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",4.528,,1D-LTE,True,,4.6076,False,3.1785822480735964,9.158321742319137e-07,0.031974729994493245,151.641,0.0,"none — LTE, no departure applied",native,,,,,,,,
