element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,9214.499,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.521,,ENGINE-B,True,,4.913,False,0.047134640667410715,2.8249362438280974,3.0252434393151395,13.663,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9258.267,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.449,,ENGINE-B,True,,4.6076,False,0.06735956381552206,2.07763055632718,2.9526309839352036,47.919,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9259.005,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.451,,ENGINE-B,True,,4.913,False,0.06695129450745878,1.9974664991779598,2.955237657968876,49.877,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9294.534,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.886,,ENGINE-B,True,,5.0331,False,0.08741146523258492,0.26915492640360134,2.3902098848182876,2.075,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9311.514,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.216,,ENGINE-B,True,,5.0856,False,0.19644783321404313,0.03795663794994763,2.7197056584155748,48.268,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9318.179,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.68,,ENGINE-B,True,,4.9556,False,0.02506844445580284,7.547845898704627,3.1843453100890917,2.136,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9350.415,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",5.706,,ENGINE-B,True,,4.5485,False,0.6661257084274034,0.00255230448448678,1.2100869356910673,49.638,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9354.628,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",4.527,,ENGINE-B,False,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -6.65e-08 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711).",5.0856,False,7.857092074183514,-6.65408112667221e-08,0.030912667010178474,29.675,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9388.184,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.607,,ENGINE-B,True,,4.988,False,0.0822759097531205,0.3657685324956007,3.1112240663032047,48.043,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9410.159,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",5.511,,ENGINE-B,True,,5.0995,False,2.370581576964,0.00013052457927664502,1.0153537139477171,48.38,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9414.042,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",8.495,,ENGINE-B,True,,5.0638,False,0.21283096873830865,0.13288148778996237,3.9988753371058143,309.128,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9437.793,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",4.679,,ENGINE-B,False,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -3.24e-07 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711).",4.6076,False,3.251289553781053,-3.2424279454475264e-07,0.1828806623244228,151.642,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9452.336,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.692,,ENGINE-B,True,,5.0095,False,0.06634217004902289,0.7543382354864452,3.196450109442729,9.604,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9454.194,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",4.866,,ENGINE-B,True,,5.0995,False,2.2517484953186386,2.2849608924535995e-05,0.3699585596513124,18.982,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9463.028,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.569,,ENGINE-B,True,,4.9556,False,0.05942765649106331,0.9533452930192253,3.0728029710044176,17.753,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9507.152,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.436,,ENGINE-B,True,,4.652,False,0.17491694793553167,0.046553090612657014,2.940494720233019,49.569,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9550.957,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",4.501,,ENGINE-B,False,SYNTHESIS: edge_pinned,4.988,False,,0.0,0.005203202707278365,47.142,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9626.823,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.04,,ENGINE-B,True,,5.3046,False,0.07601314369449162,0.8766100415461073,2.544200846208999,33.819,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9768.313,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.552,,ENGINE-B,True,,4.652,False,0.020030166593722573,3.4726183172401,3.0561875153694444,0.357,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9783.993,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.52,,ENGINE-B,True,,4.9913,False,0.11092062203410004,0.22172285193208618,3.023956384328745,54.563,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9786.641,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.467,,ENGINE-B,True,,4.6076,False,0.04825238602573904,0.8358229892230242,2.970994113865453,5.691,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9913.18,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.888,,ENGINE-B,True,,4.9913,False,0.02731517357080425,3.2123213753945685,3.3915947992802273,2.441,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9944.207,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.638,,ENGINE-B,True,,5.0117,False,0.09045538188916016,0.4189892656229773,3.1421709607104695,33.674,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,10142.844,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.716,,ENGINE-B,True,,5.0638,False,0.14812534091994864,0.09528594862203928,3.220455987476683,56.764,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,10216.313,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.618,,ENGINE-B,True,,4.7331,False,0.0849946252007651,3.4603690948670764,3.1221074358219463,42.695,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,10435.355,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.76,,ENGINE-B,True,,4.7331,False,0.1775063455711837,0.06805295683630384,3.2638506054986287,64.299,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,10863.518,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.556,,ENGINE-B,True,,4.7331,False,0.1335794458058943,0.6748224653669714,3.060200607890275,74.015,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,11013.235,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.546,,ENGINE-B,True,,4.7955,False,0.027560643843710476,7.107053978389029,3.050203566711951,2.762,0.0,"none — LTE, no departure applied",native,,,,,,,,
