element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,9214.499,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.517,,synth-1D-LTE-gerber,True,,4.913,False,0.043082915231585577,2.8206995840919746,3.0210241044515422,13.585,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9258.267,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.436,,synth-1D-LTE-gerber,True,,4.6076,False,0.06633775836013552,2.0757223719561773,2.939792229875885,47.914,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9259.005,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.438,,synth-1D-LTE-gerber,True,,4.913,False,0.06952849516193824,1.995565481609219,2.9423292237474845,49.872,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9294.534,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.881,,synth-1D-LTE-gerber,True,,5.0331,False,0.06521190682497764,0.2688525418273448,2.3851535250673273,2.073,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9311.514,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.967,,synth-1D-LTE-gerber,True,,5.0856,False,0.0772773625623455,0.031655465966699284,2.470660706550376,48.556,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9318.179,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.683,,synth-1D-LTE-gerber,True,,4.9556,False,0.022762086245268938,7.475669516614872,3.186883852754449,2.133,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9350.415,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",5.708,,synth-1D-LTE-gerber,False,"FIT-NOT-PHYSICAL: A(Fe) = 5.708 is 1.75 dex from solar 7.46, outside the +/-1.5 dex validity bound. This is a NON-CONVERGENT FIT, not an outlier: the bound spans a factor of ~1000 in abundance and cannot shape a result (RYA-1191).",4.5485,False,0.6132730777384189,0.0025521178220537753,1.2123788372086448,49.638,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9354.628,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",4.501,,synth-1D-LTE-gerber,False,SYNTHESIS: edge_pinned,5.0856,False,,0.0,0.004782311465066691,29.675,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9388.184,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.606,,synth-1D-LTE-gerber,True,,4.988,False,0.08146873822119223,0.3651726743036966,3.1099518923268406,48.079,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9410.159,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",5.529,,synth-1D-LTE-gerber,False,"FIT-NOT-PHYSICAL: A(Fe) = 5.529 is 1.93 dex from solar 7.46, outside the +/-1.5 dex validity bound. This is a NON-CONVERGENT FIT, not an outlier: the bound spans a factor of ~1000 in abundance and cannot shape a result (RYA-1191).",5.0995,False,3.118807541444771,0.00013236550022401755,1.0331164562284663,48.38,0.0,"none — LTE, no departure applied",native,,,,,,,,
