element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,9214.499,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.521,,1D-LTE,True,,4.913,False,0.054100786814248035,2.144601975143141,3.024892356897184,17.998,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9258.267,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.449,,1D-LTE,True,,4.6076,False,0.06732380367067915,2.0747540460197698,2.9527255606155824,47.987,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9259.005,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.451,,1D-LTE,True,,4.913,False,0.06706759530342905,1.992483814646576,2.9551878980838993,50.001,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9294.534,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.886,,1D-LTE,True,,5.0331,False,0.10850400221264582,0.1738117427437764,2.3903058487732913,3.214,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9311.514,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.214,,1D-LTE,True,,5.0856,False,0.20455338301165965,0.037941385388627125,2.717927170569154,48.281,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9318.179,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.68,,1D-LTE,True,,4.9556,False,0.033193040540382544,4.2985400015675435,3.184269235157421,3.75,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9350.415,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",5.708,,1D-LTE,False,"FIT-NOT-PHYSICAL: A(Fe) = 5.708 is 1.75 dex from solar 7.46, outside the +/-1.5 dex validity bound. This is a NON-CONVERGENT FIT, not an outlier: the bound spans a factor of ~1000 in abundance and cannot shape a result (RYA-1191).",4.5485,False,0.6486335060893265,0.0025271808979607947,1.2124147183545189,50.138,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9354.628,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",4.527,,1D-LTE,False,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -9.63e-08 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711).",5.0856,False,8.427086317637553,-9.631621267266167e-08,0.030515912570198367,30.228,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9388.184,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.607,,1D-LTE,True,,4.988,False,0.08242576625654645,0.36449737795742265,3.111169371152287,48.211,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9410.159,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",5.53,,1D-LTE,False,"FIT-NOT-PHYSICAL: A(Fe) = 5.530 is 1.93 dex from solar 7.46, outside the +/-1.5 dex validity bound. This is a NON-CONVERGENT FIT, not an outlier: the bound spans a factor of ~1000 in abundance and cannot shape a result (RYA-1191).",5.0995,False,3.3348061468277908,0.0001295025241113904,1.034361032234238,48.338,0.0,"none — LTE, no departure applied",native,,,,,,,,
