element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,9214.499,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.517,,synth-1D-LTE-gerber,True,,4.913,False,0.04945974422036242,2.13832145445455,3.0210940090448304,17.921,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9258.267,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.435,,synth-1D-LTE-gerber,True,,4.6076,False,0.06646507078862186,2.0728299179008522,2.9390404575091553,47.983,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9259.005,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.438,,synth-1D-LTE-gerber,True,,4.913,False,0.06957858922742,1.9905734420545254,2.942304725444986,49.996,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9294.534,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.881,,synth-1D-LTE-gerber,True,,5.0331,False,0.0811751109019453,0.17350880817312916,2.3851428640469727,3.211,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9311.514,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",6.967,,synth-1D-LTE-gerber,True,,5.0856,False,0.07728560365424579,0.03164808098575824,2.470681699816611,48.569,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9318.179,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.683,,synth-1D-LTE-gerber,True,,4.9556,False,0.030153325242034502,4.254970356120146,3.1868388827570797,3.748,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9350.415,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",5.708,,synth-1D-LTE-gerber,False,"FIT-NOT-PHYSICAL: A(Fe) = 5.708 is 1.75 dex from solar 7.46, outside the +/-1.5 dex validity bound. This is a NON-CONVERGENT FIT, not an outlier: the bound spans a factor of ~1000 in abundance and cannot shape a result (RYA-1191).",4.5485,False,0.616349812488248,0.002526692017752684,1.2122870131154704,50.138,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9354.628,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",4.501,,synth-1D-LTE-gerber,False,SYNTHESIS: edge_pinned,5.0856,False,,0.0,0.005272393583521939,30.227,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9388.184,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.606,,synth-1D-LTE-gerber,True,,4.988,False,0.08161635203138101,0.36390230174505017,3.109943245230739,48.246,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9410.159,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",5.529,,synth-1D-LTE-gerber,False,"FIT-NOT-PHYSICAL: A(Fe) = 5.529 is 1.93 dex from solar 7.46, outside the +/-1.5 dex validity bound. This is a NON-CONVERGENT FIT, not an outlier: the bound spans a factor of ~1000 in abundance and cannot shape a result (RYA-1191).",5.0995,False,3.1131958213070567,0.00013250787779565677,1.032782959296342,48.339,0.0,"none — LTE, no departure applied",native,,,,,,,,
