element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,9214.499,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0920[uncorrected: no telluric band registered]",9.784,,1D-LTE,True,,4.913,False,0.12988481832198942,0.243056742522924,2.7120418908799735,156.848,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9258.267,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0924[uncorrected: no telluric band registered]",8.068,,1D-LTE,True,,4.6076,False,0.1241273358378675,2.382096004593855,3.571896991010024,76.221,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9259.005,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0924[uncorrected: no telluric band registered]",8.091,,1D-LTE,True,,4.913,False,0.22696518982761824,0.7594855097603266,3.595485892573385,240.497,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9294.534,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",6.636,,1D-LTE,True,,5.0331,False,1.247816614344131,0.0011135034239587698,2.1395150260546236,127.536,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9311.514,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",7.646,,1D-LTE,True,,5.0856,False,0.15179929231882458,0.10032379200520984,3.1504400052564687,87.241,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9318.179,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",7.627,,1D-LTE,True,,4.9556,False,0.15091361103251225,0.2343932717418265,3.1309343699798484,97.439,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9350.415,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",7.678,,1D-LTE,True,,4.5485,False,0.1805324988733231,0.2595846390968246,3.1816597614005824,66.196,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9354.628,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",5.157,,1D-LTE,False,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -3.7e-07 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711).",5.0856,False,16.9206411587995,-3.6962863086300906e-07,0.6606831295950766,23.864,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9388.184,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",7.395,,1D-LTE,True,,4.988,False,0.1226012706830549,0.16007379907350663,2.898528622011022,82.147,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9410.159,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",7.266,,1D-LTE,True,,5.0995,False,0.3075597298543412,0.028977370578348937,2.7695714221587355,59.614,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9414.042,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",8.775,,1D-LTE,True,,5.0638,False,0.13952394539278995,0.5957167952474273,3.7207005284190533,188.587,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9437.793,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",10.937,,1D-LTE,True,,4.6076,False,1.379703770534916,0.0012887362322324565,1.5586334658822132,246.369,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9452.336,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",7.598,,1D-LTE,True,,5.0095,False,0.12788748117787624,0.10443541974000312,3.101695337765028,49.45,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9454.194,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",9.398,,1D-LTE,True,,5.0995,False,0.2233533110076942,0.06942117469512431,3.0979913155708587,50.743,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9463.028,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",7.46,,1D-LTE,True,,4.9556,False,0.071742649869897,0.532212257396194,2.9643675452194724,24.867,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9507.152,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",7.248,,1D-LTE,True,,4.652,False,0.13832127881422204,0.06302215039073865,2.751687134234132,17.608,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9550.957,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",7.548,,1D-LTE,True,,4.988,False,0.21126771116021986,0.036122451943572186,3.0520230412670086,102.333,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9626.823,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0960[uncorrected: no telluric band registered]",12.46,,1D-LTE,False,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -9.18e-06 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711).",5.3046,False,0.8741532473617151,-9.178146091923433e-06,0.03635093985873006,602.391,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9768.313,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0976[uncorrected: no telluric band registered]",7.978,,1D-LTE,True,,4.652,False,0.20992774988167975,0.0580766016392274,3.4816803519235107,93.634,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9783.993,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0976[uncorrected: no telluric band registered]",7.579,,1D-LTE,True,,4.9913,False,0.13618376413293,0.14630789116482495,3.0833834415914527,96.143,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9786.641,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0976[uncorrected: no telluric band registered]",7.71,,1D-LTE,True,,4.6076,False,0.22209153676919255,0.04515361263791415,3.2135523393695173,230.171,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9913.18,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0988[uncorrected: no telluric band registered]",7.867,,1D-LTE,True,,4.9913,False,0.12451015088483253,0.14171572844871372,3.3712198789173806,52.873,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,9944.207,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0992[uncorrected: no telluric band registered]",7.607,,1D-LTE,True,,5.0117,False,0.10526140937842353,0.24647432693240046,3.1111559800463082,52.316,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,10142.844,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm1012[uncorrected: no telluric band registered]",7.616,,1D-LTE,True,,5.0638,False,0.021697159381071324,3.4934715123281572,3.119798810368394,1.121,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,10216.313,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm1020[uncorrected: no telluric band registered]",7.5,,1D-LTE,True,,4.7331,False,0.074092036741445,2.9470368636525466,3.0043981519693883,45.772,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,10435.355,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm1040[uncorrected: no telluric band registered]",7.591,,1D-LTE,True,,4.7331,False,0.15689757978414437,0.04932244252764764,3.0953680900509726,46.757,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,10863.518,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm1084[uncorrected: no telluric band registered]",7.69,,1D-LTE,True,,4.7331,False,0.037727310262590456,8.402145081692424,3.1936489557689915,7.142,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,11013.235,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm1100[uncorrected: no telluric band registered]",7.602,,1D-LTE,True,,4.7955,False,0.12500358847802523,0.26153710669423286,3.1064885389169703,84.765,0.0,"none — LTE, no departure applied",native,,,,,,,,
