element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,9214.499,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0920[uncorrected: no telluric band registered]",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.913,True,,,,156.848,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,9258.267,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0924[uncorrected: no telluric band registered]",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.6076,True,,,,76.221,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,9259.005,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0924[uncorrected: no telluric band registered]",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.913,True,,,,240.497,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,9294.534,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",5.0331,True,,,,127.536,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,9311.514,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",7.657,,ENGINE-A,True,,5.0856,True,,,,87.241,0.011,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",,,,,,,,,
Fe,I,9318.179,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.9556,True,,,,97.439,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,9350.415,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.5485,True,,,,66.196,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,9388.184,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",7.406,,ENGINE-A,True,,4.988,True,,,,82.147,0.011,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",,,,,,,,,
Fe,I,9410.159,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",5.0995,True,,,,59.614,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,9414.042,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",5.0638,True,,,,188.587,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,9437.793,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",10.947999999999999,,ENGINE-A,True,,4.6076,True,,,,246.369,0.011,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",,,,,,,,,
Fe,I,9452.336,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",5.0095,True,,,,49.45,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,9454.194,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",5.0995,True,,,,50.743,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,9463.028,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",7.4719999999999995,,ENGINE-A,True,,4.9556,True,,,,24.867,0.012,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",,,,,,,,,
Fe,I,9507.152,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",7.259,,ENGINE-A,True,,4.652,True,,,,17.608,0.011,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",,,,,,,,,
Fe,I,9550.957,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_9280_9600.txt",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.988,True,,,,102.333,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,9768.313,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0976[uncorrected: no telluric band registered]",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.652,True,,,,93.634,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,9783.993,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0976[uncorrected: no telluric band registered]",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.9913,True,,,,96.143,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,9786.641,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0976[uncorrected: no telluric band registered]",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.6076,True,,,,230.171,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,9913.18,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0988[uncorrected: no telluric band registered]",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.9913,True,,,,52.873,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,9944.207,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0992[uncorrected: no telluric band registered]",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",5.0117,True,,,,52.316,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,10142.844,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm1012[uncorrected: no telluric band registered]",7.627,,ENGINE-A,True,,5.0638,True,,,,1.121,0.011,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",,,,,,,,,
Fe,I,10216.313,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm1020[uncorrected: no telluric band registered]",7.503,,ENGINE-A,True,,4.7331,True,,,,45.772,0.003,"Bergemann MPIA per-line delta_nlte (live query, solar node); PER-LINE additive correction",,,,,,,,,
Fe,I,10435.355,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm1040[uncorrected: no telluric band registered]",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.7331,True,,,,46.757,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
Fe,I,10863.518,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm1084[uncorrected: no telluric band registered]",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",4.7331,True,,,,7.142,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,
