wave_A,ep_eV,rew,ew_mA,multiplet,pool_source,pool_loggf,vald_source,vald_loggf,primary_source,primary_loggf,primary_e_loggf,n_primary_multiplet_siblings,A_1D_LTE,A_primary_scale,residual_dex,n_sigma,disposition,reason
7190.1222,3.111,-5.228,42.54,3d7.(2P).4s c3P -> 3d7.(4F).4p y3D*,FMW,-3.42,FMW,-3.42,,,,0,8.2891,7.5163,0.7728,4.78,QUARANTINED-SCALE-EVIDENCE,"No primary laboratory measurement of this transition exists in Den Hartog 2014 or Ruffoni 2014, and no catalogue is independent of FMW, so the gf cannot be re-sourced. Against the pool's primary-sourced lines at matched EP and REW it reads +0.773 dex (+4.78 sigma); no primary-sourced line shares its multiplet."
7219.6816,4.076,-5.132,53.32,3d8 c3F -> 3d7.(4P).4p u5D*,FMW,-1.69,FMW,-1.69,,,,0,7.6387,7.534,0.1047,0.65,NO-PRIMARY-NO-EVIDENCE-AGAINST,"No primary laboratory measurement of this transition exists in Den Hartog 2014 or Ruffoni 2014, and no catalogue is independent of FMW, so the gf cannot be re-sourced. Against the pool's primary-sourced lines at matched EP and REW it reads +0.105 dex (+0.65 sigma); no primary-sourced line shares its multiplet. Consistent with the primary scale at this threshold -- the evidence does not convict this line individually, which is NOT the same as clearing it: the population it belongs to is offset."
7330.1371,4.638,-5.287,37.89,3d6.(5D).4s.4p.(1P*) y5P* -> 3d6.(5D).4s\ (6D).4d f7D,FMW,-2.03,FMW,-2.03,,,,0,8.1836,7.4811,0.7025,4.34,QUARANTINED-SCALE-EVIDENCE,"No primary laboratory measurement of this transition exists in Den Hartog 2014 or Ruffoni 2014, and no catalogue is independent of FMW, so the gf cannot be re-sourced. Against the pool's primary-sourced lines at matched EP and REW it reads +0.703 dex (+4.34 sigma); no primary-sourced line shares its multiplet."
7366.37,4.638,-5.281,38.56,3d6.(5D).4s.4p.(1P*) y5P* -> 3d6.(5D).4s\ (6D).4d f5D,FMW,-1.9,FMW,-1.9,,,,1,8.1309,7.4827,0.6482,4.01,QUARANTINED-SCALE-EVIDENCE,"No primary laboratory measurement of this transition exists in Den Hartog 2014 or Ruffoni 2014, and no catalogue is independent of FMW, so the gf cannot be re-sourced. Against the pool's primary-sourced lines at matched EP and REW it reads +0.648 dex (+4.01 sigma); its multiplet sibling(s) 7320.668 (BWL) give median A = 7.744 vs this line's 8.131."
7443.0217,4.186,-5.2,46.92,3d8 c3F -> 3d6.(3F2).4s.4p.(3P*) x3F*,FMW,-1.82,FMW,-1.82,,,,2,7.6387,7.5121,0.1265,0.78,NO-PRIMARY-NO-EVIDENCE-AGAINST,"No primary laboratory measurement of this transition exists in Den Hartog 2014 or Ruffoni 2014, and no catalogue is independent of FMW, so the gf cannot be re-sourced. Against the pool's primary-sourced lines at matched EP and REW it reads +0.127 dex (+0.78 sigma); its multiplet sibling(s) 7132.986 (BWL), 7307.931 (BWL) give median A = 7.683 vs this line's 7.639. Consistent with the primary scale at this threshold -- the evidence does not convict this line individually, which is NOT the same as clearing it: the population it belongs to is offset."
7453.9966,4.186,-5.629,17.52,3d8 c3F -> 3d7.(4P).4p u5D*,FMW,-2.41,FMW,-2.41,,,,0,7.709,7.3837,0.3253,2.01,QUARANTINED-SCALE-EVIDENCE,"No primary laboratory measurement of this transition exists in Den Hartog 2014 or Ruffoni 2014, and no catalogue is independent of FMW, so the gf cannot be re-sourced. Against the pool's primary-sourced lines at matched EP and REW it reads +0.325 dex (+2.01 sigma); no primary-sourced line shares its multiplet."
7461.5194,2.559,-5.339,34.16,3d6.4s2 b3F2 -> 3d7.(4F).4p y5F*,FMW,-3.58,FMW,-3.58,,,,0,7.709,7.4893,0.2197,1.36,NO-PRIMARY-NO-EVIDENCE-AGAINST,"No primary laboratory measurement of this transition exists in Den Hartog 2014 or Ruffoni 2014, and no catalogue is independent of FMW, so the gf cannot be re-sourced. Against the pool's primary-sourced lines at matched EP and REW it reads +0.220 dex (+1.36 sigma); no primary-sourced line shares its multiplet. Consistent with the primary scale at this threshold -- the evidence does not convict this line individually, which is NOT the same as clearing it: the population it belongs to is offset."
7476.3747,4.796,-5.266,40.5,3d7.(4F).4p y3D* -> 3d6.(5D).4s\ (4D).5s g5D,FMW,-1.68,FMW,-1.68,,,,0,7.8848,7.4854,0.3994,2.47,QUARANTINED-SCALE-EVIDENCE,"No primary laboratory measurement of this transition exists in Den Hartog 2014 or Ruffoni 2014, and no catalogue is independent of FMW, so the gf cannot be re-sourced. Against the pool's primary-sourced lines at matched EP and REW it reads +0.399 dex (+2.47 sigma); no primary-sourced line shares its multiplet."
7498.5298,4.143,-5.488,24.39,3d8 c3F -> 3d7.(4P).4p u5D*,FMW,-2.25,FMW,-2.25,,,,0,7.709,7.4265,0.2825,1.75,NO-PRIMARY-NO-EVIDENCE-AGAINST,"No primary laboratory measurement of this transition exists in Den Hartog 2014 or Ruffoni 2014, and no catalogue is independent of FMW, so the gf cannot be re-sourced. Against the pool's primary-sourced lines at matched EP and REW it reads +0.282 dex (+1.75 sigma); no primary-sourced line shares its multiplet. Consistent with the primary scale at this threshold -- the evidence does not convict this line individually, which is NOT the same as clearing it: the population it belongs to is offset."
7540.4291,2.728,-5.691,15.35,3d7.(2G).4s a3G -> 3d7.(4F).4p z5G*,FMW,-3.85,FMW,-3.85,,,,0,7.6387,7.3818,0.2569,1.59,NO-PRIMARY-NO-EVIDENCE-AGAINST,"No primary laboratory measurement of this transition exists in Den Hartog 2014 or Ruffoni 2014, and no catalogue is independent of FMW, so the gf cannot be re-sourced. Against the pool's primary-sourced lines at matched EP and REW it reads +0.257 dex (+1.59 sigma); no primary-sourced line shares its multiplet. Consistent with the primary scale at this threshold -- the evidence does not convict this line individually, which is NOT the same as clearing it: the population it belongs to is offset."
7723.2067,2.279,-5.139,56.1,3d6.4s2 a3P2 -> 3d6.(5D).4s.4p.(3P*) z3D*,GESB82c,-3.617,FMW,-3.617,,,,1,7.9375,7.5526,0.3849,2.38,QUARANTINED-SCALE-EVIDENCE,"No primary laboratory measurement of this transition exists in Den Hartog 2014 or Ruffoni 2014, and no catalogue is independent of FMW, so the gf cannot be re-sourced. Against the pool's primary-sourced lines at matched EP and REW it reads +0.385 dex (+2.38 sigma); its multiplet sibling(s) 8239.127 (BWL) give median A = 7.375 vs this line's 7.938."
7844.5582,4.835,-5.681,16.36,3d7.(4F).4p y3D* -> 3d6.(5D).4s\ (4D).5s e3D,FMW,-1.81,FMW,-1.81,,,,0,7.6562,7.3607,0.2956,1.83,NO-PRIMARY-NO-EVIDENCE-AGAINST,"No primary laboratory measurement of this transition exists in Den Hartog 2014 or Ruffoni 2014, and no catalogue is independent of FMW, so the gf cannot be re-sourced. Against the pool's primary-sourced lines at matched EP and REW it reads +0.296 dex (+1.83 sigma); no primary-sourced line shares its multiplet. Consistent with the primary scale at this threshold -- the evidence does not convict this line individually, which is NOT the same as clearing it: the population it belongs to is offset."
7879.7564,5.033,-5.487,25.67,3d6.(5D).4s.4p.(1P*) x5F* -> 3d7.(4F).4d f5G,FMW,-1.65,FMW,-1.65,,,,0,7.9727,7.4164,0.5562,3.44,QUARANTINED-SCALE-EVIDENCE,"No primary laboratory measurement of this transition exists in Den Hartog 2014 or Ruffoni 2014, and no catalogue is independent of FMW, so the gf cannot be re-sourced. Against the pool's primary-sourced lines at matched EP and REW it reads +0.556 dex (+3.44 sigma); no primary-sourced line shares its multiplet."
8804.6242,2.279,-5.08,73.18,3d6.4s2 a3P2 -> 3d6.(5D).4s.4p.(3P*) z5P*,GESB82c+BW,-3.231,FMW,-3.234,,,,0,7.832,7.5701,0.2619,1.62,NO-PRIMARY-NO-EVIDENCE-AGAINST,"No primary laboratory measurement of this transition exists in Den Hartog 2014 or Ruffoni 2014, and no catalogue is independent of FMW, so the gf cannot be re-sourced. Against the pool's primary-sourced lines at matched EP and REW it reads +0.262 dex (+1.62 sigma); no primary-sourced line shares its multiplet. Consistent with the primary scale at this threshold -- the evidence does not convict this line individually, which is NOT the same as clearing it: the population it belongs to is offset."
