element,ion,n_lines_inlist,wl_min,wl_max
Mg,I,62,3789.6,6894.9
Mg,II,8,3848.2,4481.3
Si,I,151,3905.5,6907.7
Si,II,9,3853.7,6371.4
Ca,I,106,3787.1,6717.7
Ca,II,26,3933.7,6456.9
Ti,I,536,3786.0,6556.1
Ti,II,1166,3786.3,6827.9
Cr,I,600,3786.2,6883.1
Cr,II,109,3814.0,6421.7
Na,I,156,4242.1,6160.7
Al,I,21,3944.0,6906.3
Al,II,1,3900.7,3900.7
Mn,I,1665,3785.4,6021.8
Mn,II,229,3825.0,4764.8
Co,I,2598,3808.1,6455.1
Co,II,32,4145.1,4160.7
Cu,I,99,4022.6,5782.2
Sc,I,102,3907.5,4082.4
Sc,II,494,3833.1,6604.6
V,I,1791,3790.3,6243.1
V,II,834,3787.2,5928.9
Eu,II,228,3819.6,4522.6
Ba,II,92,3891.8,6496.9
Y,I,4,4077.4,4142.8
Y,II,132,3782.3,6795.4
Fe,I,2837,3781.2,6902.9
Fe,II,207,3781.5,6516.1
