element,plain_file,n_rows,n_feh_overridden,marcs_names_collapsed,register_against,why
Al,auxData_Al_STAGGERmean3D_Aug-05-2023.dat,6345,0,False,either,"clean: the [Fe/H] column agrees with every model name, so the converted sibling is faithful and either file works"
Ba,auxData_Ba_STAGGERmean3D_Aug-11-2023.dat,6385,0,False,either,"clean: the [Fe/H] column agrees with every model name, so the converted sibling is faithful and either file works"
Ca,auxData_Ca_STAGGERmean3D_May-18-2021.txt,4531,0,False,either,"clean: the [Fe/H] column agrees with every model name, so the converted sibling is faithful and either file works"
Co,auxData_Co_STAGGERmean3D_Nov-20-2024.dat,4323,0,False,either,"clean: the [Fe/H] column agrees with every model name, so the converted sibling is faithful and either file works"
Cr,auxData_Cr_STAGGERmean3D_Dec-12-2024.dat,4325,0,False,either,"clean: the [Fe/H] column agrees with every model name, so the converted sibling is faithful and either file works"
Eu,auxData_Eu_STAGGERmean3D_Nov-20-2024.dat,6386,0,False,either,"clean: the [Fe/H] column agrees with every model name, so the converted sibling is faithful and either file works"
Fe,auxData_Fe_STAGGERmean3D_May-21-2021.txt,189,6,True,plain,"DEFECTIVE and the conversion is UNRECOVERABLE: 6 rows carry a zeroed [Fe/H], and the converter propagated it into the NAME -- 7 rows at Teff=5777 collapse to ONE name, after which nothing can referee it. Register against the plain aux (Fe/Mn pattern)."
H,auxData_H_STAGGERmean3D_Jun-17-2021.txt,206,0,False,either,"clean: the [Fe/H] column agrees with every model name, so the converted sibling is faithful and either file works"
Mg,auxData_Mg_STAGGERmean3D_Nov-20-2024.dat,4439,0,False,either,"clean: the [Fe/H] column agrees with every model name, so the converted sibling is faithful and either file works"
Mn,auxData_Mn_STAGGERmean3D_May-17-2021.txt,4769,150,True,plain,"DEFECTIVE and the conversion is UNRECOVERABLE: 150 rows carry a zeroed [Fe/H], and the converter propagated it into the NAME -- 175 rows at Teff=5777 collapse to ONE name, after which nothing can referee it. Register against the plain aux (Fe/Mn pattern)."
Na,auxData_Na_STAGGERmean3D_Aug-04-2023.dat,6386,0,False,either,"clean: the [Fe/H] column agrees with every model name, so the converted sibling is faithful and either file works"
Ni,auxData_NI_STAGGERmean3D_Aug-12-2023.dat,6384,0,False,either,"clean: the [Fe/H] column agrees with every model name, so the converted sibling is faithful and either file works"
O,auxData_O_STAGGER_May-18-2021.txt,4326,0,False,either,"clean: the [Fe/H] column agrees with every model name, so the converted sibling is faithful and either file works"
Si,auxData_Si_STAGGERmean3D_Aug-05-2023.dat,5980,0,False,either,"clean: the [Fe/H] column agrees with every model name, so the converted sibling is faithful and either file works"
Sr,auxData_Sr_STAGGEmean3D_Jul-17-2023.dat,6385,0,False,either,"clean: the [Fe/H] column agrees with every model name, so the converted sibling is faithful and either file works"
Ti,auxData_Ti_STAGGERmean3D_Aug-07-2023.dat,6586,0,False,either,"clean: the [Fe/H] column agrees with every model name, so the converted sibling is faithful and either file works"
Y,auxData_Y_STAGGERmean3D_May-08-2023.dat,6386,0,False,either,"clean: the [Fe/H] column agrees with every model name, so the converted sibling is faithful and either file works"
