element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ew_inversion
Fe,I,4510.8205,kpno_solar_atlas,17.97417821005433,SYNTHESIS (VIS) via _fit_synth_flux,,-5.3996065021616975,ENGINE-B-NLTE,False,CHI2-GATE: red_chi2 22.241 >= 10.0. The fit converged (A=6.770) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,False
Fe,I,4769.8116,kpno_solar_atlas,46.77142858269464,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.952; red_chi2=5.172; n_pix=86; window +/-0.235 A wing-wide from EW 44 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.952,-5.008520590268749,ENGINE-B-NLTE,True,,False
Fe,I,4781.7419,kpno_solar_atlas,10.324361817746846,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=6.578; red_chi2=1.172; n_pix=92; window +/-0.251 A wing-wide from EW 50 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",6.578,-5.665722914860786,ENGINE-B-NLTE,True,,False
Fe,I,4787.8264,kpno_solar_atlas,130.81529928437755,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.535; red_chi2=5.397; n_pix=93; window +/-0.259 A wing-wide from EW 53 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.535,-4.563479855956396,ENGINE-B-NLTE,True,,False
Fe,I,4880.5238,kpno_solar_atlas,11.766174736698296,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.106; red_chi2=0.981; n_pix=190; window +/-0.271 A wing-wide from EW 58 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.106,-5.617831141257421,ENGINE-B-NLTE,True,,False
Fe,I,4932.0836,kpno_solar_atlas,38.55664950108919,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.673; red_chi2=4.741; n_pix=88; window +/-0.256 A wing-wide from EW 52 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.673,-5.106931141869017,ENGINE-B-NLTE,True,,False
Fe,I,4974.2458,kpno_solar_atlas,,SYNTHESIS (VIS) via _fit_synth_flux,,,ENGINE-B-NLTE,False,"NOT-IN-SYNTH-LINELIST: a +/-0.5 dex abundance swing moves the synthetic flux by at most 0.00130. This line is absent from the synthesis line list, or carries a gf too weak to register, so no abundance can be fitted from it. Coverage gap, not a measurement failure.",False
Fe,I,4975.4116,kpno_solar_atlas,19.80282650448472,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=8.092; red_chi2=3.394; n_pix=81; window +/-0.242 A wing-wide from EW 47 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",8.092,-5.400101831801899,ENGINE-B-NLTE,True,,False
Fe,I,5054.6423,kpno_solar_atlas,45.75228626350511,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.502; red_chi2=2.84; n_pix=82; window +/-0.254 A wing-wide from EW 52 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.502,-5.043277626611104,ENGINE-B-NLTE,True,,False
Fe,I,5106.4573,kpno_solar_atlas,82.81064232064718,SYNTHESIS (VIS) via _fit_synth_flux,,-4.790033551445242,ENGINE-B-NLTE,False,CHI2-GATE: red_chi2 22.083 >= 10.0. The fit converged (A=7.580) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,False
Fe,I,5223.1824,kpno_solar_atlas,43.27685673512328,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.070; red_chi2=2.781; n_pix=67; window +/-0.224 A wing-wide from EW 40 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.07,-5.081679482437443,ENGINE-B-NLTE,True,,False
Fe,I,5257.6544,kpno_solar_atlas,39.6790134191584,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.538; red_chi2=3.862; n_pix=57; window +/-0.194 A wing-wide from EW 29 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.538,-5.122231170046625,ENGINE-B-NLTE,True,,False
Fe,I,5293.9582,kpno_solar_atlas,59.090263677173056,SYNTHESIS (VIS) via _fit_synth_flux,,-4.9522645799527565,ENGINE-B-NLTE,False,CHI2-GATE: red_chi2 37.621 >= 10.0. The fit converged (A=7.282) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,False
Fe,I,5295.3121,kpno_solar_atlas,66.8704248863682,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.588; red_chi2=1.933; n_pix=63; window +/-0.211 A wing-wide from EW 35 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.588,-4.898657479385708,ENGINE-B-NLTE,True,,False
Fe,I,5308.4567,kpno_solar_atlas,41.57680477812021,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.736; red_chi2=3.179; n_pix=62; window +/-0.211 A wing-wide from EW 35 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.736,-5.106117168973202,ENGINE-B-NLTE,True,,False
Fe,I,5321.1073,kpno_solar_atlas,121.73390001415041,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.380; red_chi2=3.747; n_pix=97; window +/-0.259 A wing-wide from EW 53 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.38,-4.64059048072869,ENGINE-B-NLTE,True,,False
Fe,I,5333.7683,kpno_solar_atlas,0.5668783428062082,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=4.017; red_chi2=5.806; n_pix=61; window +/-0.211 A wing-wide from EW 35 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",4.017,-6.973544280532811,ENGINE-B-NLTE,True,,False
Fe,I,5366.42,kpno_solar_atlas,120.45149121542529,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.818; red_chi2=0.177; n_pix=55; window +/-0.191 A wing-wide from EW 27 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.818,-4.648872478465209,ENGINE-B-NLTE,True,,False
Fe,I,5379.5734,kpno_solar_atlas,72.6636255027199,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.608; red_chi2=5.512; n_pix=85; window +/-0.296 A wing-wide from EW 68 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.608,-4.869430774594852,ENGINE-B-NLTE,True,,False
Fe,I,5386.3328,kpno_solar_atlas,59.521444127311106,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.496; red_chi2=2.544; n_pix=61; window +/-0.218 A wing-wide from EW 38 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.496,-4.95661972357675,ENGINE-B-NLTE,True,,False
Fe,I,5417.0332,kpno_solar_atlas,49.1544703497302,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.668; red_chi2=3.931; n_pix=63; window +/-0.229 A wing-wide from EW 42 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.668,-5.042198476462001,ENGINE-B-NLTE,True,,False
Fe,I,5441.3386,kpno_solar_atlas,38.75858117791805,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.589; red_chi2=1.896; n_pix=62; window +/-0.222 A wing-wide from EW 39 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.589,-5.147337881134378,ENGINE-B-NLTE,True,,False
