wavelength_air_A,flux_normalized
1.500710613064541576e+04,8.930348904910326846e-01
1.500715836249356653e+04,8.542768301256613572e-01
1.500721059338280429e+04,8.474100213768187562e-01
1.500726282331309449e+04,8.636011085054572378e-01
1.500731505228439710e+04,8.977341579176185693e-01
1.500736728029667938e+04,9.355768807307156543e-01
1.500741950734991042e+04,9.569086706147509336e-01
1.500747173344404655e+04,9.639729293797230092e-01
1.500752395857906049e+04,9.871235415592528595e-01
1.500757618275491041e+04,9.877600458379487414e-01
1.500762840597156537e+04,9.822181754939670606e-01
1.500768062822899083e+04,9.714479670156425106e-01
1.500773284952714857e+04,9.751045854519041489e-01
1.500778506986600405e+04,9.725973337251283546e-01
1.500783728924552270e+04,9.846114795858540436e-01
1.500788950766566995e+04,9.848621837883763108e-01
1.500794172512640944e+04,9.966961542909996696e-01
1.500799394162770477e+04,1.005101335616002567e+00
1.500804615716952867e+04,1.001360962289581158e+00
1.500809837175183202e+04,1.005084853242912857e+00
1.500815058537459117e+04,1.017761815233763745e+00
1.500820279803776793e+04,1.016973881475488062e+00
1.500825500974132228e+04,1.013719580500434647e+00
1.500830722048522512e+04,1.005973513504866412e+00
1.500835943026944005e+04,1.009416791853761985e+00
1.500841163909392890e+04,1.015828439308039677e+00
1.500846384695865891e+04,1.019338952335855142e+00
1.500851605386359552e+04,1.014520293662144024e+00
1.500856825980870053e+04,1.016885269707595851e+00
1.500862046479394485e+04,1.012481011017001054e+00
1.500867266881928663e+04,1.014991430193206368e+00
1.500872487188468949e+04,1.008410778027193366e+00
1.500877707399012797e+04,1.005464688199065426e+00
1.500882927513555478e+04,9.970348820192145300e-01
1.500888147532094081e+04,1.006603748839931312e+00
1.500893367454625877e+04,1.008773376990935278e+00
1.500898587281145592e+04,1.003722596862972383e+00
1.500903807011651043e+04,1.004637035620526753e+00
1.500909026646138591e+04,9.994940835618042474e-01
1.500914246184604053e+04,1.003949860700264152e+00
1.500919465627044701e+04,1.005277062018455903e+00
1.500924684973456351e+04,1.009100062569625589e+00
1.500929904223835547e+04,1.006064146980018448e+00
1.500935123378179014e+04,1.008508081425721459e+00
1.500940342436483479e+04,1.002706552288842090e+00
1.500945561398744394e+04,1.012586085590886587e+00
1.500950780264959758e+04,1.010406310792990148e+00
1.500955999035124842e+04,1.019324097920623506e+00
1.500961217709236917e+04,1.006972919887568318e+00
1.500966436287291799e+04,1.016624389489455771e+00
