species,lam_nm,e_low,log_gf,vturb,clean,corr
Fe1,225.0790,0.000000,-2.0750,0.75,yes,-0.0289
Fe1,225.0790,0.000000,-2.0750,1.50,yes,-0.0461
Fe1,225.0790,0.000000,-2.0750,3.00,yes,-0.0732
Fe1,225.9510,0.000000,-1.3220,0.75,yes,-0.0327
Fe1,225.9510,0.000000,-1.3220,1.50,yes,-0.0535
Fe1,225.9510,0.000000,-1.3220,3.00,yes,-0.0886
Fe1,226.5054,0.051570,-2.1131,0.75,no,-0.0322
Fe1,226.5054,0.051570,-2.1131,1.50,no,-0.0505
Fe1,226.5054,0.051570,-2.1131,3.00,no,-0.0778
Fe1,226.7084,0.051570,-1.7540,0.75,no,-0.0319
Fe1,226.7084,0.051570,-1.7540,1.50,no,-0.0517
Fe1,226.7084,0.051570,-1.7540,3.00,no,-0.0826
Fe1,227.2069,0.051570,-1.6910,0.75,yes,-0.0370
Fe1,227.2069,0.051570,-1.6910,1.50,yes,-0.0588
Fe1,227.2069,0.051570,-1.6910,3.00,yes,-0.0919
Fe1,227.5191,0.110115,-2.3171,0.75,no,-0.0246
Fe1,227.5191,0.110115,-2.3171,1.50,no,-0.0403
Fe1,227.5191,0.110115,-2.3171,3.00,no,-0.0658
Fe1,227.6025,0.000000,-1.1680,0.75,no,-0.0343
Fe1,227.6025,0.000000,-1.1680,1.50,no,-0.0560
Fe1,227.6025,0.000000,-1.1680,3.00,no,-0.0927
Fe1,227.9936,0.087286,-1.9891,0.75,yes,-0.0374
Fe1,227.9936,0.087286,-1.9891,1.50,yes,-0.0579
Fe1,227.9936,0.087286,-1.9891,3.00,yes,-0.0874
Fe1,228.3303,0.121267,-2.2160,0.75,no,-0.0296
Fe1,228.3303,0.121267,-2.2160,1.50,no,-0.0474
Fe1,228.3303,0.121267,-2.2160,3.00,no,-0.0750
Fe1,228.3654,0.110115,-2.2229,0.75,no,-0.0592
Fe1,228.3654,0.110115,-2.2229,1.50,no,-0.0839
Fe1,228.3654,0.110115,-2.2229,3.00,no,-0.1131
Fe1,228.4085,0.051570,-1.2970,0.75,no,-0.0525
Fe1,228.4085,0.051570,-1.2970,1.50,no,-0.0808
Fe1,228.4085,0.051570,-1.2970,3.00,no,-0.1228
Fe1,228.7249,0.087286,-1.2798,0.75,no,-0.0487
Fe1,228.7249,0.087286,-1.2798,1.50,no,-0.0745
Fe1,228.7249,0.087286,-1.2798,3.00,no,-0.1147
Fe1,229.2524,0.051570,-1.6760,0.75,no,-0.0510
Fe1,229.2524,0.051570,-1.6760,1.50,no,-0.0780
Fe1,229.2524,0.051570,-1.6760,3.00,no,-0.1148
Fe1,229.3847,0.087286,-2.3660,0.75,no,-0.0426
Fe1,229.3847,0.087286,-2.3660,1.50,no,-0.0629
Fe1,229.3847,0.087286,-2.3660,3.00,no,-0.0907
Fe1,229.4407,0.110115,-1.5450,0.75,no,-0.0630
Fe1,229.4407,0.110115,-1.5450,1.50,no,-0.0921
Fe1,229.4407,0.110115,-1.5450,3.00,no,-0.1296
Fe1,229.6926,0.110115,-2.0180,0.75,no,-0.0332
Fe1,229.6926,0.110115,-2.0180,1.50,no,-0.0525
Fe1,229.6926,0.110115,-2.0180,3.00,no,-0.0834
Fe1,229.7786,0.051570,-1.0980,0.75,no,-0.2418
Fe1,229.7786,0.051570,-1.0980,1.50,no,-0.2936
Fe1,229.7786,0.051570,-1.0980,3.00,no,-0.3117
Fe1,229.8168,0.000000,-0.6569,0.75,no,0.0317
Fe1,229.8168,0.000000,-0.6569,1.50,no,0.0518
Fe1,229.8168,0.000000,-0.6569,3.00,no,0.0957
Fe1,229.8659,0.110115,-2.4222,0.75,no,-0.0695
Fe1,229.8659,0.110115,-2.4222,1.50,no,-0.0986
Fe1,229.8659,0.110115,-2.4222,3.00,no,-0.1335
Fe1,229.9219,0.087286,-1.5550,0.75,no,-0.0624
Fe1,229.9219,0.087286,-1.5550,1.50,no,-0.0941
Fe1,229.9219,0.087286,-1.5550,3.00,no,-0.1355
Fe1,230.0141,0.087286,-1.5570,0.75,no,-0.0363
Fe1,230.0141,0.087286,-1.5570,1.50,no,-0.0572
Fe1,230.0141,0.087286,-1.5570,3.00,no,-0.0877
Fe1,230.1683,0.121267,-1.6840,0.75,no,-0.0386
Fe1,230.1683,0.121267,-1.6840,1.50,no,-0.0576
Fe1,230.1683,0.121267,-1.6840,3.00,no,-0.0851
Fe1,230.3424,0.121267,-1.7570,0.75,no,-0.0725
Fe1,230.3424,0.121267,-1.7570,1.50,no,-0.0993
Fe1,230.3424,0.121267,-1.7570,3.00,no,-0.1203
Fe1,230.3580,0.110115,-1.7150,0.75,no,-0.0497
Fe1,230.3580,0.110115,-1.7150,1.50,no,-0.0719
Fe1,230.3580,0.110115,-1.7150,3.00,no,-0.0965
Fe1,230.8998,0.110115,-1.3890,0.75,no,-0.0292
Fe1,230.8998,0.110115,-1.3890,1.50,no,-0.0475
Fe1,230.8998,0.110115,-1.3890,3.00,no,-0.0757
Fe1,231.3104,0.087286,-1.1791,0.75,no,-0.0226
Fe1,231.3104,0.087286,-1.1791,1.50,no,-0.0393
Fe1,231.3104,0.087286,-1.1791,3.00,no,-0.0671
Fe1,232.0357,0.051570,-0.9891,0.75,yes,-0.0176
Fe1,232.0357,0.051570,-0.9891,1.50,yes,-0.0326
Fe1,232.0357,0.051570,-0.9891,3.00,yes,-0.0590
Fe1,235.0410,0.000000,-3.0300,0.75,yes,-0.0623
Fe1,235.0410,0.000000,-3.0300,1.50,yes,-0.0771
Fe1,235.0410,0.000000,-3.0300,3.00,yes,-0.0875
Fe1,235.5908,0.087286,-2.5210,0.75,yes,-0.0715
Fe1,235.5908,0.087286,-2.5210,1.50,yes,-0.0932
Fe1,235.5908,0.087286,-2.5210,3.00,yes,-0.1134
Fe1,236.9456,0.110115,-2.1941,0.75,yes,-0.3877
Fe1,236.9456,0.110115,-2.1941,1.50,yes,-0.2647
Fe1,236.9456,0.110115,-2.1941,3.00,yes,-0.2110
Fe1,237.1430,0.087286,-1.9481,0.75,yes,-0.1010
Fe1,237.1430,0.087286,-1.9481,1.50,yes,-0.1220
Fe1,237.1430,0.087286,-1.9481,3.00,yes,-0.1419
Fe1,237.3624,0.051570,-1.4130,0.75,no,-0.8835
Fe1,237.3624,0.051570,-1.4130,1.50,no,-0.4170
Fe1,237.3624,0.051570,-1.4130,3.00,no,-0.2735
Fe1,237.4518,0.121267,-2.0970,0.75,no,-0.1365
Fe1,237.4518,0.121267,-2.0970,1.50,no,-0.1445
Fe1,237.4518,0.121267,-2.0970,3.00,no,-0.1518
Fe1,238.1834,0.110115,-1.7340,0.75,yes,-0.1841
Fe1,238.1834,0.110115,-1.7340,1.50,yes,-0.1849
Fe1,238.1834,0.110115,-1.7340,3.00,yes,-0.1818
Fe1,238.9972,0.087286,-1.5720,0.75,yes,-1.0493
Fe1,238.9972,0.087286,-1.5720,1.50,yes,-0.4006
Fe1,238.9972,0.087286,-1.5720,3.00,yes,-0.2650
Fe1,242.0395,0.859003,-2.9940,0.75,yes,-0.9342
Fe1,242.0395,0.859003,-2.9940,1.50,yes,-0.2079
Fe1,242.0395,0.859003,-2.9940,3.00,yes,-0.1487
Fe1,243.8182,0.859003,-1.2450,0.75,yes,0.0684
Fe1,243.8182,0.859003,-1.2450,1.50,yes,0.1351
Fe1,243.8182,0.859003,-1.2450,3.00,yes,0.2658
Fe1,244.3871,0.859003,-1.2350,0.75,yes,0.0479
Fe1,244.3871,0.859003,-1.2350,1.50,yes,0.0886
Fe1,244.3871,0.859003,-1.2350,3.00,yes,0.2504
Fe1,244.5212,0.859003,-2.0210,0.75,no,0.0825
Fe1,244.5212,0.859003,-2.0210,1.50,no,0.2009
Fe1,244.5212,0.859003,-2.0210,3.00,no,-4.0000
