element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ep_eV,continuum_level,continuum_method,continuum_ref,nlte_delta_dex,nlte_source,ew_inversion,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,observed_depth,implied_width_A,observed_conditioning
Fe,I,4726.1367,kpno_solar_atlas,37.90010081055076,"PROFILE-FIT (voigt); gap 0.474 A; model integrated; chi2_red=0.0008259; sigma_fit=0.0040 A (init 0.0271, floor 0.0040); ew_err=13.10 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0472[uncorrected: no telluric band registered]",7.5859375,-5.095865913973584,1D-LTE,True,,,,,,2.998,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,0.0,"none — LTE, no departure applied",True,0.0040140110072107,0.0040140110072107,,,,,0.0008258911276197,,,
Fe,I,4787.8264,kpno_solar_atlas,53.373410681502655,"PROFILE-FIT (voigt); gap 0.086 A; model integrated; chi2_red=0.0001463; sigma_fit=0.0150 A (init 0.0275, floor 0.0041); ew_err=17.61 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0476[uncorrected: no telluric band registered]",7.568359375,-4.952813439010544,1D-LTE,True,,,,,,2.998,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,0.0,"none — LTE, no departure applied",True,0.014984163517522,0.0040664054152759,,,,,0.0001463349227047,,,
Fe,I,4896.4382,kpno_solar_atlas,58.57232634191704,"PROFILE-FIT (voigt); gap 0.539 A; model integrated; chi2_red=0.0004843; sigma_fit=0.0042 A (init 0.0281, floor 0.0042); ew_err=2.79 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0488[uncorrected: no telluric band registered]",7.97265625,-4.9221878040353335,1D-LTE,True,,,,,,3.8835,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,0.0,"none — LTE, no departure applied",True,0.004158651786849,0.0041586517865484,,,,,0.0004842745052309,,,
Fe,I,4905.1325,kpno_solar_atlas,49.11897352248977,"PROFILE-FIT (voigt); gap 0.086 A; model integrated; chi2_red=0.0003678; sigma_fit=0.0042 A (init 0.0281, floor 0.0042); ew_err=16.61 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0488[uncorrected: no telluric band registered]",7.462890625,-4.999401460826367,1D-LTE,True,,,,,,3.9286,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,0.0,"none — LTE, no departure applied",True,0.0041660363428797,0.0041660360452178,,,,,0.0003677724179696,,,
Fe,I,5285.1268,kpno_solar_atlas,41.08937130908383,"PROFILE-FIT (voigt); gap 0.509 A; model integrated; chi2_red=0.003813; sigma_fit=0.0045 A (init 0.0303, floor 0.0045); ew_err=13.51 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0528[uncorrected: no telluric band registered]",7.375,-5.109325914940639,1D-LTE,True,,,,,,4.4346,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,0.0,"none — LTE, no departure applied",True,0.0044888871158033,0.0044887734943647,,,,,0.0038129143489641,,,
Fe,I,5379.5734,kpno_solar_atlas,67.65803003345668,"PROFILE-FIT (voigt); gap 0.764 A; model integrated; chi2_red=4.097e-05; sigma_fit=0.0354 A (init 0.0308, floor 0.0046); ew_err=3.63 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0536[uncorrected: no telluric band registered]",7.498046875,-4.900428489002141,1D-LTE,True,,,,,,3.6946,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,0.0,"none — LTE, no departure applied",True,0.0353882791658733,0.0045689890522417,,,,,4.096991407939888e-05,,,
Fe,I,5493.4987,kpno_solar_atlas,67.41741491433592,"PROFILE-FIT (voigt); gap 0.177 A; model integrated; chi2_red=0.005064; sigma_fit=0.0047 A (init 0.0315, floor 0.0047); ew_err=10.60 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0548[uncorrected: no telluric band registered]",6.98828125,-4.911076930370425,1D-LTE,True,,,,,,4.1034,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,0.0,"none — LTE, no departure applied",True,0.0046657482949864,0.0046657482949864,,,,,0.0050635642995893,,,
Fe,I,5532.7462,kpno_solar_atlas,66.44469201610461,"PROFILE-FIT (voigt); gap 0.118 A; model integrated; chi2_red=0.0009585; sigma_fit=0.0627 A (init 0.0317, floor 0.0047); ew_err=6.70 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0552[uncorrected: no telluric band registered]",7.287109375,-4.920480455843014,1D-LTE,True,,,,,,3.5732,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,0.0,"none — LTE, no departure applied",True,0.0626636216848708,0.0046990820529806,,,,,0.0009584593931121,,,
Fe,I,5618.632,kpno_solar_atlas,59.252497142566334,"PROFILE-FIT (voigt); gap 0.963 A; model integrated; chi2_red=0.0001783; sigma_fit=0.0307 A (init 0.0322, floor 0.0048); ew_err=7.11 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0560[uncorrected: no telluric band registered]",7.392578125,-4.976923930300804,1D-LTE,True,,,,,,4.2089,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,0.0,"none — LTE, no departure applied",True,0.0307292118679135,0.0047720267366507,,,,,0.0001782831186141,,,
Fe,I,6627.5434,kpno_solar_atlas,32.177172688690646,"PROFILE-FIT (voigt); gap 2.051 A; model integrated; chi2_red=2.1e-05; sigma_fit=0.0359 A (init 0.0380, floor 0.0056); ew_err=0.44 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0660[uncorrected: no telluric band registered]",7.62109375,-5.31380469907065,1D-LTE,True,,,,,,4.5485,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,0.0,"none — LTE, no departure applied",True,0.0358909182215626,0.0056289171996161,,,,,2.1003945445327284e-05,,,
Fe,I,6725.3553,kpno_solar_atlas,20.68658287956461,"PROFILE-FIT (voigt); gap 1.310 A; model integrated; chi2_red=1.416e-05; sigma_fit=0.0344 A (init 0.0386, floor 0.0057); ew_err=1.05 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0672[uncorrected: no telluric band registered]",7.4013671875,-5.512026475520228,1D-LTE,True,,,,,,4.1034,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,0.0,"none — LTE, no departure applied",True,0.0344392701050344,0.0057119909802023,,,,,1.416366047787027e-05,,,
Fe,I,6841.3381,kpno_solar_atlas,85.9893488264743,"PROFILE-FIT (voigt); gap 0.254 A; model integrated; chi2_red=0.0001519; sigma_fit=0.0145 A (init 0.0392, floor 0.0058); ew_err=5.61 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0680,lm0684[uncorrected: no telluric band registered]",7.5859375,-4.900696393686627,1D-LTE,True,,,,,,4.607,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,0.0,"none — LTE, no departure applied",True,0.0145104594899409,0.0058104977025844,,,,,0.000151875209664,,,
Fe,I,6843.6549,kpno_solar_atlas,69.16406174114157,"PROFILE-FIT (voigt); gap 0.938 A; model integrated; chi2_red=0.0001078; sigma_fit=0.0412 A (init 0.0392, floor 0.0058); ew_err=9.48 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0684[uncorrected: no telluric band registered]",7.4453125,-4.99540761176302,1D-LTE,True,,,,,,4.5485,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,0.0,"none — LTE, no departure applied",True,0.0412314483318394,0.005812465411369,,,,,0.0001078076976464,,,
