feed,element,ion,band,instrument,tier,treatment,status,source,copied_to,feed_sha256,actual_sha256,detail
Fe.json,Fe,I,VIS,kpno_solar_atlas,GRADED,1D-LTE,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_products.csv,,db6af9d8dbdf3bf203d2a0665585ce54eb3c6903850d56b9afc446595bb6ff42,1eb939416be7c801fe476109fbe539fd6e766d68ba4dd1d5d91cce7f74243f7d,sigma_stat: feed=0.0217 file=0.0218
Fe.json,Fe,I,VIS,kpno_solar_atlas,GRADED,ENGINE-A,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_ENGINE-A_products.csv,,50d449d171ef8ebe1fb64bf0872a8931925f434a8781e9c717bc69d512e253a2,9e7757f406710650d245587faaf140e13082064bb06cf3725c3852cb19e90c22,no published field differs — bytes only
Fe.json,Fe,I,near-UV,kpno_solar_atlas,DEEPGRADED,1D-LTE,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_products.csv,,591e97f795cc59f1069bb9b90983b8aa26ced3395f35aa92b1fd0e3b49841f51,9f56182ba86e0d1a35bc1cb6d84d76ebbd3d2b92ac64bcb22b92216c5868db74,no published field differs — bytes only
Fe.json,Fe,I,near-UV,kpno_solar_atlas,DEEPGRADED,ENGINE-A,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,,6e58fe3d6e3931069ca094afc48a1dc46b6c0fb3d28b9e3cc781727d715d529e,d99eb72f63b57a95ef8b925bf6864189f68252cc75085abe8d9b6ea0b30e9c73,no published field differs — bytes only
Fe.json,Fe,I,near-UV,kpno_solar_atlas,DEEPGRADED,1D-LTE,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_products.csv,,e341404af594b25d4f8cf0bbc15a3e663381339864f3677b29165f6088d116e1,a2361a7e23320c4e84b76d4bc18bc8985a2a1f660794bc6c4fc89695f00dbcf9,no published field differs — bytes only
Fe.json,Fe,I,near-UV,kpno_solar_atlas,DEEPGRADED,ENGINE-A,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,,0e2348fdfff3fc86e11057bc880d23c8ff6621018d2da210432a857d9cda5e23,c3e9c36b6c28ce2d32ea878ffd2259df2398e5c92f9afceb70af0955784f5403,no published field differs — bytes only
Fe.json,Fe,I,red-optical,kpno_solar_atlas,GRADED,1D-LTE,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_products.csv,,9e699831196fda76ead9630ccaf129740fe32717b2773323c9a88f709df336ad,bd660ce59bdf3570c8c32b772392919723159e8ddc5ebd1e0b8995ff0563a48a,no published field differs — bytes only
Fe.json,Fe,I,red-optical,kpno_solar_atlas,GRADED,ENGINE-A,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_ENGINE-A_products.csv,,01cc4f9de9413e105d046bae5cbc98a92a1921f6b93ce189a23ec7b993f2128c,626c3366458b419e5631f910ec70a4ae71ec2f7c145cab8b80e001d3cdd6ae91,no published field differs — bytes only
Fe.json,Fe,I,red-optical,kpno_solar_atlas,GRADED,1D-LTE,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_products.csv,,87a71ae07a18c61dcc2b1d2cc385cf6ae8bf4e733d53a1656ef76abc750f41e6,b84c24171bcbddceff8251e903b201b6c54f8a819429a411939c0443b50a7e5f,no published field differs — bytes only
Fe.json,Fe,I,red-optical,kpno_solar_atlas,GRADED,ENGINE-A,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_ENGINE-A_products.csv,,fd3710ef236d8d3972199a266edc31f90d0eabd2e30701afabf6e21aeb997e25,bdd8c1b5a34daf5e010b5264ff4bda690a688fb2fe293765e91071fd60a89eb0,no published field differs — bytes only
