feed,element,ion,band,instrument,tier,treatment,status,source,copied_to,feed_sha256,actual_sha256,detail
Fe.json,Fe,II,VIS,harps,DEEPGRADED,1D-LTE,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_products.csv,data/results/band_products/FeII_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_products.csv,62f67607c84c3029ae3b3b7eb6262025ecbad95353215b20175cea82ff112fde,,
Fe.json,Fe,II,VIS,harps,DEEPGRADED,ENGINE-A,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,data/results/band_products/FeII_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,c8b8c56308eb3bd24aff0c99c5ee01359d5c9eb867c82b5032e1a9c471be1e84,,
Fe.json,Fe,II,VIS,harps,DEEPGRADED,ENGINE-B,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,data/results/band_products/FeII_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,fb315be3be34dc02d4c998be15af94ebe5c6123c6b4d55787f171bf75dae07df,,
Fe.json,Fe,II,VIS,kpno_solar_atlas,DEEPGRADED,1D-LTE,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_products.csv,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_products.csv,220cafbad0de9de5304bc4d8417bbbeb8b0a439e8a90ccc6182bf43ee662cf41,,
Fe.json,Fe,II,VIS,kpno_solar_atlas,DEEPGRADED,ENGINE-A,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,7ae4ee8fdc1d44c36d429affbb256af82f0e0a03965594529c9f73f77acc46fa,,
Fe.json,Fe,II,VIS,kpno_solar_atlas,DEEPGRADED,ENGINE-B,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,4ccde87e26ed8bafc2e97b4899f66514bdd79325bc12fcbb7d839cb66be3e2d4,,
Fe.json,Fe,II,VIS,kpno_solar_atlas,DEEPGRADED,1D-LTE,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_products.csv,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_products.csv,4a53d492ad4c1a37fca783fb349afccdf183a44afb93aa550b4cdd08eeeb007d,,
Fe.json,Fe,II,VIS,kpno_solar_atlas,DEEPGRADED,ENGINE-A,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,47674bda658aba038b0eb33b980a66c252c50808dc0c5eb01599712bf4342c20,,
Fe.json,Fe,II,VIS,kpno_solar_atlas,DEEPGRADED,ENGINE-B,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,5763c667146c96011ddee5cd69002783eb9d97f4a198f4cd78a8a5a8e272319b,,
Fe.json,Fe,II,near-UV,kpno_solar_atlas,DEEPGRADED,1D-LTE,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_products.csv,data/results/band_products/FeII_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_products.csv,6fed66c0f904ce3343e525731600cb32930f701c1f7acda28156a15a8241615b,,
