element,ion,band,wavelength_air_A,ew_mA,rew,a_1dlte,in_aggregate_1dlte,excluded_reason_1dlte,elo_eV,eup_eV,loggf,n_vald_candidates,network,domain_reason,feature_ok,delta_E_ok,level_ok,stellar_ok,in_domain,delta_E_eV,aberr,aberr_axis_line,aberr_if_extrapolated,a_3dnlte
Fe,I,VIS,4289.08,,,7.445,True,nan,3.3683,6.2581,-1.17,1,gt02,"transition energy Eup-Elo 2.8898 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2581 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.8897999999999997,,,0.08911698571132526,
Fe,I,VIS,4372.982,,,7.325,True,nan,3.0173,5.8517,-2.4,1,gt02,"transition energy Eup-Elo 2.8344 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8344,,,0.04631458285882596,
Fe,I,VIS,4488.906,,,7.389,True,nan,3.6537,6.4149,-1.72,1,gt02,"transition energy Eup-Elo 2.7612 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7612,,,0.05959776984901137,
Fe,I,VIS,4495.391,,,7.097,True,nan,2.8852,5.6424,-3.39,1,gt02,"transition energy Eup-Elo 2.7572 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7572,,,0.04386896587307855,
Fe,I,VIS,4531.636,,,7.447,True,nan,3.6343,6.3696,-1.95,1,gt02,"transition energy Eup-Elo 2.7353 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7353,,,0.06211880358834089,
Fe,I,VIS,4554.451,,,7.272,True,nan,2.8654,5.5869,-2.81,1,gt02,"transition energy Eup-Elo 2.7215 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7215,,,0.02305979537458476,
Fe,I,VIS,4565.662,,,7.327,True,nan,3.241,5.9558,-2.17,1,gt02,"transition energy Eup-Elo 2.7148 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7148,,,0.050012582094840954,
Fe,I,VIS,4574.216,,,7.507,True,nan,3.2112,5.9209,-2.35,1,gt02,"transition energy Eup-Elo 2.7097 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7096999999999998,,,0.04627401632067915,
Fe,I,VIS,4611.184,,,7.102,True,nan,2.8512,5.5392,-2.62,1,gt02,"transition energy Eup-Elo 2.6880 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.688,,,0.024170793847517413,
Fe,I,VIS,4708.968,,,7.588,True,nan,3.6398,6.272,-2.07,1,gt02,"transition energy Eup-Elo 2.6322 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2720 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.6322,,,0.04720519532626696,
