wavelength_air_A,elo_eV,eup_eV,loggf_asplund,rew_agss21,ew_mA_agss21,a_1dlte,a_published_3dnlte_agss21,status,reason,red_chi2,obs_source,fit_seconds,network,domain_reason,aberr,a_3dnlte,in_domain
4445.5,0.08729,2.8755,-5.412,-5.068137,38.0,7.737,7.455,ok,,71.693,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,55.2,lt02,"transition energy Eup-Elo 2.7882 eV outside training [1.8382, 2.4829] (lt02, n=17);   -> that is a WAVELENGTH statement: the network saw 4994.1-6739.5 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
4574.2,3.21119,5.92093,-2.35,-5.072604,38.7,7.723,7.451,ok,,46.899,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,47.92,gt02,"transition energy Eup-Elo 2.7097 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
5247.0,0.08729,2.44956,-4.961,-4.913731,64.0,7.545,7.483,ok,,43.546,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,70.53,lt02,,-0.04094556371702228,7.504054436282978,True
5379.6,3.6946,5.99868,-1.42,-4.940465,61.7,7.54,7.433,ok,,83.548,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,67.27,gt02,,0.03384616269066448,7.573846162690664,True
5483.1,4.15435,6.41493,-1.39,-5.098545,43.7,7.429,7.417,ok,,88.386,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,55.2,gt02,,0.0458876794047718,7.474887679404772,True
5538.5,4.21758,6.45554,-1.54,-5.171683,37.3,7.478,7.488,ok,,82.792,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,55.19,gt02,,0.03607515023517263,7.514075150235173,True
5600.2,4.26045,6.47375,-1.42,-5.185911,36.5,7.238,7.402,ok,,82.536,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,57.5,gt02,,0.0418376492035471,7.2798376492035475,True
5618.6,4.20888,6.41493,-1.25,-5.050658,50.0,7.458,7.444,ok,,80.748,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,45.14,gt02,,0.044370245144846554,7.502370245144847,True
5661.3,4.28435,6.47375,-1.756,-5.406563,22.2,7.4,7.437,ok,,85.414,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,76.21,gt02,,0.04186697982913033,7.441866979829131,True
5705.5,4.30128,6.47375,-1.355,-5.158599,39.6,7.39,7.428,ok,,60.597,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,45.3,gt02,,0.04399132462596542,7.433991324625965,True
5775.1,4.22036,6.36665,-1.08,-4.969869,61.9,7.512,7.486,ok,,84.714,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,45.51,gt02,,0.03768751381225072,7.54968751381225,True
5778.5,2.58811,4.73314,-3.44,-5.452185,20.4,7.466,7.43,ok,,82.312,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,60.66,gt02,,0.012714373319872192,7.478714373319872,True
5784.7,3.39651,5.53924,-2.532,-5.350661,25.8,7.453,7.443,ok,,61.654,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,48.07,gt02,,0.024053154424113668,7.477053154424114,True
5855.1,4.60759,6.72456,-1.478,-5.425112,22.0,7.398,7.441,ok,,82.29,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,50.56,gt02,,0.0481857609716293,7.446185760971629,True
5956.7,0.859,2.93985,-4.552,-5.074302,50.2,7.526,7.451,ok,,89.467,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,70.13,lt02,,-0.042172140073069936,7.4838278599269294,True
6151.6,2.17595,4.19086,-3.282,-5.100568,48.8,7.456,7.459,ok,,85.323,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,48.78,gt02,,-0.023907260351365672,7.432092739648635,True
6240.6,2.22271,4.20888,-3.287,-5.117619,47.6,7.464,7.478,ok,,88.195,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,64.06,gt02,,-0.026356971919699303,7.437643028080301,True
