wavelength_air_A,elo_eV,eup_eV,loggf_asplund,rew_agss21,ew_mA_agss21,a_1dlte,a_published_3dnlte_agss21,status,reason,red_chi2,obs_source,fit_seconds,network,domain_reason,aberr,a_3dnlte,in_domain
4445.5,0.08729,2.8755,-5.412,-5.068137,38.0,,7.455,no_atlas,"no iag_fts_solar_atlas holding covers 4445.500 +/- 1.020 A (solar_iag 5001.1-11083.5 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",,kitt peak atlas segments (default reader),0.0,,no 1D-LTE abundance (no_atlas),,,False
4574.2,3.21119,5.92093,-2.35,-5.072604,38.7,,7.451,no_atlas,"no iag_fts_solar_atlas holding covers 4574.200 +/- 1.020 A (solar_iag 5001.1-11083.5 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",,kitt peak atlas segments (default reader),0.0,,no 1D-LTE abundance (no_atlas),,,False
5247.0,0.08729,2.44956,-4.961,-4.913731,64.0,7.608,7.483,ok,,43.249,holding=solar_iag · iag_telfree_solaratlas.fits,52.2,lt02,,-0.03864005797052429,7.569359942029475,True
5379.6,3.6946,5.99868,-1.42,-4.940465,61.7,7.501,7.433,ok,,70.355,holding=solar_iag · iag_telfree_solaratlas.fits,54.36,gt02,,0.03458410820940852,7.535584108209409,True
5483.1,4.15435,6.41493,-1.39,-5.098545,43.7,7.515,7.417,ok,,75.264,holding=solar_iag · iag_telfree_solaratlas.fits,57.1,gt02,,0.04522445190697304,7.560224451906973,True
5538.5,4.21758,6.45554,-1.54,-5.171683,37.3,7.548,7.488,ok,,75.332,holding=solar_iag · iag_telfree_solaratlas.fits,51.74,gt02,,0.036818165839149875,7.58481816583915,True
5600.2,4.26045,6.47375,-1.42,-5.185911,36.5,7.252,7.402,ok,,82.005,holding=solar_iag · iag_telfree_solaratlas.fits,73.18,gt02,,0.04270319979077314,7.2947031997907725,True
5618.6,4.20888,6.41493,-1.25,-5.050658,50.0,7.483,7.444,ok,,95.777,holding=solar_iag · iag_telfree_solaratlas.fits,63.75,gt02,,0.04389514123598462,7.526895141235984,True
5661.3,4.28435,6.47375,-1.756,-5.406563,22.2,7.457,7.437,ok,,80.775,holding=solar_iag · iag_telfree_solaratlas.fits,57.27,gt02,,0.04140670463287459,7.498406704632875,True
5705.5,4.30128,6.47375,-1.355,-5.158599,39.6,7.496,7.428,ok,,52.792,holding=solar_iag · iag_telfree_solaratlas.fits,60.34,gt02,,0.04492693617970461,7.540926936179705,True
5775.1,4.22036,6.36665,-1.08,-4.969869,61.9,7.529,7.486,ok,,82.542,holding=solar_iag · iag_telfree_solaratlas.fits,75.55,gt02,,0.03805422709404896,7.567054227094049,True
5778.5,2.58811,4.73314,-3.44,-5.452185,20.4,7.469,7.43,ok,,81.776,holding=solar_iag · iag_telfree_solaratlas.fits,51.56,gt02,,0.012836047895244722,7.481836047895245,True
5784.7,3.39651,5.53924,-2.532,-5.350661,25.8,7.467,7.443,ok,,70.365,holding=solar_iag · iag_telfree_solaratlas.fits,51.65,gt02,,0.023669709008036915,7.490669709008037,True
5855.1,4.60759,6.72456,-1.478,-5.425112,22.0,7.456,7.441,ok,,58.08,holding=solar_iag · iag_telfree_solaratlas.fits,54.39,gt02,,0.0479053365496844,7.503905336549685,True
5956.7,0.859,2.93985,-4.552,-5.074302,50.2,7.507,7.451,ok,,86.585,holding=solar_iag · iag_telfree_solaratlas.fits,44.22,lt02,,-0.040593713947873186,7.466406286052126,True
6151.6,2.17595,4.19086,-3.282,-5.100568,48.8,7.516,7.459,ok,,86.701,holding=solar_iag · iag_telfree_solaratlas.fits,50.64,gt02,,-0.021381787933453272,7.4946182120665465,True
6240.6,2.22271,4.20888,-3.287,-5.117619,47.6,7.501,7.478,ok,,54.515,holding=solar_iag · iag_telfree_solaratlas.fits,47.68,gt02,,-0.024659338021984983,7.476340661978015,True
6311.5,2.83159,4.79547,-3.141,-5.375251,26.6,7.544,7.492,ok,,57.78,holding=solar_iag · iag_telfree_solaratlas.fits,61.27,gt02,,0.017365538008013867,7.561365538008014,True
6498.9,0.95816,2.86539,-4.695,-5.193747,41.6,7.486,7.469,ok,,68.406,holding=solar_iag · iag_telfree_solaratlas.fits,66.88,lt02,,-0.04075514157373796,7.445244858426261,True
6518.4,2.83159,4.73314,-2.448,-5.056745,57.2,7.404,7.405,ok,,90.092,holding=solar_iag · iag_telfree_solaratlas.fits,64.04,gt02,,-0.007583144914149867,7.3964168550858505,True
6574.2,0.99011,2.8755,-5.01,-5.413009,25.4,7.525,7.465,ok,,103.367,holding=solar_iag · iag_telfree_solaratlas.fits,64.31,lt02,,-0.04742828493365768,7.477571715066342,True
6699.1,4.59311,6.44335,-2.101,-5.933922,7.8,7.523,7.487,ok,,55.074,holding=solar_iag · iag_telfree_solaratlas.fits,64.27,gt02,,0.044788368791731925,7.567788368791732,True
6793.3,4.07581,5.90041,-2.326,-5.735171,12.5,7.472,7.445,ok,,136.276,holding=solar_iag · iag_telfree_solaratlas.fits,77.76,gt02,,0.0422928813181597,7.51429288131816,True
6837.0,4.59311,6.40604,-1.687,-5.586892,17.7,7.493,7.486,ok,,75.829,holding=solar_iag · iag_telfree_solaratlas.fits,50.45,gt02,"transition energy Eup-Elo 1.8129 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6843.7,4.54851,6.35967,-0.73,-5.022378,65.0,7.439,7.409,ok,,76.919,holding=solar_iag · iag_telfree_solaratlas.fits,41.36,gt02,"transition energy Eup-Elo 1.8112 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6854.8,4.59311,6.40133,-1.926,-5.725405,12.9,7.511,7.434,ok,,142.541,holding=solar_iag · iag_telfree_solaratlas.fits,62.34,gt02,"transition energy Eup-Elo 1.8082 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6858.1,4.60759,6.41493,-0.9,-5.095841,55.0,7.47,7.464,ok,,65.356,holding=solar_iag · iag_telfree_solaratlas.fits,62.62,gt02,"transition energy Eup-Elo 1.8073 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6999.9,4.10337,5.87412,-1.38,-5.082413,57.9,7.547,7.482,ok,,81.343,holding=solar_iag · iag_telfree_solaratlas.fits,42.25,gt02,"transition energy Eup-Elo 1.7707 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
7008.0,4.1777,5.9464,-1.77,-5.375772,29.5,7.388,7.435,ok,,61.544,holding=solar_iag · iag_telfree_solaratlas.fits,60.15,gt02,"transition energy Eup-Elo 1.7687 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
7219.7,4.07581,5.79265,-1.43,-5.168323,49.0,7.382,7.399,ok,,111.188,holding=solar_iag · iag_telfree_solaratlas.fits,38.4,gt02,"transition energy Eup-Elo 1.7168 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
7401.7,4.18636,5.86098,-1.5,-5.250238,41.6,7.296,7.423,ok,,73.965,holding=solar_iag · iag_telfree_solaratlas.fits,40.66,gt02,"transition energy Eup-Elo 1.6746 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
7443.0,4.18636,5.85168,-1.64,-5.316654,35.9,7.481,7.45,ok,,42.572,holding=solar_iag · iag_telfree_solaratlas.fits,54.04,gt02,"transition energy Eup-Elo 1.6653 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
7912.9,0.859,2.42543,-4.848,-5.238419,45.7,7.576,7.48,ok,,69.395,holding=solar_iag · iag_telfree_solaratlas.fits,49.34,lt02,"Eup 2.4254 eV outside training [2.4483, 3.9848] (lt02, n=17); transition energy Eup-Elo 1.5664 eV outside training [1.8382, 2.4829] (lt02, n=17);   -> that is a WAVELENGTH statement: the network saw 4994.1-6739.5 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
8293.5,3.30092,4.79547,-2.203,-5.151582,58.5,7.533,7.486,ok,,87.044,holding=solar_iag · iag_telfree_solaratlas.fits,51.84,gt02,"transition energy Eup-Elo 1.4945 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
8571.8,5.00952,6.45554,-1.11,-5.432013,31.7,7.526,7.499,ok,,1.054,holding=solar_iag · iag_telfree_solaratlas.fits,50.25,gt02,"transition energy Eup-Elo 1.4460 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
8598.8,4.38646,5.82794,-1.2,-5.180855,56.7,7.498,7.419,ok,,89.832,holding=solar_iag · iag_telfree_solaratlas.fits,38.1,gt02,"transition energy Eup-Elo 1.4415 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
8876.0,5.02028,6.41674,-1.05,-5.397989,35.5,7.538,7.502,ok,,42.75,holding=solar_iag · iag_telfree_solaratlas.fits,55.08,gt02,"transition energy Eup-Elo 1.3965 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; lower level 5.0203 eV is not within 0.02 eV of any level in the training set",,,False
8906.0,5.06378,6.45554,-1.22,-5.556986,24.7,7.45,7.492,ok,,108.337,holding=solar_iag · iag_telfree_solaratlas.fits,41.98,gt02,"transition energy Eup-Elo 1.3918 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
9103.6,4.1777,5.53924,-2.19,-5.675912,19.2,7.528,7.481,ok,,102.495,holding=solar_iag · iag_telfree_solaratlas.fits,49.13,gt02,"transition energy Eup-Elo 1.3615 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
9786.6,4.60759,5.87412,-1.84,-5.73056,18.2,7.552,7.466,ok,,18.247,holding=solar_iag · iag_telfree_solaratlas.fits,55.77,gt02,"transition energy Eup-Elo 1.2665 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
