wavelength_air_A,elo_eV,eup_eV,loggf_asplund,rew_agss21,ew_mA_agss21,a_1dlte,a_published_3dnlte_agss21,status,reason,red_chi2,obs_source,fit_seconds,network,domain_reason,aberr,a_3dnlte,in_domain
4445.5,0.08729,2.8755,-5.412,-5.068137,38.0,7.519,7.455,ok,,6.453,holding=solar_kpno_molecfit_corrected · lm0444[uncorrected: no telluric band registered],66.55,lt02,"transition energy Eup-Elo 2.7882 eV outside training [1.8382, 2.4829] (lt02, n=17);   -> that is a WAVELENGTH statement: the network saw 4994.1-6739.5 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
4574.2,3.21119,5.92093,-2.35,-5.072604,38.7,7.546,7.451,ok,,5.953,holding=solar_kpno_molecfit_corrected · lm0456[uncorrected: no telluric band registered],48.01,gt02,"transition energy Eup-Elo 2.7097 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
5247.0,0.08729,2.44956,-4.961,-4.913731,64.0,7.582,7.483,ok,,42.087,holding=solar_kpno_molecfit_corrected · lm0524[uncorrected: no telluric band registered],66.93,lt02,,-0.03864005797052429,7.5433599420294755,True
5379.6,3.6946,5.99868,-1.42,-4.940465,61.7,7.453,7.433,ok,,98.742,holding=solar_kpno_molecfit_corrected · lm0536[uncorrected: no telluric band registered],69.99,gt02,,0.03458410820940852,7.487584108209409,True
5483.1,4.15435,6.41493,-1.39,-5.098545,43.7,7.468,7.417,ok,,60.819,holding=solar_kpno_molecfit_corrected · lm0548[uncorrected: no telluric band registered],66.95,gt02,,0.04522445190697304,7.513224451906973,True
5538.5,4.21758,6.45554,-1.54,-5.171683,37.3,7.496,7.488,ok,,67.159,holding=solar_kpno_molecfit_corrected · lm0552[uncorrected: no telluric band registered],60.62,gt02,,0.036818165839149875,7.53281816583915,True
5600.2,4.26045,6.47375,-1.42,-5.185911,36.5,7.237,7.402,ok,,98.489,"holding=solar_kpno_molecfit_corrected · lm0556,lm0560[uncorrected: no telluric band registered]",58.0,gt02,,0.04270319979077314,7.279703199790773,True
5618.6,4.20888,6.41493,-1.25,-5.050658,50.0,7.467,7.444,ok,,58.679,holding=solar_kpno_molecfit_corrected · lm0560[uncorrected: no telluric band registered],48.85,gt02,,0.04389514123598462,7.510895141235984,True
5661.3,4.28435,6.47375,-1.756,-5.406563,22.2,7.439,7.437,ok,,65.16,holding=solar_kpno_molecfit_corrected · lm0564[uncorrected: no telluric band registered],54.35,gt02,,0.04140670463287459,7.480406704632875,True
5705.5,4.30128,6.47375,-1.355,-5.158599,39.6,7.487,7.428,ok,,58.266,holding=solar_kpno_molecfit_corrected · lm0568[uncorrected: no telluric band registered],57.75,gt02,,0.04492693617970461,7.531926936179705,True
5775.1,4.22036,6.36665,-1.08,-4.969869,61.9,7.557,7.486,ok,,51.573,holding=solar_kpno_molecfit_corrected · lm0576[uncorrected: no telluric band registered],48.0,gt02,,0.03805422709404896,7.5950542270940495,True
5778.5,2.58811,4.73314,-3.44,-5.452185,20.4,7.497,7.43,ok,,50.567,holding=solar_kpno_molecfit_corrected · lm0576[uncorrected: no telluric band registered],57.78,gt02,,0.012836047895244722,7.509836047895244,True
5784.7,3.39651,5.53924,-2.532,-5.350661,25.8,7.48,7.443,ok,,76.764,holding=solar_kpno_molecfit_corrected · lm0576[uncorrected: no telluric band registered],47.93,gt02,,0.023669709008036915,7.5036697090080375,True
5855.1,4.60759,6.72456,-1.478,-5.425112,22.0,7.434,7.441,ok,,59.277,holding=solar_kpno_molecfit_corrected · lm0584[uncorrected: no telluric band registered],50.66,gt02,,0.0479053365496844,7.481905336549684,True
5956.7,0.859,2.93985,-4.552,-5.074302,50.2,7.526,7.451,ok,,106.298,holding=solar_kpno_molecfit_corrected · lm0592[uncorrected: no telluric band registered],47.52,lt02,,-0.040593713947873186,7.485406286052126,True
6151.6,2.17595,4.19086,-3.282,-5.100568,48.8,7.489,7.459,ok,,58.075,holding=solar_kpno_molecfit_corrected · lm0612[uncorrected: no telluric band registered],48.86,gt02,,-0.021381787933453272,7.467618212066546,True
6240.6,2.22271,4.20888,-3.287,-5.117619,47.6,7.466,7.478,ok,,56.549,"holding=solar_kpno_molecfit_corrected · lm0620,lm0624[uncorrected: no telluric band registered]",58.01,gt02,,-0.024659338021984983,7.441340661978015,True
6311.5,2.83159,4.79547,-3.141,-5.375251,26.6,7.513,7.492,ok,,62.649,holding=solar_kpno_molecfit_corrected · lm0628[uncorrected: no telluric band registered],48.93,gt02,,0.017365538008013867,7.530365538008014,True
6498.9,0.95816,2.86539,-4.695,-5.193747,41.6,7.546,7.469,ok,,60.585,holding=solar_kpno_molecfit_corrected · lm0648[uncorrected: no telluric band registered],45.36,lt02,,-0.04075514157373796,7.505244858426262,True
6518.4,2.83159,4.73314,-2.448,-5.056745,57.2,7.412,7.405,ok,,81.509,holding=solar_kpno_molecfit_corrected · lm0648[uncorrected: no telluric band registered],60.82,gt02,,-0.007583144914149867,7.4044168550858505,True
6574.2,0.99011,2.8755,-5.01,-5.413009,25.4,7.543,7.465,ok,,46.364,holding=solar_kpno_molecfit_corrected · lm0656[uncorrected: no telluric band registered],49.04,lt02,,-0.04742828493365768,7.495571715066342,True
6699.1,4.59311,6.44335,-2.101,-5.933922,7.8,7.476,7.487,ok,,67.41,holding=solar_kpno_molecfit_corrected · lm0668[uncorrected: no telluric band registered],74.32,gt02,,0.044788368791731925,7.520788368791732,True
6793.3,4.07581,5.90041,-2.326,-5.735171,12.5,7.435,7.445,ok,,119.445,holding=solar_kpno_molecfit_corrected · lm0676[uncorrected: no telluric band registered],69.43,gt02,,0.0422928813181597,7.477292881318159,True
6837.0,4.59311,6.40604,-1.687,-5.586892,17.7,7.457,7.486,ok,,68.821,holding=solar_kpno_molecfit_corrected · lm0680[uncorrected: no telluric band registered],62.98,gt02,"transition energy Eup-Elo 1.8129 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6843.7,4.54851,6.35967,-0.73,-5.022378,65.0,7.415,7.409,ok,,71.355,holding=solar_kpno_molecfit_corrected · lm0684[uncorrected: no telluric band registered],63.08,gt02,"transition energy Eup-Elo 1.8112 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6854.8,4.59311,6.40133,-1.926,-5.725405,12.9,7.477,7.434,ok,,75.617,holding=solar_kpno_molecfit_corrected · lm0684[uncorrected: no telluric band registered],51.13,gt02,"transition energy Eup-Elo 1.8082 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6858.1,4.60759,6.41493,-0.9,-5.095841,55.0,7.448,7.464,ok,,70.608,holding=solar_kpno_molecfit_corrected · lm0684[uncorrected: no telluric band registered],59.9,gt02,"transition energy Eup-Elo 1.8073 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6999.9,4.10337,5.87412,-1.38,-5.082413,57.9,7.552,7.482,ok,,100.178,"holding=solar_kpno_molecfit_corrected · lm0696,lm0700[uncorrected: no telluric band registered]",33.0,gt02,"transition energy Eup-Elo 1.7707 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
