source_record_id,wavelength_vac_A,Aul_s,branching_fraction,lifetime_ns,lifetime_unc_ns,lifetime_source,lifetime_kind,source_table,component_note,species,wavelength_air,lower_EP,upper_EP,lower_level,upper_level,lower_J,upper_J,loggf,recomputed_loggf,gf_bound_dex,uncertainty_basis,source_class,source_key,source_path,source_semantics,priority,unc_pct,other_Aul_s,other_reference,aki_limit,aki_note,uncertainty_limit,intensity_limit,theory_flag,branching_limit,upper_statistical_weight_from_A_f,nist_grade,source_reference,bibliography_key,bibliography_chain,source_doi,citation_role
burheim2023_t1_01,6697.864,1300000.0,0.358,275.0,8.0,Buurman1986,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total,Al I,6696.0151949693,3.1427212,4.993821,4s $^2$S$_{1/2}$,5p $^2$P$_{3/2}$,0.5,1.5,-1.46,-1.4562673298,0.0374264979,published fractional uncertainty; confidence not specified,PRIMARY_LABORATORY,Burheim2023,data/reference/al_gf_lab/al1_lab_loggf.csv,FINE_STRUCTURE_TOTAL,0,,,,,,,,,,,,,burheim2023,burheim2023;buurman1986_al,10.1051/0004-6361/202245394,published source of the retained quantities
burheim2023_t1_02,6700.522,1280000.0,0.352,275.0,8.0,Buurman1986,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total,Al I,6698.6724801445,3.1427212,4.9930889,4s $^2$S$_{1/2}$,5p $^2$P$_{1/2}$,0.5,0.5,-1.76,-1.7636860831,0.0334237555,published fractional uncertainty; confidence not specified,PRIMARY_LABORATORY,Burheim2023,data/reference/al_gf_lab/al1_lab_loggf.csv,FINE_STRUCTURE_TOTAL,0,,,,,,,,,,,,,burheim2023,burheim2023;buurman1986_al,10.1051/0004-6361/202245394,published source of the retained quantities
burheim2023_t1_03,11256.27,12900000.0,0.778,60.4,1.2,Papoulia2019,theoretical,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total,Al I,11253.1884049513,4.0214836,5.1229514,3d $^2$D$_{3/2}$,4f $^2$F$_{5/2}$,1.5,2.5,0.167,0.167386641,0.0211892991,published fractional uncertainty; confidence not specified,MIXED_LAB_THEORY,Burheim2023,data/reference/al_gf_lab/al1_lab_loggf.csv,FINE_STRUCTURE_TOTAL,1,,,,,,,,,,,,,burheim2023,burheim2023;papoulia2019,10.1051/0004-6361/202245394,published source of the retained quantities
burheim2023_t1_04,11258.008,14000000.0,0.843,60.4,1.2,Papoulia2019,theoretical,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total,Al I,11254.9259333976,4.0216502,5.1229524,3d $^2$D$_{5/2}$,4f $^2$F$_{7/2}$,2.5,3.5,0.327,0.3279978052,0.0086001718,published fractional uncertainty; confidence not specified,MIXED_LAB_THEORY,Burheim2023,data/reference/al_gf_lab/al1_lab_loggf.csv,FINE_STRUCTURE_TOTAL,1,,,,,,,,,,,,,burheim2023,burheim2023;papoulia2019,10.1051/0004-6361/202245394,published source of the retained quantities
burheim2023_t1_05,12753.397,53100.0,0.015,275.0,8.0,Buurman1986,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total,Al I,12749.9089846441,4.0216502,4.993821,3d $^2$D$_{5/2}$,5p $^2$P$_{3/2}$,2.5,1.5,-2.29,-2.2857370528,0.0374264979,published fractional uncertainty; confidence not specified,PRIMARY_LABORATORY,Burheim2023,data/reference/al_gf_lab/al1_lab_loggf.csv,FINE_STRUCTURE_TOTAL,0,,,,,,,,,,,,,burheim2023,burheim2023;buurman1986_al,10.1051/0004-6361/202245394,published source of the retained quantities
burheim2023_t1_06,12760.765,48800.0,0.013,275.0,8.0,Buurman1986,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total,Al I,12757.2749835176,4.0214836,4.9930889,3d $^2$D$_{3/2}$,5p $^2$P$_{1/2}$,1.5,0.5,-2.62,-2.6229400839,0.0453229788,published fractional uncertainty; confidence not specified,PRIMARY_LABORATORY,Burheim2023,data/reference/al_gf_lab/al1_lab_loggf.csv,FINE_STRUCTURE_TOTAL,0,,,,,,,,,,,,,burheim2023,burheim2023;buurman1986_al,10.1051/0004-6361/202245394,published source of the retained quantities
burheim2023_t1_07,13127.005,16500000.0,0.9998,60.5,0.9,BuurmanDonszelmann1990,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total,Al I,13123.4155037306,3.1427212,4.0872183,4s $^2$S$_{1/2}$,4p $^2$P$_{3/2}$,0.5,1.5,0.232,0.2317319136,0.0064660422,published fractional uncertainty; confidence not specified,PRIMARY_LABORATORY,Burheim2023,data/reference/al_gf_lab/al1_lab_loggf.csv,FINE_STRUCTURE_TOTAL,0,,,,,,,,,,,,,burheim2023,burheim2023;buurman_donszelmann1990_al,10.1051/0004-6361/202245394,published source of the retained quantities
burheim2023_t1_08,13154.35,15400000.0,0.9998,65.0,2.0,BuurmanDonszelmann1990,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total,Al I,13150.7530753857,3.1427212,4.0852554,4s $^2$S$_{1/2}$,4p $^2$P$_{1/2}$,0.5,0.5,-0.098,-0.0974538208,0.0132586653,published fractional uncertainty; confidence not specified,PRIMARY_LABORATORY,Burheim2023,data/reference/al_gf_lab/al1_lab_loggf.csv,FINE_STRUCTURE_TOTAL,0,,,,,,,,,,,,,burheim2023,burheim2023;buurman_donszelmann1990_al,10.1051/0004-6361/202245394,published source of the retained quantities
burheim2023_t1_09,38632.83,2030000.0,0.557,275.0,8.0,Buurman1986,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total,Al I,38622.2965886931,4.6728909,4.993821,5s $^2$S$_{1/2}$,5p $^2$P$_{3/2}$,0.5,1.5,0.259,0.259325752,0.0293837777,published fractional uncertainty; confidence not specified,PRIMARY_LABORATORY,Burheim2023,data/reference/al_gf_lab/al1_lab_loggf.csv,FINE_STRUCTURE_TOTAL,0,,,,,,,,,,,,,burheim2023,burheim2023;buurman1986_al,10.1051/0004-6361/202245394,published source of the retained quantities
burheim2023_t1_10,38721.19,2030000.0,0.558,275.0,8.0,Buurman1986,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total,Al I,38710.6325150508,4.6728909,4.9930889,5s $^2$S$_{1/2}$,5p $^2$P$_{1/2}$,0.5,0.5,-0.0396,-0.0397198981,0.0253058653,published fractional uncertainty; confidence not specified,PRIMARY_LABORATORY,Burheim2023,data/reference/al_gf_lab/al1_lab_loggf.csv,FINE_STRUCTURE_TOTAL,0,,,,,,,,,,,,,burheim2023,burheim2023;buurman1986_al,10.1051/0004-6361/202245394,published source of the retained quantities
