canonical_line_id,species,wavelength_air,lower_EP,historical_band,historical_gf_source,historical_gf_grade,historical_source_class,historical_loggf,historical_gf_sigma_dex,verified_source_record_id,bibliography_chain,verified_source_class,verified_loggf,gf_uncertainty_bound_dex,uncertainty_basis,reference_membership,disposition_reason,physical_identity_status,component_semantics,hfs_component_status,codex_membership,deep_membership,external_membership,source_candidate_count,feature_depth,component_count,raw_component_sum_loggf,blend_flag,atomic_handoff_status,replication_membership
alphys_II_1670.7870_0000,Al II,1670.787,0.0,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,0.32,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.968,1.0,0.32,False,HOLD,NONMEMBER
alphys_II_1719.4420_0001,Al II,1719.442,4.6361,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-0.0998312359,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.967,3.0,-0.0998312359,False,HOLD,NONMEMBER
alphys_II_1721.2440_0002,Al II,1721.244,4.6437,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-0.2298276998,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.961,7.0,-0.2298276998,False,HOLD,NONMEMBER
alphys_II_1721.2710_0003,Al II,1721.271,4.6437,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,0.2500507217,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.977,9.0,0.2500507217,False,HOLD,NONMEMBER
alphys_II_1724.9220_0004,Al II,1724.922,4.659,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-1.3999492783,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.871,9.0,-1.3999492783,False,HOLD,NONMEMBER
alphys_II_1724.9490_0005,Al II,1724.949,4.659,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-0.2300842468,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.96,13.0,-0.2300842468,False,HOLD,NONMEMBER
alphys_II_1724.9820_0006,Al II,1724.982,4.659,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,0.5200762844,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.983,14.0,0.5200762844,False,HOLD,NONMEMBER
alphys_II_1727.2140_0007,Al II,1727.214,4.6437,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-4.9298312359,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.006,3.0,-4.9298312359,False,HOLD,NONMEMBER
alphys_II_1760.1060_0008,Al II,1760.106,4.6437,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-0.12,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.959,1.0,-0.12,False,HOLD,NONMEMBER
alphys_II_1761.9770_0009,Al II,1761.977,4.6361,FUV,UNGRADED,EXCLUDED-NO-HOME,FALLBACK,-0.21,0.2,,,UNRESOLVED,,,NO_DEFENSIBLE_BOUND,HOLD,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS,UNRESOLVED,UNVERIFIED,RAW_PHYSICAL_COMPONENTS_RECOVERED,NONMEMBER,NONMEMBER,RYA1001_PHASE0,0,0.955,1.0,-0.21,False,HOLD,NONMEMBER
