canonical_line_id,line_set,membership,atomic_handoff_status,verified_source_record_id,gf_semantics,reason
alphys_II_1670.7870_0000,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1670.7870_0000,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1670.7870_0000,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1670.7870_0000,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1719.4420_0001,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1719.4420_0001,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1719.4420_0001,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1719.4420_0001,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1721.2440_0002,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1721.2440_0002,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1721.2440_0002,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1721.2440_0002,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1721.2710_0003,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1721.2710_0003,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1721.2710_0003,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1721.2710_0003,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1724.9220_0004,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1724.9220_0004,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1724.9220_0004,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1724.9220_0004,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1724.9490_0005,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1724.9490_0005,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1724.9490_0005,our-deep-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1724.9490_0005,asplund-al,NONMEMBER,HOLD,,EXTERNAL_REFERENCE_GF_REQUIRED,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1724.9820_0006,reference,HOLD,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
alphys_II_1724.9820_0006,our-graded,NONMEMBER,HOLD,,VERIFIED_SELECTED_GF,NO_QUALIFIED_MATCH_IN_FROZEN_SOURCE_ASSETS
