band,instrument,holding,wavelength_air_A,ep_eV,log_gf,half_width_A,n_pixels,cont_current,cont_local,delta_pct,ew_current_mA,ew_local_mA,d_ew_mA,d_A_dex,rew,saturated,blend_frac,sideband_catalogued_absorption,sideband_line_density_per_A,blanket_frac,sideband_clean,status
near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,3769.987,2.998,-1.07,0.18,215.0,1.0,0.67282,48.629,182.416,97.907,-84.509,-0.27025,-4.3153,True,0.8263,1.627,105.56,1.0,False,ok
near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,3540.121,2.8654,-0.71,0.18,244.0,1.0,0.93111,7.3987,127.872,110.823,-17.049,-0.06214,-4.4422,True,0.832,1.56,61.11,1.0,False,ok
near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,3738.305,3.2671,-0.031,0.18,219.0,1.0,0.75617,32.2457,209.827,163.047,-46.78,-0.10955,-4.2508,True,0.8417,1.995,88.89,1.0,False,ok
near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,3742.617,2.9398,-0.81,0.18,218.0,1.0,0.86924,15.0433,169.641,141.636,-28.005,-0.07836,-4.3436,True,0.8519,1.692,36.11,1.0,False,ok
near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,3779.416,2.5592,-2.036,0.18,214.0,1.0,0.9694,3.1566,181.446,175.873,-5.573,-0.01355,-4.3187,True,0.8606,2.557,113.89,1.0,False,ok
near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,3721.272,2.1759,-1.82,0.18,276.0,1.0,0.58362,71.3447,246.341,167.391,-78.95,-0.1678,-4.1792,True,0.8945,3.023,41.67,1.0,False,ok
near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,3427.119,2.1759,-0.067,0.18,261.0,1.0,0.84009,19.0346,266.491,249.377,-17.114,-0.02883,-4.1092,True,0.8911,0.219,19.44,1.0,False,ok
near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,3083.741,0.9901,-1.0,0.18,312.0,1.0,0.6309,58.5027,287.95,247.495,-40.455,-0.06575,-4.0298,True,0.8917,2.944,75.0,1.0,False,ok
near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,3603.681,2.5592,-2.1,0.18,235.0,1.0,0.84339,18.5691,253.357,234.0,-19.357,-0.03452,-4.153,True,0.9056,0.111,16.67,1.0,False,ok
near-UV,kpno_solar_atlas,solar_kpno_molecfit_corrected,3776.454,2.1759,-1.68,0.18,214.0,1.0,0.95343,4.8845,152.018,141.986,-10.032,-0.02965,-4.3952,True,0.902,0.774,27.78,1.0,False,ok
VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,6725.356,4.103,-2.1,0.18,132.0,1.0,0.99695,0.3059,18.816,17.794,-1.022,-0.02425,-5.5532,False,0.0157,0.0,0.0,0.0,True,ok
VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,5379.574,3.695,-1.42,0.18,156.0,1.0,0.99523,0.4788,64.092,62.713,-1.38,-0.00945,-4.9239,True,0.016,0.002,5.56,0.3077,True,ok
VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,6843.655,4.549,-0.73,0.18,127.0,1.0,0.99382,0.622,63.244,61.413,-1.832,-0.01276,-5.0343,False,0.0232,0.006,8.33,0.4048,True,ok
VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,6627.544,4.549,-1.59,0.18,135.0,1.0,0.99632,0.3691,29.464,28.278,-1.186,-0.01785,-5.3521,False,0.0707,0.012,11.11,0.2391,True,ok
VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,6301.5,3.654,-0.71,0.18,150.0,1.0,0.97701,2.353,119.414,113.911,-5.503,-0.02049,-4.7224,True,0.0235,0.002,5.56,1.0,True,ok
VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,6336.823,3.686,-0.85,0.18,148.0,1.0,0.97979,2.0627,108.24,103.257,-4.983,-0.02047,-4.7675,True,0.0309,0.0,0.0,1.0,True,ok
VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,6705.101,4.607,-0.87,0.18,133.0,1.0,0.99511,0.4918,48.36,46.872,-1.488,-0.01357,-5.1419,False,0.0981,0.003,5.56,0.2,True,ok
VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,5775.081,4.22,-1.08,0.18,178.0,1.0,0.97963,2.0789,66.747,60.713,-6.034,-0.04115,-4.9371,True,0.0786,0.008,22.22,1.0,True,ok
VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,6858.148,4.608,-0.9,0.18,126.0,1.0,0.99432,0.5716,53.591,51.895,-1.696,-0.01397,-5.1071,False,0.1459,0.0,0.0,0.619,True,ok
VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,6246.318,3.603,-0.77,0.18,152.0,1.0,0.97879,2.167,116.836,111.855,-4.981,-0.01892,-4.728,True,0.0946,0.0,0.0,1.0,True,ok
red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,8046.047,4.415,-0.1,0.18,117.0,1.0,0.9547,4.7454,119.033,108.058,-10.975,-0.04201,-4.8299,True,0.0039,0.0,0.0,1.0,False,ok
red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,8945.189,5.033,-0.23,0.18,95.0,1.0,0.99059,0.9501,73.504,70.851,-2.654,-0.01597,-5.0853,False,0.0084,0.0,0.0,0.875,True,ok
red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,7653.758,4.796,-0.77,0.18,95.0,1.0,1.00137,-0.1369,58.606,59.006,0.399,0.00295,-5.1159,False,0.01,0.003,2.78,0.6087,True,ok
red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,9012.075,4.991,-0.05,0.18,94.0,1.0,0.90271,10.7775,199.869,184.045,-15.825,-0.03582,-4.6541,True,0.0115,0.002,2.78,1.0,False,ok
red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,8360.794,4.473,-1.1,0.18,109.0,1.0,0.99471,0.532,58.498,56.959,-1.54,-0.01158,-5.1551,False,0.0289,0.0,0.0,0.4444,True,ok
red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,7586.018,4.313,-0.27,0.18,132.0,1.0,0.96562,3.5608,115.452,107.021,-8.43,-0.03293,-4.8176,True,0.0144,0.003,2.78,1.0,False,ok
red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,8866.931,4.549,-0.01,0.18,96.0,1.0,0.94415,5.9154,119.56,106.16,-13.401,-0.05163,-4.8702,True,0.0165,0.004,5.56,1.0,False,ok
