element,ion,band,wavelength_air_A,ew_mA,rew,a_1dlte,in_aggregate_1dlte,excluded_reason_1dlte,elo_eV,eup_eV,loggf,n_vald_candidates,network,domain_reason,feature_ok,delta_E_ok,level_ok,stellar_ok,in_domain,delta_E_eV,aberr,aberr_axis_line,aberr_if_extrapolated,a_3dnlte
Fe,I,VIS,4203.938,,,7.057,True,nan,3.6343,6.5828,-0.95,1,gt02,"transition energy Eup-Elo 2.9485 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.9484999999999997,,,0.13098199524498882,
Fe,I,VIS,4233.602,,,7.369,True,nan,2.4821,5.4099,-0.6,1,gt02,"transition energy Eup-Elo 2.9278 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 5.4099 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.9278000000000004,,,0.10219314801436638,
Fe,I,VIS,4245.344,,,7.488,True,nan,3.332,6.2517,-1.43,1,gt02,"transition energy Eup-Elo 2.9197 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2517 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.9196999999999997,,,0.08170353794027412,
Fe,I,VIS,4259.999,,,7.471,True,nan,3.332,6.2416,-1.4,1,gt02,"transition energy Eup-Elo 2.9096 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.9096,,,0.0804756441102821,
Fe,I,VIS,4276.675,,,7.855,True,nan,3.8816,6.7799,-1.75,1,gt02,"transition energy Eup-Elo 2.8983 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8982999999999994,,,0.08405737866255986,
Fe,I,VIS,4278.23,,,7.597,True,nan,3.3683,6.2655,-1.58,1,gt02,"transition energy Eup-Elo 2.8972 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2655 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.8972,,,0.06662373484203565,
Fe,I,VIS,4286.863,,,11.035,False,"FIT-NOT-PHYSICAL: A(Fe) = 11.035 is 3.58 dex from solar 7.46, outside the +/-1.5 dex validity bound. This is a NON-CONVERGENT FIT, not an outlier: the bound spans a factor of ~1000 in abundance and cannot shape a result (RYA-1191).",3.417,6.3083,-2.2,1,gt02,"transition energy Eup-Elo 2.8913 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.3083 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.8913,,,0.06625976924084881,
Fe,I,VIS,4287.94,,,7.451,True,nan,3.4302,6.3208,-1.95,1,gt02,"transition energy Eup-Elo 2.8906 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8906,,,0.07218231197254721,
Fe,I,VIS,4289.08,,,7.566,True,nan,3.3683,6.2581,-1.17,1,gt02,"transition energy Eup-Elo 2.8898 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2581 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.8897999999999997,,,0.0891299767403019,
Fe,I,VIS,4289.915,,,6.962,True,nan,3.3965,6.2858,-1.74,1,gt02,"transition energy Eup-Elo 2.8893 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2858 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.8893,,,0.05383257916340063,
