element,ion,band,wavelength_air_A,ew_mA,rew,a_1dlte,in_aggregate_1dlte,excluded_reason_1dlte,elo_eV,eup_eV,loggf,n_vald_candidates,network,domain_reason,feature_ok,delta_E_ok,level_ok,stellar_ok,in_domain,delta_E_eV,aberr,aberr_axis_line,aberr_if_extrapolated,a_3dnlte
Fe,I,VIS,4203.938,,,6.865,True,nan,3.6343,6.5828,-0.95,1,gt02,"transition energy Eup-Elo 2.9485 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.9484999999999997,,,0.13161138156333854,
Fe,I,VIS,4233.602,,,7.215,True,nan,2.4821,5.4099,-0.6,1,gt02,"transition energy Eup-Elo 2.9278 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 5.4099 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.9278000000000004,,,0.10256726890751297,
Fe,I,VIS,4245.344,,,7.32,True,nan,3.332,6.2517,-1.43,1,gt02,"transition energy Eup-Elo 2.9197 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2517 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.9196999999999997,,,0.08253884301291473,
Fe,I,VIS,4259.999,,,7.33,True,nan,3.332,6.2416,-1.4,1,gt02,"transition energy Eup-Elo 2.9096 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.9096,,,0.0812986390385787,
Fe,I,VIS,4276.675,,,7.704,True,nan,3.8816,6.7799,-1.75,1,gt02,"transition energy Eup-Elo 2.8983 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8982999999999994,,,0.0842221091265988,
Fe,I,VIS,4278.23,,,7.408,True,nan,3.3683,6.2655,-1.58,1,gt02,"transition energy Eup-Elo 2.8972 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2655 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.8972,,,0.06674174543229568,
Fe,I,VIS,4286.863,,,12.488,False,SYNTHESIS: edge_pinned,3.417,6.3083,-2.2,1,gt02,"transition energy Eup-Elo 2.8913 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.3083 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.8913,,,0.06671398194920271,
Fe,I,VIS,4287.94,,,7.546,True,nan,3.4302,6.3208,-1.95,1,gt02,"transition energy Eup-Elo 2.8906 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8906,,,0.07336428852888578,
Fe,I,VIS,4289.08,,,7.445,True,nan,3.3683,6.2581,-1.17,1,gt02,"transition energy Eup-Elo 2.8898 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2581 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.8897999999999997,,,0.08957651789200385,
Fe,I,VIS,4289.915,,,6.781,True,nan,3.3965,6.2858,-1.74,1,gt02,"transition energy Eup-Elo 2.8893 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 6.2858 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.8893,,,0.05464385695605127,
Fe,I,VIS,4326.753,,,7.457,True,nan,2.9488,5.8135,-1.81,1,gt02,"transition energy Eup-Elo 2.8647 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8647000000000005,,,0.05428478795695971,
Fe,I,VIS,4344.499,,,7.071,True,nan,3.6025,6.4555,-1.15,1,gt02,"transition energy Eup-Elo 2.8530 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8529999999999998,,,0.11093174798044728,
Fe,I,VIS,4351.544,,,7.102,True,nan,2.9904,5.8388,-1.64,1,gt02,"transition energy Eup-Elo 2.8484 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8484,,,0.06452641235242876,
Fe,I,VIS,4358.499,,,7.718,True,nan,2.9488,5.7926,-1.57,1,gt02,"transition energy Eup-Elo 2.8438 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8438000000000003,,,0.0720143699101304,
Fe,I,VIS,4369.736,,,8.129,True,nan,3.9433,6.7799,-1.81,1,gt02,"transition energy Eup-Elo 2.8366 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8366,,,0.07624108255832034,
Fe,I,VIS,4372.982,,,7.327,True,nan,3.0173,5.8517,-2.4,1,gt02,"transition energy Eup-Elo 2.8344 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8344,,,0.0460097806050388,
Fe,I,VIS,4373.561,,,7.614,True,nan,3.0176,5.8517,-1.84,1,gt02,"transition energy Eup-Elo 2.8341 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8341000000000003,,,0.0444720163445841,
Fe,I,VIS,4401.29,,,7.668,True,nan,3.6025,6.4187,-0.99,1,gt02,"transition energy Eup-Elo 2.8162 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8162000000000003,,,0.10460101420496704,
Fe,I,VIS,4408.413,,,7.549,True,nan,2.1979,5.0095,-1.74,1,gt02,"transition energy Eup-Elo 2.8116 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8116,,,0.04693371555704898,
Fe,I,VIS,4423.841,,,7.155,True,nan,3.6537,6.4555,-1.61,1,gt02,"transition energy Eup-Elo 2.8018 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.8017999999999996,,,0.07116712595964347,
Fe,I,VIS,4432.568,,,7.455,True,nan,3.5732,6.3696,-1.58,1,gt02,"transition energy Eup-Elo 2.7964 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7964,,,0.061253429521184274,
Fe,I,VIS,4447.717,,,7.299,True,nan,2.2227,5.0095,-1.36,1,gt02,"transition energy Eup-Elo 2.7868 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7868,,,0.07535189906417299,
Fe,I,VIS,4459.117,,,7.381,True,nan,2.1759,4.9556,-1.29,1,gt02,"transition energy Eup-Elo 2.7797 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; upper level 4.9556 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.7796999999999996,,,0.08144390115942171,
Fe,I,VIS,4461.968,,,7.52,True,nan,3.6025,6.3804,-1.22,2,gt02,"transition energy Eup-Elo 2.7779 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7779,,,0.09405590037271241,
Fe,I,VIS,4476.075,,,7.196,True,nan,3.6864,6.4555,-0.34,1,gt02,"transition energy Eup-Elo 2.7691 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7691,,,0.10547324611221498,
Fe,I,VIS,4480.137,,,7.544,True,nan,3.0469,5.8135,-1.93,1,gt02,"transition energy Eup-Elo 2.7666 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; lower level 3.0469 eV is not within 0.02 eV of any level in the training set",True,False,False,True,False,2.7666000000000004,,,0.03490819294460534,
Fe,I,VIS,4481.609,,,7.407,True,nan,3.6864,6.4521,-1.5,1,gt02,"transition energy Eup-Elo 2.7657 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7657,,,0.068706855863927,
Fe,I,VIS,4482.739,,,7.561,True,nan,3.6537,6.4187,-1.44,1,gt02,"transition energy Eup-Elo 2.7650 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.765,,,0.07145995032751762,
Fe,I,VIS,4484.22,,,7.325,True,nan,3.6025,6.3666,-0.64,1,gt02,"transition energy Eup-Elo 2.7641 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7641,,,0.09120458916400112,
Fe,I,VIS,4488.906,,,7.388,True,nan,3.6537,6.4149,-1.72,1,gt02,"transition energy Eup-Elo 2.7612 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,2.7612,,,0.060248123677733564,
