wavelength_air_A,flux_normalized,n_frames,min_mtrans
19452.4182,0.75807,1,0.7515
19452.4858,0.724879,1,0.755
19452.5534,0.69397,1,0.7477
19452.621,0.667747,1,0.7285
19452.6886,0.644981,1,0.6965
19452.7562,0.614667,1,0.6492
19452.8237,0.588605,1,0.5826
19453.7699,0.898521,1,0.5319
19453.8375,0.911159,1,0.5912
19453.905,0.910961,1,0.6293
19453.9726,0.914623,1,0.6473
19454.0402,0.919935,1,0.6442
19454.1078,0.931384,1,0.6161
19454.1754,0.94139,1,0.5618
19454.4457,0.970525,1,0.5465
19454.5133,0.965287,1,0.6135
19454.5809,0.954706,1,0.6637
19454.6484,0.959586,1,0.6967
19454.716,0.964782,1,0.7155
19454.7836,0.956831,1,0.723
19454.8512,0.95229,1,0.7214
19454.9188,0.955407,1,0.7125
19454.9863,0.959842,1,0.6977
19455.0539,0.957835,1,0.6774
19455.1215,0.955692,1,0.6519
19455.1891,0.957489,1,0.6207
19455.2567,0.960988,1,0.5822
19455.3242,0.969786,1,0.5345
19456.4731,0.979598,1,0.5061
19456.5407,0.982844,1,0.5644
19456.6083,0.991695,1,0.6141
19456.6759,0.988608,1,0.6561
19456.7435,0.984117,1,0.6912
19456.811,0.978689,1,0.7204
19456.8786,0.97487,1,0.7446
19456.9462,0.971289,1,0.7646
19457.0138,0.980783,1,0.7809
19457.0814,0.981026,1,0.7941
19457.1489,0.981341,1,0.8044
19457.2165,0.984464,1,0.8122
19457.2841,0.984298,1,0.8172
19457.3517,0.981539,1,0.8192
19457.4193,0.974596,1,0.8174
19457.4869,0.980598,1,0.8103
19457.5544,0.98713,1,0.7949
19457.622,0.99099,1,0.7669
19457.6896,0.989532,1,0.7196
19457.7572,0.995455,1,0.6489
19457.8248,0.979291,1,0.5667
19457.8923,0.978849,1,0.5107
19457.9599,0.991932,1,0.5176
19458.0275,1.013437,1,0.5797
19458.0951,1.01469,1,0.6577
19458.1627,1.008858,1,0.7252
19458.2302,1.004961,1,0.7766
19458.2978,0.992393,1,0.8129
19458.3654,0.99628,1,0.8374
19458.433,0.99297,1,0.8536
19458.5006,0.989148,1,0.8641
19458.5682,0.994556,1,0.8709
19458.6357,0.9962,1,0.8749
19458.7033,0.99291,1,0.8766
19458.7709,0.991229,1,0.8761
19458.8385,0.999268,1,0.8732
19458.9061,1.000456,1,0.8673
19458.9736,1.002855,1,0.8571
19459.0412,1.004144,1,0.8407
19459.1088,0.995705,1,0.8144
19459.1764,1.007396,1,0.7721
19459.244,1.010342,1,0.7055
19459.3116,0.996291,1,0.6173
19459.3791,0.980079,1,0.5391
19459.4467,0.985817,1,0.5188
19459.5143,1.009838,1,0.5699
