instrument,holding,species,wavelength_air_A,ep_eV,published_loggf,source_band,half_width_A,status,ew_mA,observed_core_depth,method,spectrum_source,reason_or_concern
harps,solar_harps,Si I,5645.6128,4.9296,-2.04,VIS,0.12,served,35.6212,0.25288,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps · solar_normalized.csv,
harps,solar_harps_molecfit_corrected,Si I,5645.6128,4.9296,-2.04,VIS,0.12,served,35.6231,0.25289,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,
iag_fts_solar_atlas,solar_iag,Si I,5645.6128,4.9296,-2.04,VIS,0.12,served,37.7734,0.28789,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_iag · iag_telfree_solaratlas.fits,
iag_fts_solar_atlas,solar_iag_reiners2016,Si I,5645.6128,4.9296,-2.04,VIS,0.12,unserved,,,,,"LookupError: no iag_fts_solar_atlas holding covers 5645.613 +/- 0.360 A (solar_iag_reiners2016 4047.5-5001.1 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
kpno_solar_atlas,solar_kpno_molecfit_corrected,Si I,5645.6128,4.9296,-2.04,VIS,0.12,served,36.3645,0.28366,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_molecfit_corrected · lm0564[uncorrected: no telluric band registered],
kpno_solar_atlas,solar_kpno_kurucz2005_corrected,Si I,5645.6128,4.9296,-2.04,VIS,0.12,served,36.1018,0.2768,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,
crires_plus,solar_crires_plus_y_rya794,Si I,5645.6128,4.9296,-2.04,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5645.613 +/- 0.360 A (solar_crires_plus_y_rya794 10280.0-10680.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_y_wide_rya1054,Si I,5645.6128,4.9296,-2.04,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5645.613 +/- 0.360 A (solar_crires_plus_y_wide_rya1054 9800.0-10796.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_h_rya1094,Si I,5645.6128,4.9296,-2.04,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5645.613 +/- 0.360 A (solar_crires_plus_h_rya1094 15007.1-17493.7 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_vesta_crires_plus_idp,Si I,5645.6128,4.9296,-2.04,VIS,0.12,unserved,,,,,"TelluricNotCorrected: crires_plus covers 5645.613 A but no holding may be measured there. solar_vesta_crires_plus_idp: telluric_applied=not-applied and crires_plus is registered telluric_required=yes (basis 'correction_required'). Route it through the RYA-424 telluric stage (molecfit / cr2res / APERO+Wapiti) BEFORE any IR abundance; before correction the observed flux is not stellar. If you ARE the telluric correction leg and need the uncorrected flux in order to correct it, pass allow_uncorrected=True."
harps,solar_harps,Si I,5684.484,4.9538,-1.55,VIS,0.12,served,57.6258,0.41797,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps · solar_normalized.csv,
harps,solar_harps_molecfit_corrected,Si I,5684.484,4.9538,-1.55,VIS,0.12,served,57.6269,0.41798,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,
iag_fts_solar_atlas,solar_iag,Si I,5684.484,4.9538,-1.55,VIS,0.12,served,60.6549,0.4462,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_iag · iag_telfree_solaratlas.fits,
iag_fts_solar_atlas,solar_iag_reiners2016,Si I,5684.484,4.9538,-1.55,VIS,0.12,unserved,,,,,"LookupError: no iag_fts_solar_atlas holding covers 5684.484 +/- 0.360 A (solar_iag_reiners2016 4047.5-5001.1 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
kpno_solar_atlas,solar_kpno_molecfit_corrected,Si I,5684.484,4.9538,-1.55,VIS,0.12,served,61.1056,0.44995,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_molecfit_corrected · lm0568[uncorrected: no telluric band registered],
