element,ion,wavelength_air_A,ew_mA,ew_err_mA,chi2,blend_flag,log_gf,excitation_potential_eV,nist_grade,loggf_reference,rew,err_frac,gf_tier,blend_ratio,cull_reason,kept,gf_flag,A_lte
Si,I,4448.79175,65.86,58.68,0.0588,False,-3.489,4.93,,K07,-4.8296203503223385,0.8909808685089584,LOW,2.179391037085684,"SAT,HIERR,BLEND,GRADE",False,GF_UNVERIFIED,9.412
Si,I,4738.83206,63.14,14.67,0.0167,False,-2.525,4.93,,K07,-4.875366740405144,0.23234082990180552,LOW,0.002369674930286394,"SAT,GRADE",False,GF_UNVERIFIED,8.444
Si,I,5488.98253,130.08,76.37,0.013,False,-2.299,5.614,,K07,-4.625281320287739,0.58710024600246,LOW,2.668388225743635,"SAT,HIERR,BLEND,GRADE",False,GF_UNVERIFIED,9.364
Si,I,5517.53317,111.88,21.77,0.0021,False,-2.61,5.082,,VALD3,-4.6929924950095385,0.19458348230246694,MED,0.00017781316022179457,SAT,False,,9.384
Si,I,5622.2197,44.52,106.47,0.0057,False,-2.606,4.93,,K07,-5.1013526569060454,2.391509433962264,LOW,0.005908709944305329,"HIERR,GRADE",False,GF_UNVERIFIED,8.225
Si,I,5645.03323,103.51,35.21,0.0044,False,-2.332,5.614,,K07,-4.7366841941968785,0.3401603709786494,LOW,0.09467785186711848,"SAT,GRADE",False,GF_UNVERIFIED,9.248
Si,I,5650.48315,157.39,53.49,0.0046,False,-2.395,5.616,,K07,-4.5551084487996905,0.3398564076497872,LOW,0.010566381725426819,"SAT,GRADE",False,GF_UNVERIFIED,9.752
Si,I,5650.59813,54.88,7.53,0.0051,False,-2.781,5.616,,K07,-5.012680318715365,0.13720845481049562,LOW,17.551638621721807,"BLEND,GRADE",False,GF_UNVERIFIED,9.123
Si,I,5660.67668,26.8,60.44,0.0271,False,-2.029,5.616,,K07,-5.324733556033005,2.255223880597015,LOW,0.002644185313939247,"HIERR,GRADE",False,GF_UNVERIFIED,7.909
Si,I,5666.67685,164.08,19.85,0.0051,False,-1.797,5.616,,VALD3,-4.538272799750331,0.12097757191613846,MED,0.030552408007889297,SAT,False,,9.206
Si,I,5675.75544,99.59,2.27,0.0003,False,-2.731,5.619,,K07,-4.755807941703643,0.022793453157947584,LOW,1.1123998862218896,"SAT,BLEND,GRADE",False,GF_UNVERIFIED,9.615
Si,I,5701.104,176.19,17.3,0.0073,False,-2.05,4.93,,VALD3,-4.509977707948818,0.09818945456609343,MED,1.0478741160644117e-05,SAT,False,,8.912
Si,I,5708.39952,143.57,23.69,0.026,False,-1.47,4.954,,VALD3,-4.599450660566552,0.1650066169812635,MED,0.0001244769248926184,SAT,False,,8.434
Si,I,5721.02117,20.13,1.17,0.0002,False,-0.852,5.863,,K07,-5.453629779938222,0.05812220566318927,LOW,0.01191436261017501,GRADE,False,GF_UNVERIFIED,6.753
Si,I,5763.42766,177.65,13.53,0.0071,False,-2.858,5.619,,K07,-4.511115634632141,0.0761609907120743,LOW,0.0,"SAT,GRADE",False,GF_UNVERIFIED,10.367
Si,I,5772.146,65.51,2.22,0.0003,False,-1.75,5.082,,VALD3,-4.945029708123343,0.033887956037246224,MED,0.29552976383209834,,True,,7.838
Si,I,5780.38377,151.39,18.99,0.0077,False,-2.35,4.92,,VALD3,-4.581859483983768,0.1254376114670718,MED,0.0012440442598139565,SAT,False,,9.364
Si,I,5843.0525,10.09,5.28,0.0001,False,-2.561,5.863,,K07,-5.7627486222396875,0.5232903865213082,LOW,1.8435728785236336,"HIERR,BLEND,GRADE",False,GF_UNVERIFIED,8.149
Si,I,5866.0536,54.16,16.99,0.0026,False,-1.84,5.614,,K07,-5.034667371272573,0.31370014771048743,LOW,0.0,GRADE,False,GF_UNVERIFIED,8.179
Si,I,5944.4244,7.82,3.47,0.0016,False,-2.126,5.964,,K07,-5.880903055094829,0.4437340153452686,LOW,0.0020555545374590705,GRADE,False,GF_UNVERIFIED,7.691
Si,I,5950.09157,109.18,131.14,0.0088,False,-2.032,5.863,,K07,-4.7363805594627575,1.2011357391463635,LOW,0.3617787700857159,"SAT,HIERR,GRADE",False,GF_UNVERIFIED,9.022
Si,I,5959.42815,50.94,26.7,0.0011,False,-2.058,5.954,,K07,-5.068145647432331,0.5241460541813899,LOW,0.0013392900177083287,"HIERR,GRADE",False,GF_UNVERIFIED,8.528
Si,I,5997.96812,95.91,4.41,0.001,False,-2.22,5.954,,K07,-4.796140262105236,0.04598060681889272,LOW,0.4681849504316396,"SAT,GRADE",False,GF_UNVERIFIED,8.918
Si,I,6000.85486,9.92,3.84,0.0003,False,-1.264,5.984,,K07,-5.781701450652014,0.3870967741935484,LOW,0.05247665790473874,GRADE,False,GF_UNVERIFIED,6.947
Si,I,6002.07656,96.52,19.63,0.0072,False,-1.96,5.964,,K07,-4.793684217567759,0.20337753833402403,LOW,0.09623909317804592,"SAT,GRADE",False,GF_UNVERIFIED,8.805
Si,I,6022.22932,101.44,75.93,0.0181,False,-1.966,5.863,,K07,-4.7735480484196176,0.7485212933753944,LOW,0.002478888816667229,"SAT,HIERR,GRADE",False,GF_UNVERIFIED,8.938
Si,I,6042.39879,68.36,0.57,0.0,False,-1.316,5.964,,K07,-4.946407330672257,0.008338209479227619,LOW,0.003638237102474461,GRADE,False,GF_UNVERIFIED,7.977
Si,I,6063.99314,59.96,155.86,0.0144,False,-2.844,5.863,,K07,-5.004897077144683,2.5993995997331556,LOW,0.0,"HIERR,GRADE",False,GF_UNVERIFIED,9.406
Si,I,6067.62354,13.7,14.9,0.0002,False,-3.103,5.082,,K07,-5.646298060401186,1.0875912408759125,LOW,0.14588345223585475,"HIERR,GRADE",False,GF_UNVERIFIED,8.138
Si,I,6076.9247,22.4,11.35,0.0066,False,-2.008,5.964,,VALD3,-5.433435836644535,0.5066964285714286,MED,0.0005046434301654205,HIERR,False,,8.06
Si,I,6080.02218,72.45,115.29,0.0093,False,-2.179,5.871,,K07,-4.92386677378035,1.5913043478260869,LOW,0.0003526585808177539,"HIERR,GRADE",False,GF_UNVERIFIED,8.906
Si,I,6091.9188,52.35,7.54,0.0031,False,-1.463,5.871,,VALD3,-5.065837419918521,0.1440305635148042,MED,0.003998610255442323,,True,,7.955
Si,I,6123.49394,120.94,60.47,0.0242,False,-2.568,5.619,,K07,-4.704429328117699,0.5,LOW,0.00034724094474116205,"SAT,GRADE",False,GF_UNVERIFIED,9.763
Si,I,6131.5729,62.53,6.55,0.001,False,-1.557,5.616,,VALD3,-4.991483467398407,0.10474972013433552,MED,0.1487838998008389,,True,,8.056
Si,I,6142.2036,188.4,16.53,0.0099,False,-2.597,5.619,,K07,-4.5132433097574856,0.08773885350318472,LOW,0.0659798322152833,"SAT,GRADE",False,GF_UNVERIFIED,10.291
Si,I,6152.29226,81.29,62.38,0.0042,False,-1.358,5.964,,K07,-4.8789998345619185,0.7673760610161151,LOW,0.043990317118676646,"SAT,HIERR,GRADE",False,GF_UNVERIFIED,8.163
Si,I,6155.69334,155.8,27.3,0.0057,False,-2.252,5.619,,K07,-4.596709522984832,0.17522464698331194,LOW,0.30782502892345776,"SAT,GRADE",False,GF_UNVERIFIED,9.742
Si,I,6194.41604,29.64,2.8,0.0004,False,-2.076,5.871,,VALD3,-5.320122171524329,0.09446693657219972,MED,0.6656974009902623,BLEND,False,,8.225
Si,I,6194.88433,57.79,5.2,0.0004,False,-2.192,5.871,,K07,-5.030180507236546,0.08998096556497664,LOW,1.1540645683541964,"BLEND,GRADE",False,GF_UNVERIFIED,8.763
Si,I,6222.68208,20.82,36.03,0.0017,False,-2.799,5.954,,K07,-5.475496888050242,1.7305475504322767,LOW,0.026355611815511163,"HIERR,GRADE",False,GF_UNVERIFIED,8.814
Si,I,6237.31908,86.69,5.69,0.0023,False,-0.975,5.614,,VALD3,-4.857028958694471,0.06563617487599493,MED,0.0008264993944508305,SAT,False,,7.798
Si,I,6243.81457,73.18,8.78,0.0049,False,-1.244,5.616,,VALD3,-4.931057591670672,0.1199781361027603,MED,0.0,,True,,7.892
Si,I,6253.59806,229.04,43.68,0.0225,False,-2.39,5.082,,K07,-4.436218629208094,0.19070904645476774,LOW,0.2965012818782939,"SAT,GRADE",False,GF_UNVERIFIED,10.0
Si,I,6255.49159,151.97,47.39,0.0211,False,-2.843,5.619,,K07,-4.614503581085999,0.31183786273606634,LOW,0.0,"SAT,GRADE",False,GF_UNVERIFIED,10.3
Si,I,6279.34314,142.72,37.0,0.0236,False,-2.434,5.863,,K07,-4.64342937906288,0.2592488789237668,LOW,0.005645653662635561,"SAT,GRADE",False,GF_UNVERIFIED,9.827
Si,I,6280.42086,243.51,28.64,0.0141,False,-2.565,5.964,,K07,-4.411471946721039,0.11761323970268162,LOW,0.05396645799551272,"SAT,GRADE",False,GF_UNVERIFIED,10.377
Si,I,6301.62465,170.0,12.91,0.0103,False,-2.653,5.954,,K07,-4.569003609911544,0.07594117647058823,LOW,0.00285423361248431,"SAT,GRADE",False,GF_UNVERIFIED,10.173
Si,I,6308.82529,7.67,5.56,0.0027,False,-1.795,5.863,,K07,-5.9151531367270085,0.7249022164276401,LOW,0.2974664009893292,"HIERR,GRADE",False,GF_UNVERIFIED,7.256
Si,I,6334.46568,103.78,24.46,0.0095,False,-2.271,5.964,,K07,-4.785596321129811,0.2356908845634997,LOW,0.0,"SAT,GRADE",False,GF_UNVERIFIED,9.35
Si,I,6344.42885,73.53,0.81,0.0001,False,-1.768,6.099,,K07,-4.935927965351325,0.011015911872705019,LOW,0.15957196822365954,GRADE,False,GF_UNVERIFIED,8.602
Si,I,6354.90247,91.54,1.24,0.0002,False,-2.352,6.099,,K07,-4.84149798164283,0.013545990823683634,LOW,0.0,"SAT,GRADE",False,GF_UNVERIFIED,9.15
Si,II,6371.37137,42.48,3.57,0.0007,False,-0.04,8.121,,VALD3,-5.176048411596802,0.08403954802259887,MED,0.006226287702708036,,True,,7.87
Si,I,6391.02048,19.28,33.2,0.0005,False,-2.065,6.083,,K07,-5.520463179678933,1.7219917012448134,LOW,0.007225568810934076,"HIERR,GRADE",False,GF_UNVERIFIED,8.141
Si,I,6397.34319,7.29,4.81,0.0,False,-1.577,6.083,,K07,-5.94327212105917,0.6598079561042524,LOW,0.0,"HIERR,GRADE",False,GF_UNVERIFIED,7.205
Si,I,6407.06959,164.33,25.73,0.008,False,-1.963,5.871,,K07,-4.590942585831281,0.156575184080813,LOW,0.04761337532259436,"SAT,GRADE",False,GF_UNVERIFIED,9.562
Si,I,6414.97971,72.77,5.6,0.0018,False,-1.036,5.871,,VALD3,-4.945242912157544,0.07695478906142642,MED,0.0009291892925356823,,True,,7.828
Si,I,6423.72036,10.53,4.94,0.0002,False,-1.813,5.616,,K07,-5.785358255613111,0.4691358024691359,LOW,0.0,GRADE,False,GF_UNVERIFIED,7.205
Si,I,6427.88821,5.7,6.58,0.0,False,-2.171,6.125,,K07,-6.052193459493752,1.1543859649122807,LOW,0.07957533850883293,"HIERR,GRADE",False,GF_UNVERIFIED,7.739
Si,I,6433.33716,77.45,9.23,0.0016,False,-2.913,5.614,,K07,-4.919414890519269,0.11917366042608134,LOW,0.33914761527486864,GRADE,False,GF_UNVERIFIED,9.607
Si,I,6433.45722,77.89,10.17,0.0017,False,-2.038,5.964,,VALD3,-4.916962713574655,0.13056875080241365,MED,0.050495026406733326,,True,,8.895
Si,I,6487.12063,12.76,1.03,0.0001,False,-2.965,5.616,,K07,-5.706201299459413,0.08072100313479624,LOW,1.0905093280781186,"BLEND,GRADE",False,GF_UNVERIFIED,8.451
Si,I,6493.44563,160.73,26.3,0.024,False,-1.836,6.125,,K07,-4.6063782638044,0.16362844521868974,LOW,0.964946885553421,"SAT,BLEND,GRADE",False,GF_UNVERIFIED,9.235
Si,I,6513.75551,36.15,14.95,0.0009,False,-2.638,6.079,,K07,-5.255723151915073,0.4135546334716459,LOW,0.11315040521712998,GRADE,False,GF_UNVERIFIED,9.041
Si,I,6518.1286,76.28,5.76,0.0031,False,-1.38,6.083,,K07,-4.931712240291429,0.07551127425275302,LOW,0.0,GRADE,False,GF_UNVERIFIED,8.232
Si,I,6572.4109,37.76,13.7,0.0019,False,-2.996,5.614,,K07,-5.240692721605678,0.3628177966101695,LOW,0.22889328155175553,GRADE,False,GF_UNVERIFIED,9.093
Si,I,6572.99082,35.83,7.84,0.003,False,-2.583,6.099,,K07,-5.263516217568368,0.2188110521909015,LOW,0.006829007835895122,GRADE,False,GF_UNVERIFIED,8.995
Si,I,6583.70736,22.17,0.8,0.0,False,-1.741,5.954,,VALD3,-5.472704825511094,0.03608479927830401,MED,0.00468041846553403,,True,,7.803
Si,I,6593.04374,157.03,8.43,0.005,False,-1.257,6.099,,K07,-4.623103326289627,0.05368400942495064,LOW,3.3346947331740114e-06,"SAT,GRADE",False,GF_UNVERIFIED,8.669
Si,I,6616.12417,16.88,8.33,0.0001,False,-2.567,5.954,,K07,-5.593231205077069,0.49348341232227494,LOW,0.13222502311276846,GRADE,False,GF_UNVERIFIED,8.49
Si,I,6618.45701,31.07,5.89,0.0001,False,-2.69,5.614,,K07,-5.328415499001999,0.1895719343418088,LOW,1.849969597448659,"BLEND,GRADE",False,GF_UNVERIFIED,8.66
Si,I,6625.49263,31.7,4.11,0.0003,False,-1.708,6.125,,K07,-5.320158913000387,0.1296529968454259,LOW,0.0,GRADE,False,GF_UNVERIFIED,8.072
Si,I,6640.61748,47.07,6.92,0.0007,False,-2.506,6.099,,K07,-5.149464265954257,0.14701508391756957,LOW,0.04502360769653138,GRADE,False,GF_UNVERIFIED,9.079
Si,I,6664.67252,69.26,24.99,0.0085,False,-2.494,5.954,,K07,-4.983296327263959,0.36081432284146686,LOW,0.0,GRADE,False,GF_UNVERIFIED,9.293
Si,I,6668.78887,35.51,5.3,0.0002,False,-2.285,5.964,,K07,-5.273696295822479,0.1492537313432836,LOW,0.00011639277527407854,GRADE,False,GF_UNVERIFIED,8.625
Si,I,6682.72762,20.0,3.77,0.0,False,-2.57,6.083,,K07,-5.5239237644958195,0.1885,LOW,0.00039546953153534706,GRADE,False,GF_UNVERIFIED,8.676
Si,I,6706.97947,26.56,78.55,0.0024,False,-2.801,5.954,,K07,-5.402298906275451,2.9574548192771086,LOW,0.021609339469208393,"HIERR,GRADE",False,GF_UNVERIFIED,8.965
Si,I,6774.81249,24.18,4.29,0.0,False,-1.895,6.099,,K07,-5.4474409829943475,0.1774193548387097,LOW,0.0,GRADE,False,GF_UNVERIFIED,8.116
Si,I,6805.57144,33.8,38.98,0.0023,False,-2.374,6.083,,K07,-5.303947896979454,1.1532544378698224,LOW,0.0,"HIERR,GRADE",False,GF_UNVERIFIED,8.769
Si,I,6848.57994,24.56,1.57,0.0002,False,-1.528,5.863,,K07,-5.445372166956616,0.06392508143322476,LOW,0.0,GRADE,False,GF_UNVERIFIED,7.574
Si,I,6876.35917,213.21,101.84,0.1068,False,-2.482,5.984,,K07,-4.50855098276788,0.4776511420665072,LOW,0.31942615642518635,"SAT,GRADE",False,GF_UNVERIFIED,10.4
