index,product_key,A,n_indicators,n_model_lines,state,sigma_reported,holds
0,N|I|red-optical|iag_fts_solar_atlas|solar_iag|ALL|SET-AGSS21_ENGINE-A|SYNTH|ENGINE-A|our-all,8.091,2,2,HOLD,,measurement;transition_data;stellar.teff;stellar.xi;continuum;profile_ew;pseudo_continuum;telluric;holding_instrument;nlte;model_atmosphere;hfs_isotopes;blends;molecular_coupling
1,N|I|red-optical|iag_fts_solar_atlas|solar_iag|ALL|SET-AGSS21|SYNTH|1D-LTE|our-all,8.351,4,4,HOLD,,measurement;transition_data;stellar.teff;stellar.xi;continuum;profile_ew;pseudo_continuum;telluric;holding_instrument;nlte;model_atmosphere;hfs_isotopes;blends;molecular_coupling
2,N|I|red-optical|kpno_solar_atlas|solar_kpno_kurucz2005_corrected|ALL|SET-AGSS21_ENGINE-A|SYNTH|ENGINE-A|our-all,8.189,2,2,HOLD,,measurement;transition_data;stellar.teff;stellar.xi;continuum;profile_ew;pseudo_continuum;telluric;holding_instrument;nlte;model_atmosphere;hfs_isotopes;blends;molecular_coupling
3,N|I|red-optical|kpno_solar_atlas|solar_kpno_kurucz2005_corrected|ALL|SET-AGSS21|SYNTH|1D-LTE|our-all,8.293,4,4,HOLD,,measurement;transition_data;stellar.teff;stellar.xi;continuum;profile_ew;pseudo_continuum;telluric;holding_instrument;nlte;model_atmosphere;hfs_isotopes;blends;molecular_coupling
4,N|I|red-optical|kpno_solar_atlas|solar_kpno_molecfit_corrected|ALL|SET-AGSS21_ENGINE-A|SYNTH|ENGINE-A|our-all,8.016,2,2,HOLD,,measurement;transition_data;stellar.teff;stellar.xi;continuum;profile_ew;pseudo_continuum;telluric;holding_instrument;nlte;model_atmosphere;hfs_isotopes;blends;molecular_coupling
5,N|I|red-optical|kpno_solar_atlas|solar_kpno_molecfit_corrected|ALL|SET-AGSS21|SYNTH|1D-LTE|our-all,8.287,4,4,HOLD,,measurement;transition_data;stellar.teff;stellar.xi;continuum;profile_ew;pseudo_continuum;telluric;holding_instrument;nlte;model_atmosphere;hfs_isotopes;blends;molecular_coupling
6,N|I|VIS|harps|solar_harps_molecfit_corrected|ALL|MOL-CN_red|SYNTH|1D-LTE|our-all,7.384,1,194,HOLD,,measurement;transition_data;stellar.teff;stellar.xi;continuum;profile_ew;pseudo_continuum;telluric;holding_instrument;nlte;model_atmosphere;hfs_isotopes;blends;molecular_coupling
7,N|I|red-optical|iag_fts_solar_atlas|solar_iag|ALL|SET-AGSS21|SYNTH|ENGINE-A|our-all,8.091,2,2,HOLD,,measurement;transition_data;stellar.teff;stellar.xi;continuum;profile_ew;pseudo_continuum;telluric;holding_instrument;nlte;model_atmosphere;hfs_isotopes;blends;molecular_coupling
8,N|I|red-optical|kpno_solar_atlas|solar_kpno_kurucz2005_corrected|ALL|SET-AGSS21|SYNTH|ENGINE-A|our-all,8.189,2,2,HOLD,,measurement;transition_data;stellar.teff;stellar.xi;continuum;profile_ew;pseudo_continuum;telluric;holding_instrument;nlte;model_atmosphere;hfs_isotopes;blends;molecular_coupling
9,N|I|red-optical|kpno_solar_atlas|solar_kpno_molecfit_corrected|ALL|SET-AGSS21|SYNTH|ENGINE-A|our-all,8.016,2,2,HOLD,,measurement;transition_data;stellar.teff;stellar.xi;continuum;profile_ew;pseudo_continuum;telluric;holding_instrument;nlte;model_atmosphere;hfs_isotopes;blends;molecular_coupling
10,N|I|NIR|iag_fts_solar_atlas|solar_iag|ALL|MOL-CN_AX_IR|SYNTH|1D-LTE|our-all,7.999,1,244,HOLD,,measurement;transition_data;stellar.teff;stellar.xi;continuum;profile_ew;pseudo_continuum;telluric;holding_instrument;nlte;model_atmosphere;hfs_isotopes;blends;molecular_coupling
11,N|I|NIR|kpno_solar_atlas|solar_kpno_molecfit_corrected|ALL|MOL-CN_AX_IR|SYNTH|1D-LTE|our-all,8.233,1,215,HOLD,,measurement;transition_data;stellar.teff;stellar.xi;continuum;profile_ew;pseudo_continuum;telluric;holding_instrument;nlte;model_atmosphere;hfs_isotopes;blends;molecular_coupling
