element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,3067.244,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0304[uncorrected: no telluric band registered]",7.395,,synth-1D-LTE-gerber,True,,0.9146,False,0.018630313204601536,7.623332267317936,2.8988952036537894,46.543,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3083.741,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0308[uncorrected: no telluric band registered]",7.487,,synth-1D-LTE-gerber,True,,0.9901,False,0.02699071869516295,9.268720684966304,2.990741837767998,52.717,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3099.894,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0308[uncorrected: no telluric band registered]",7.426,,synth-1D-LTE-gerber,True,,1.0111,False,0.023501006020605387,20.507890732214168,2.929808512712624,33.913,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3100.665,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0308[uncorrected: no telluric band registered]",7.379,,synth-1D-LTE-gerber,True,,0.9582,False,0.02635578397690545,17.16797939391881,2.883485379265996,33.358,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3125.651,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0312[uncorrected: no telluric band registered]",7.739,,synth-1D-LTE-gerber,True,,0.9901,False,0.1199248407499098,3.5664853743026077,3.2429333217072642,259.298,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3211.986,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0320[uncorrected: no telluric band registered]",7.19,,synth-1D-LTE-gerber,True,,2.3992,False,0.020422544271499515,17.09560567446763,2.6941210317832747,35.867,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3217.377,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0320[uncorrected: no telluric band registered]",7.242,,synth-1D-LTE-gerber,True,,2.3992,False,0.041282167861660946,2.9022136919110504,2.745892297400424,39.271,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3225.787,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0320[uncorrected: no telluric band registered]",7.736,,synth-1D-LTE-gerber,True,,2.3992,False,0.09460067537443614,20.71094728645628,3.239761598454,70.006,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3227.795,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0320[uncorrected: no telluric band registered]",7.409,,synth-1D-LTE-gerber,True,,2.4254,False,0.0189162192039619,34.32196657230726,2.9127875887074035,30.376,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3228.249,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0320[uncorrected: no telluric band registered]",7.313,,synth-1D-LTE-gerber,True,,2.4688,False,0.025168670884255444,28.84341085469156,2.8165352528034875,44.589,0.0,"none — LTE, no departure applied",native,,,,,,,,
