element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A
Fe,I,3067.244,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.45,,synth-1D-LTE-gerber,True,,0.9146,False,0.03849414904696676,8.087080076481724,2.9538069644452323,50.142,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3083.741,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.573,,synth-1D-LTE-gerber,True,,0.9901,False,0.04315003906000104,11.518056464240662,3.0774602119855796,48.792,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3099.894,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.502,,synth-1D-LTE-gerber,True,,1.0111,False,0.05189838621156982,21.315508747643772,3.0058962614273543,36.437,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3100.665,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.446,,synth-1D-LTE-gerber,True,,0.9582,False,0.060055084807553644,16.402666898677424,2.9496683167637077,37.443,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3125.651,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",8.136,,synth-1D-LTE-gerber,True,,0.9901,False,0.13319870549827373,4.148040193657471,3.6404223662758524,272.042,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3211.986,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.309,,synth-1D-LTE-gerber,True,,2.3992,False,0.03316088401660028,23.332201240615287,2.8129226150070297,29.244,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3217.377,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.566,,synth-1D-LTE-gerber,True,,2.3992,False,0.10140870721352337,2.7310594665159735,3.0697309139217355,62.949,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3225.787,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.662,,synth-1D-LTE-gerber,True,,2.3992,False,0.09851387943299689,19.093607915718394,3.165602380425865,73.073,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3227.795,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.377,,synth-1D-LTE-gerber,True,,2.4254,False,0.02899595655668254,36.52177086213868,2.881310876382897,27.924,0.0,"none — LTE, no departure applied",native,,,,,,,,
Fe,I,3228.249,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",7.275,,synth-1D-LTE-gerber,True,,2.4688,False,0.03473303167468651,27.737092285903216,2.779083354042946,43.208,0.0,"none — LTE, no departure applied",native,,,,,,,,
