wavelength_air_A,ew_mA,ew_err_mA,rew,sigma_rew,A_at_measured_xi,sigma_A_from_ew
4800.649,72.5,1.6,-4.820961947068293,0.009584429945451074,7.867,0.03750000000000009
4924.301,27.2,2.2,-5.257775687471979,0.03512675956570419,7.9,0.057000000000000384
4962.572,55.8,1.4,-4.949072621886662,0.0108962773237375,7.564,0.03300000000000036
4969.917,78.9,1.6,-4.7992721326581185,0.008806985691320695,7.426,0.025499999999999634
4977.648,35.8,2.0,-5.143141155089779,0.024262261558840884,7.697,0.04850000000000021
4984.605,21.3,1.9,-5.369251145343906,0.03873988336226189,7.567,0.05449999999999999
4984.629,23.4,2.1,-5.328416982419329,0.03897514581183029,7.628,0.05699999999999994
4985.983,26.5,2.0,-5.274504919481092,0.032776942030434096,7.611,0.04899999999999993
5031.914,32.7,1.5,-5.187185457351527,0.019921765224919806,7.63,0.03299999999999992
5076.264,84.4,1.6,-4.779201753629516,0.008233070746981076,7.895,0.027499999999999858
5104.03,47.6,2.1,-5.030306265656439,0.019160050672202285,7.952,0.05449999999999999
5222.395,25.5,1.7,-5.311329536503884,0.028952965460216785,7.624,0.04499999999999993
5225.526,74.7,1.2,-4.844809411130333,0.006976618183184767,7.652,0.03149999999999986
5242.491,88.3,1.1,-4.773576989989247,0.0054102370339023445,7.374,0.018999999999999684
5257.655,24.1,1.2,-5.338775042331265,0.021624621505556104,7.772,0.03299999999999992
5267.269,33.6,1.3,-5.195246221000377,0.016803060311732957,7.571,0.028500000000000192
5284.425,36.7,1.6,-5.158331674238542,0.018933819374528687,7.798,0.038000000000000256
5298.776,47.8,1.4,-5.044747663962758,0.012719922064111978,7.671,0.03299999999999992
5329.989,69.1,1.9,-4.887248265358897,0.011941526998786953,7.88,0.046499999999999986
5398.279,75.1,1.1,-4.856615389498142,0.006361170840127524,7.491,0.01750000000000007
5412.784,21.4,1.2,-5.403006923337328,0.024352961602051502,7.448,0.033500000000000085
5432.948,72.9,1.3,-4.872308020002856,0.007744620390592967,7.828,0.020999999999999908
5466.396,80.2,1.4,-4.833526721638399,0.0075812004322263395,7.49,0.021500000000000075
5472.709,46.1,1.4,-5.074501430654526,0.013188986435239749,7.591,0.02950000000000008
5473.9,84.0,1.4,-4.81401757317136,0.0072382413650541955,7.474,0.021500000000000075
5481.243,94.0,1.9,-4.76575120248085,0.008778292719321047,8.063,0.02549999999999919
5483.099,51.4,1.4,-5.028062968355569,0.011829032581022423,7.545,0.028999999999999915
5491.832,14.8,1.3,-5.569455527920502,0.03814748827528563,7.486,0.04900000000000038
5618.632,52.7,1.2,-5.027819973101778,0.009889058411459243,7.477,0.02400000000000002
5701.544,85.7,1.2,-4.823011658289295,0.0060811362693570835,7.616,0.022499999999999964
5712.131,60.4,1.6,-4.975761220217845,0.011504489586841107,7.598,0.03049999999999997
5753.122,81.9,1.4,-4.846619681958285,0.007423837297491482,7.412,0.021500000000000075
5778.453,23.1,1.2,-5.398199605329532,0.022560752306662428,7.422,0.03299999999999992
5784.658,29.5,1.2,-5.292455671751545,0.017666216213013633,7.6,0.028000000000000025
5811.914,11.5,1.1,-5.703621338981633,0.041541211312484956,7.541,0.050000000000000266
5855.076,24.8,1.4,-5.373080855843721,0.024516623978409372,7.453,0.03550000000000031
5859.586,74.1,3.5,-4.898048724716744,0.020513234637805418,7.476,0.0665
5905.671,61.1,3.0,-4.9852280388774615,0.021323787982156388,7.478,0.052000000000000046
5930.18,90.8,1.2,-4.814982027274937,0.005739574650703768,7.426,0.015000000000000124
5949.346,52.3,1.2,-5.05596753833994,0.0099646917453901,7.692,0.027000000000000135
5987.065,73.2,1.3,-4.912702892134576,0.007712880143090538,7.651,0.0235000000000003
6007.96,63.1,1.4,-4.9786976733010615,0.00963569373477896,7.517,0.028999999999999915
6085.258,45.1,1.2,-5.130102454098315,0.01155550727902222,7.773,0.027499999999999858
6127.906,49.8,2.6,-5.090082751985847,0.022674009095350497,7.581,0.06449999999999978
6136.994,71.7,1.3,-4.932436543016463,0.007874237468259795,7.693,0.02950000000000008
6151.617,50.8,1.1,-5.083125576153723,0.009404014371920809,7.528,0.026000000000000245
6165.36,45.9,1.3,-5.128145754915789,0.01230027944388295,7.557,0.03200000000000003
6180.203,56.6,1.4,-5.038186309326417,0.010742266336829547,7.49,0.03200000000000003
6219.28,91.1,1.4,-4.834221732777901,0.006674119370631751,7.564,0.025500000000000078
6232.64,86.7,1.4,-4.856652945101862,0.007012829004204757,7.643,0.023499999999999854
6240.646,50.0,1.3,-5.09625954363391,0.011291656529484547,7.48,0.02950000000000008
6265.132,87.7,1.2,-4.853930632206378,0.005942455852724083,7.593,0.022999999999999687
6271.278,27.2,1.3,-5.362787149043801,0.020756721561552477,7.494,0.031500000000000306
6408.017,100.0,1.5,-4.806723655229177,0.006514417228548777,7.613,0.02100000000000035
6419.949,86.8,1.4,-4.869011852875764,0.007004749708116964,7.45,0.019000000000000128
6498.938,48.3,1.2,-5.128895263057179,0.010789925016229858,7.603,0.027000000000000135
6609.11,68.7,1.3,-4.9831862431352025,0.008218090632812624,7.658,0.028000000000000025
6752.707,40.6,2.0,-5.220951872511446,0.02139381684252472,7.537,0.040999999999999925
