line,cond,a_synth,red_chi2,note
5234.623,baseline,7.492,124.2,ok
5234.623,A:gf,,,no sourced gf
5234.623,B:vdW,7.552,124.1,best σ×0.5
5234.623,C:both,,,no sourced gf
5991.371,baseline,7.586,213.3,ok
5991.371,A:gf,,,no sourced gf
5991.371,B:vdW,7.566,213.2,best σ×4.0
5991.371,C:both,,,no sourced gf
6084.102,baseline,7.634,133.8,ok
6084.102,A:gf,,,no sourced gf
6084.102,B:vdW,7.635,133.8,best σ×0.5
6084.102,C:both,,,no sourced gf
6247.557,baseline,7.552,180.2,ok
6247.557,A:gf,7.467,179.2,ok
6247.557,B:vdW,7.565,180.2,best σ×0.5
6247.557,C:both,7.482,179.1,gf+σ×0.5
6456.38,baseline,7.684,133.1,ok
6456.38,A:gf,,,no sourced gf
6456.38,B:vdW,7.635,132.8,best σ×2.0
6456.38,C:both,,,no sourced gf
