wavelength_air_A,A,ew_mA,rew,loggf_reference,source_accuracy_dex,excitation_potential_eV,log_gf,mismatch_mA,n_fe1_within_50mA,blend_species,blend_ratio_dex,robust_z,is_loose,is_laboratory,catastrophic
6916.6795,7.62109375,73.41843468431539,-4.974092531223791,2014MNRAS.,0.03,4.154,-1.28,0.5,1,Ti I,-0.0473,0.0,0.0,True,False
6951.2454,7.427734375,67.22685202776077,-5.014519845281934,K07,0.2,4.559,-0.8806,0.6,1,Ta I,1.9141,-1.0599,1.0,False,False
6977.4283,7.5771484375,45.82662741625969,-5.182577485603412,K07,0.2,4.593,-1.567,0.7,1,none,,-0.2409,1.0,False,False
6999.883,7.55078125,65.4438695085171,-5.029221811020564,2014MNRAS.,0.03,4.103,-1.38,0.0,1,Ce I,3.1498,-0.3854,0.0,True,False
7000.6143,7.83203125,26.333824767744503,-5.424622209457381,BWL,0.02,4.143,-2.385,0.7,2,Ti II,-2.4408,1.1563,0.0,True,False
7038.2199,7.375,77.97530876862851,-4.9555057285127155,MRW,0.08,4.218,-1.2,0.1,1,Ti I,-1.1843,-1.349,1.0,False,False
7052.715,8.7109375,72.75096785707144,-4.9865175589523,K07,0.2,5.1,-1.255,1.0,3,Cr I,-2.3667,5.9741,1.0,False,True
7071.8597,7.65625,40.14999343790621,-5.245848157403946,2014MNRAS.,0.03,4.607,-1.17,0.3,1,Si I,-1.4272,0.1927,0.0,True,False
7086.7244,7.4453125,30.60837502543412,-5.364605269686983,K07,0.2,3.603,-2.387,0.6,1,Ti I,-0.6205,-0.9636,1.0,False,False
7090.3835,7.62109375,77.99685303906922,-4.958592645210123,MRW,0.08,4.231,-1.11,0.5,1,Co I,-0.8916,0.0,1.0,False,False
7091.9211,7.392578125,20.954862036541616,-5.529479089430132,K07,0.2,4.956,-1.298,0.9,1,Sc I,-0.7991,-1.2526,1.0,False,False
7095.4067,7.76171875,37.31148733792948,-5.279134732181697,MRW,0.08,4.209,-1.92,0.3,1,Ni I,0.7331,0.7708,1.0,False,False
7107.4594,6.9794921875,30.94888727309909,-5.3610693484007275,BWL,0.02,4.186,-1.342,0.6,1,none,,-3.517,0.0,True,True
7112.1674,7.69140625,40.63739556673783,-5.243076103707035,BK,0.04,2.99,-2.99,0.6,1,Cu I,-6.2362,0.3854,0.0,True,False
7120.0212,8.25390625,38.72443019298778,-5.264496250666294,K07,0.2,4.559,-2.033,0.8,1,Co I,-2.0832,3.4688,1.0,False,True
7132.9862,7.62109375,50.33175476171914,-5.151429311939038,BWL,0.02,4.076,-1.628,0.2,1,Zr I,2.0511,0.0,0.0,True,False
7142.5166,7.568359375,46.79146668739906,-5.183684599955999,K07,0.2,4.956,-0.822,0.4,1,Rh I,1.7215,-0.2891,1.0,False,False
7145.3223,7.5859375,50.46026543748643,-5.151072292325196,K07,0.2,4.607,-1.1584,15.0,1,Ca I,-2.9326,-0.1927,1.0,False,False
7190.1222,8.2890625,42.54163438268582,-5.227922100716091,FMW,0.08,3.111,-3.42,0.8,1,Cr I,-2.1212,3.6615,1.0,False,True
7219.6816,7.638671875,53.32420910014643,-5.131593622128272,FMW,0.08,4.076,-1.69,0.4,1,Cr I,-0.1219,0.0964,1.0,False,False
7221.2017,7.919921875,52.46557809510114,-5.138735013196287,K07,0.2,4.559,-1.47,0.3,1,Cr I,0.4623,1.638,1.0,False,False
7306.5617,7.427734375,50.68003847211233,-5.158876120135077,2014MNRAS.,0.03,4.178,-1.43,0.3,1,none,,-1.0599,0.0,True,False
7307.9306,7.744140625,89.07983261230402,-4.91401502211763,BWL,0.02,4.143,-1.531,0.4,1,none,,0.6745,0.0,True,False
7320.6685,7.744140625,91.97029685783204,-4.900903152965868,BWL,0.02,4.559,-1.155,11.5,2,Tm II,-1.4493,0.6745,0.0,True,False
7320.8331,7.76171875,92.11553375653548,-4.9002276330097665,K07,0.2,4.913,-1.431,0.9,2,Ce II,2.6351,0.7708,1.0,False,False
7330.1371,8.18359375,37.89032503740039,-5.2865837667584845,FMW,0.08,4.638,-2.03,0.1,1,Si I,-1.7212,3.0834,1.0,False,True
7366.37,8.130859375,38.55587958042605,-5.281162913734104,FMW,0.08,4.638,-1.9,0.0,1,none,,2.7943,1.0,False,False
