wavelength_air_A,flux_normalized
1.028000648586981333e+04,1.005747240906355700e+00
1.028003547544283538e+04,1.003147413728899151e+00
1.028006446501586834e+04,1.003047455431405721e+00
1.028009345458889220e+04,1.000647617546366330e+00
1.028012244416191788e+04,9.951479416701626279e-01
1.028015143373494357e+04,9.972478681428620373e-01
1.028018042330797289e+04,9.955479932916652119e-01
1.028020941288099493e+04,9.980478991003286504e-01
1.028023840245402425e+04,9.995478572791900440e-01
1.028026739202704994e+04,1.001947768677441397e+00
1.028029638160007562e+04,9.996479251007955869e-01
1.028032537117310130e+04,9.989479980938871240e-01
1.028035436074612880e+04,1.003147816174857709e+00
1.028038335031915449e+04,9.993480504336225145e-01
1.028041233989218199e+04,9.945483363823354184e-01
1.028044132946520949e+04,1.001947988732346806e+00
1.028047031903823154e+04,1.001448051428442954e+00
1.028049930861126086e+04,9.990482125967686811e-01
1.028052829818428836e+04,9.952484461292272488e-01
1.028055728775731222e+04,1.000148229089608209e+00
1.028058627733033973e+04,1.002448146916341543e+00
1.028061526690336905e+04,1.000848266515727003e+00
1.028064425647639109e+04,1.000048344701359060e+00
1.028067324604942041e+04,9.980484847881233579e-01
1.028070223562244428e+04,9.990484700223206671e-01
1.028073122519547178e+04,9.992484965860108925e-01
1.028076021476849564e+04,9.948487601003674907e-01
1.028078920434152315e+04,1.004848282208864019e+00
1.028081819391455065e+04,1.002548437653075553e+00
1.028084718348758179e+04,1.003548423358925135e+00
1.028087617306060383e+04,1.003748450246674251e+00
1.028090516263362952e+04,1.001248615730826907e+00
1.028093415220665520e+04,1.000148709261116098e+00
1.028096314177968452e+04,1.002348633630732122e+00
1.028099213135271202e+04,1.004548558187763119e+00
1.028102112092573589e+04,1.003648641556626364e+00
1.028105011049876339e+04,1.002148755561923954e+00
1.028107910007178725e+04,1.001848808166079019e+00
1.028110808964481475e+04,9.985490139446112634e-01
1.028113707921784044e+04,1.001448903175611305e+00
1.028116606879086976e+04,1.005948711073909374e+00
1.028119505836389726e+04,1.002148942181505964e+00
1.028122404793692112e+04,1.003248923578403895e+00
1.028125303750994863e+04,9.987491899595921652e-01
1.028128202708297613e+04,9.948494255283737431e-01
1.028131101665599999e+04,1.002749061432732347e+00
1.028134000622902931e+04,1.008048829925253687e+00
1.028136899580205136e+04,1.006848928528336851e+00
1.028139798537508068e+04,1.007848915560817016e+00
1.028142697494810818e+04,1.000449328123447668e+00
1.028145596452113386e+04,1.000449365648195643e+00
1.028148495409415955e+04,9.983495093971018752e-01
1.028151394366718523e+04,1.003249299274502571e+00
1.028154293324021637e+04,1.002349382423111113e+00
1.028157192281323842e+04,9.983496219502840940e-01
1.028160091238626592e+04,1.002349457831176904e+00
1.028162990195929160e+04,1.000049611453258214e+00
1.028165889153231547e+04,9.946499209981055634e-01
1.028168788110534479e+04,9.998496968934792450e-01
1.028171687067837229e+04,9.968498854223450945e-01
1.028174586025139615e+04,1.003949566398662174e+00
1.028177484982442365e+04,9.953500359950724352e-01
1.028180383939744934e+04,9.999498428915929438e-01
1.028183282897048048e+04,1.005549600040506419e+00
1.028186181854350434e+04,9.981500086959671503e-01
1.028189080811652821e+04,9.925503267365748394e-01
1.028191979768955571e+04,9.975501143162537332e-01
1.028194878726257957e+04,1.002449907295510201e+00
1.028197777683561071e+04,9.990501150880745085e-01
1.028200676640863458e+04,9.943503875058634645e-01
1.028203575598166572e+04,9.953503754231560752e-01
1.028206474555468776e+04,9.972503186058480074e-01
