wavelength_air_A,ep_eV,log_gf,gf_grade,gf_grade_source,gf_sigma_dex,gf_reference_tag,gf_ref_loggf,gf_delta_dex
6911.5113,2.4242,-4.04,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-4.04,0.0
6916.6795,4.1544,-1.45,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,2014MNRAS.,-1.28,0.16999999999999993
6930.6312,4.58,-2.042,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.961,0.08099999999999974
6933.0194,4.1909,-2.34,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-2.34,0.0
6933.6344,2.4327,-2.335,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.598,-1.263
6936.48,4.607,-2.25,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-2.25,0.0
6951.2454,4.5585,-0.908,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.8806,0.02739999999999998
6951.6162,4.2833,-2.42,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.432,-0.01200000000000001
6953.0057,3.6025,-3.026,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.059,-0.03300000000000036
6960.3217,4.5931,-1.98,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.98,0.0
6971.9317,3.0176,-3.34,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BK,-3.34,0.0
6975.4259,5.8283,-0.215,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
6976.2651,4.6382,-2.165,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.107,0.05799999999999983
6976.9219,4.5844,-1.85,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.85,0.0
6977.4283,4.5931,-1.564,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.42,0.14400000000000013
6978.8501,2.4844,-2.5,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BKK+GESB82,-2.496,0.0040000000000000036
6986.5165,5.8135,-0.553,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
6999.883,4.1034,-1.56,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,2014MNRAS.,-1.38,0.18000000000000016
7000.6143,4.1426,-2.386,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL,-2.385,0.001000000000000334
7005.5804,5.0331,-0.533,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.54,-0.007000000000000006
7007.9651,4.1777,-2.06,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,2014MNRAS.,-1.77,0.29000000000000004
7010.3456,4.58,-2.01,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-2.01,0.0
7011.3431,4.5931,-1.316,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.319,-0.0029999999999998916
7016.0551,2.4242,-3.21,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,MRW,-3.11,0.10000000000000009
7022.39,4.3013,-2.29,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-2.29,0.0
7022.9519,4.1909,-1.25,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESHRL14,-1.05,0.19999999999999996
7023.5069,5.8405,-0.702,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
7024.0499,4.0758,-2.208,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL,-2.208,0.0
7024.6406,4.5585,-1.08,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL,-1.08,0.0
7028.5723,3.0713,-3.24,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.245,-0.004999999999999893
7030.8649,4.0758,-2.265,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.209,0.05600000000000005
7032.309,5.8251,-0.348,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
7038.2199,4.2176,-1.3,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,MRW,-1.2,0.10000000000000009
7038.7689,4.2562,-1.99,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,MRW,-1.89,0.10000000000000009
7044.6351,4.9556,-1.64,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.64,0.0
7052.715,5.0995,-1.245,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.255,-0.009999999999999787
7068.4119,4.0758,-1.38,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,MRW,-1.28,0.09999999999999987
7071.8597,4.607,-1.7,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,2014MNRAS.,-1.17,0.53
7072.8046,4.0758,-0.882,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-2.84,-1.9579999999999997
7083.3943,4.913,-1.202,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.202,0.0
7086.7244,3.6025,-2.356,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.387,-0.03100000000000014
7090.3835,4.2305,-1.21,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,MRW,-1.11,0.09999999999999987
7091.9211,4.9556,-1.298,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.298,0.0
7092.8343,4.5585,-2.066,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.032,0.03399999999999981
7093.0804,4.5585,-2.02,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-2.02,0.0
7095.4067,4.2089,-2.02,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,MRW,-1.92,0.10000000000000009
7100.193,2.7275,-3.897,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.878,0.018999999999999684
7107.4594,4.1864,-1.343,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL,-1.342,0.0009999999999998899
7112.1674,2.9904,-2.998,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BK,-2.99,0.008000000000000007
7114.5483,2.6924,-4.01,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-4.01,0.0
7118.0958,5.0095,-1.57,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-1.57,0.0
7120.0212,4.5585,-1.936,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.033,-0.09699999999999998
7127.567,4.988,-1.046,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.046,0.0
7131.3595,5.6142,-0.904,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
7132.9862,4.0758,-1.628,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL,-1.628,0.0
7142.5166,4.9556,-0.848,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.822,0.026000000000000023
7145.3223,4.607,-1.145,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.1584,-0.013400000000000079
7148.7246,4.2833,-1.957,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.968,-0.010999999999999899
7151.4692,2.4844,-3.73,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,FMW,-3.73,0.0
7155.6298,5.0095,-0.725,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.724,0.0010000000000000009
