wavelength_air_A,elo_eV,eup_eV,loggf,ew_mA,network,a_1dlte,delta_nlte,a_1dnlte,aberr,a_3dnlte,term_3d_atmosphere,in_domain
4510.8205,3.6025,6.3503,-2.89,45.29157081575543,gt02,7.33984375,,,,,,False
4769.8116,4.4346,7.0332,-2.499,44.08790643167466,gt02,8.341796875,,,,,,False
4781.7419,3.5732,6.1654,-2.191,50.40306849149251,gt02,7.515625,,,,,,False
4787.8264,2.998,5.5869,-2.53,53.373410681502655,gt02,7.55078125,0.013200000000000002,7.56398125,0.0261238029404581,7.576905052940458,0.012923802940457918,True
4880.5238,4.0758,6.6155,-2.073,58.046633554939554,,,,,,,,False
4932.0836,4.652,7.1652,-1.483,52.17726892637214,gt02,8.5,,,0.0482443895351944,8.548244389535194,,True
4974.2458,5.9004,8.3922,-0.367,30.35698153326133,gt02,8.271484375,,,,,,False
4975.4116,3.3014,5.7926,-3.444,46.959992281442496,gt02,8.640625,,,0.0448467206857672,8.685471720685767,,True
5054.6423,3.6398,6.092,-1.921,51.72684247019093,gt02,7.638671875,0.011270000000000002,7.649941875,0.0339643869678525,7.6726362619678525,0.022694386967852864,True
5106.4573,4.607,7.0343,-1.687,50.74977092218517,gt02,7.8671875,,,,,,False
5223.1824,3.6352,6.0083,-1.783,39.90852020339654,gt02,7.234375,0.00803,7.242405,0.0357716841300641,7.270146684130064,0.027741684130064392,True
5257.6544,3.5732,5.9307,-2.753,28.568795941708988,gt02,7.8671875,,,0.0360519339309088,7.903239433930909,,True
5293.9582,4.1426,6.484,-1.87,38.52165775438001,gt02,7.181640625,,,0.0404254744020969,7.222066099402097,,True
5295.3121,4.4153,6.756,-1.69,34.95378214884716,gt02,7.462890625,0.008340000000000002,7.471230625,0.0498821662574259,7.512772791257426,0.04154216625742624,True
5308.4567,4.7955,7.1304,-1.932,34.98839194457394,gt02,7.65625,,,,,,False
5321.1073,4.4346,6.764,-0.951,53.31071730365756,gt02,7.48046875,,,0.0514028695435682,7.531871619543568,,True
5333.7683,3.0173,5.3411,-3.721,35.01485419787759,gt02,8.130859375,,,0.0272446194317834,8.158103994431784,,True
5366.42,5.0674,7.3771,-1.777,27.39046602809493,gt02,7.8408203125,,,,,,False
5379.5734,3.6946,5.9987,-1.514,67.65803003345668,gt02,7.5859375,0.012510000000000002,7.5984475,0.0296824217161301,7.61561992171613,0.017172421716129982,True
5386.3328,4.1544,6.4555,-1.77,37.88401227104289,gt02,7.4453125,0.010270000000000001,7.4555825,0.0398868940775599,7.48519939407756,0.029616894077559408,True
5417.0332,4.4153,6.7034,-1.68,41.99197990450934,gt02,7.62109375,,,0.0498292028708219,7.670922952870822,,True
5441.3386,4.3125,6.5904,-1.73,39.2973400003072,gt02,7.603515625,0.010270000000000001,7.613785625,0.0447185669929162,7.648234191992916,0.034448566992915985,True
5461.5489,4.4456,6.7151,-1.9,31.414345818692443,gt02,7.69140625,0.010270000000000001,7.70167625,0.041137037068012,7.732543287068012,0.030867037068011527,True
5464.2795,4.1426,6.411,-1.402,48.36833738497938,gt02,7.357421875,0.010580000000000003,7.368001875,0.0449810248245249,7.402402899824525,0.03440102482452456,True
5472.7084,4.2089,6.4738,-1.495,56.66016271439947,gt02,7.4453125,,,0.0411192823159687,7.486431782315969,,True
5478.4549,4.1909,6.4534,-1.85,59.562159273297645,gt02,8.1484375,,,0.041428807375934,8.189866307375935,,True
5505.8807,4.4153,6.6665,-1.306,69.04209762852223,gt02,7.216796875,0.004480000000000002,7.221276875,0.0498195955119376,7.266616470511938,0.04533959551193778,True
5508.4084,4.9556,7.2058,-1.968,42.801737382322415,gt02,7.9375,,,,,,False
