key_z,ion,element_raw,wavelength_air_A,excitation_potential_eV,gf_linelist_vald,reference_code,hfs_n_components,nist_log_gf,nist_grade,nist_acc_pct,nist_ref_tp,nist_ref_line,nist_wavelength_A,nist_ei_eV,n_nist_candidates,adjudicated,delta_nist_minus_vald,log_gf_used,gf_grade,gf_grade_source,gf_sigma_dex,gf_reference_tag,gf_ref_loggf,gf_delta_dex,gf_note
26,1,Fe 1,3000.003,3.3009,-4.771,VALD3,1,,,,,,,,0,False,,-4.771,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-4.771,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3000.139,3.2671,-4.196,VALD3,1,,,,,,,,0,False,,-4.196,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-4.196,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3000.205,3.6025,-2.596,VALD3,1,,,,,,,,0,False,,-2.596,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.596,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3000.266,2.9904,-5.642,VALD3,1,,,,,,,,0,False,,-5.642,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-5.642,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3000.27865230228,3.2671,-3.262385468325679,VALD3,2,,,,,,,,0,False,,-3.262385468325679,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-3.262385468325679,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3000.3775419293265,3.3014,-2.7075687242776345,VALD3,2,,,,,,,,0,False,,-2.7075687242776345,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.7075687242776345,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3000.451,1.4849,-1.095,VALD3,1,-1.095392636184552,B+,7.0,T5720,L11631,3000.4509,1.48486439,1,True,-0.000392636184552,-1.095392636184552,GF-NIST,NIST ASD accuracy class B+ (<=7.0% on A_ki),0.029383777685209667,NIST ASD (astroquery) T5720,-1.095392636184552,0.0,"graded against NIST ASD, which for Fe I in this regime is largely a COMPILATION — agreement proves no transcription error, not independence (RYA-760: FMW *is* NIST and VALD copies it)"
26,1,Fe 1,3000.468,2.6085,-2.266,VALD3,1,,,,,,,,0,False,,-2.266,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.266,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3000.577,3.2112,-1.464,VALD3,1,,,,,,,,0,False,,-1.464,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-1.464,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3000.882,2.2786,-4.347,VALD3,1,,,,,,,,0,False,,-4.347,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-4.347,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3000.948,0.0873,-0.585,VALD3,1,-0.585026652029182,A,3.0,T3547,L11631,3000.9476,0.08728574,1,True,-2.6652029182061557e-05,-0.585026652029182,GF-NIST,NIST ASD accuracy class A (<=3.0% on A_ki),0.012837224705172217,NIST ASD (astroquery) T3547,-0.585026652029182,0.0,"graded against NIST ASD, which for Fe I in this regime is largely a COMPILATION — agreement proves no transcription error, not independence (RYA-760: FMW *is* NIST and VALD copies it)"
26,1,Fe 1,3000.963,3.2671,-3.481,VALD3,1,,,,,,,,0,False,,-3.481,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-3.481,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3001.05,3.6416,-2.527,VALD3,1,,,,,,,,0,False,,-2.527,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.527,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3001.531,3.0173,-4.355,VALD3,1,,,,,,,,0,False,,-4.355,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-4.355,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3001.6480000000006,2.4242,-2.24,VALD3,1,,,,,,,,0,False,,-2.24,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.24,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3001.6559999999995,3.0173,-4.295,VALD3,1,,,,,,,,0,False,,-4.295,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-4.295,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3001.745,3.2112,-0.958,VALD3,1,,,,,,,,0,False,,-0.958,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-0.958,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3001.786,2.6085,-2.508,VALD3,1,,,,,,,,0,False,,-2.508,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.508,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3001.833,3.111,-2.895,VALD3,1,,,,,,,,0,False,,-2.895,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.895,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3001.9260000000004,3.0176,-2.257,VALD3,1,,,,,,,,0,False,,-2.257,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.257,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3002.028,3.283,-2.54,VALD3,1,,,,,,,,0,False,,-2.54,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.54,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3002.408,3.0173,-4.775,VALD3,1,,,,,,,,0,False,,-4.775,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-4.775,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3002.409,3.2112,-1.917,VALD3,1,,,,,,,,0,False,,-1.917,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-1.917,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3002.429,3.2657,-2.809,VALD3,1,,,,,,,,0,False,,-2.809,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.809,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3002.436,3.274,-4.438,VALD3,1,,,,,,,,0,False,,-4.438,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-4.438,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3002.44,2.4534,-5.334,VALD3,1,,,,,,,,0,False,,-5.334,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-5.334,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3003.03,0.9582,-1.295,VALD3,1,-1.2951633937885962,C,25.0,T5720,L11631,3003.0305,0.95815732,1,True,-0.0001633937885963,-1.2951633937885962,GF-NIST,NIST ASD accuracy class C (<=25.0% on A_ki),0.09691001300805642,NIST ASD (astroquery) T5720,-1.2951633937885962,0.0,"graded against NIST ASD, which for Fe I in this regime is largely a COMPILATION — agreement proves no transcription error, not independence (RYA-760: FMW *is* NIST and VALD copies it)"
26,1,Fe 1,3003.252,3.283,-3.158,VALD3,1,,,,,,,,0,False,,-3.158,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-3.158,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3003.27,3.5732,-4.264,VALD3,1,,,,,,,,0,False,,-4.264,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-4.264,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3003.304,2.8755,-3.596,VALD3,1,,,,,,,,0,False,,-3.596,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-3.596,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3003.341,2.9488,-2.948,VALD3,1,,,,,,,,0,False,,-2.948,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.948,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3003.686,3.2112,-0.411,VALD3,1,,,,,,,,0,False,,-0.411,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-0.411,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3003.846,3.274,-2.904,VALD3,1,,,,,,,,0,False,,-2.904,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.904,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3003.866,2.9488,-4.432,VALD3,1,,,,,,,,0,False,,-4.432,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-4.432,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
