source,wavelength_air_A,elo_cm1,eup_cm1,elo_eV,eup_eV,loggf,e_loggf_dex
Belmonte2017,3026.056,17550.18,50586.878,2.175945,6.271974,-2.077,0.1
Belmonte2017,3067.244,7376.764,39969.853,0.914602,4.95563,-0.42,0.03
Belmonte2017,3083.741,7985.784,40404.518,0.990111,5.009522,-1.0,0.03
Belmonte2017,3099.895,8154.713,40404.518,1.011056,5.009522,-1.19,0.03
Belmonte2017,3100.665,7728.059,39969.853,0.958157,4.95563,-0.85,0.03
Belmonte2017,3125.651,7985.784,39969.853,0.990111,4.95563,-1.71,0.04
Belmonte2017,3125.683,19390.167,51373.91,2.404074,6.369553,-0.93,0.03
DenHartog2014,3211.9873,19350.89,50475.285,2.399205,6.258138,-0.31,0.03
DenHartog2014,3217.3772,19350.89,50423.134,2.399205,6.251672,-0.5,0.03
DenHartog2014,3225.7872,19350.89,50342.126,2.399205,6.241628,0.41,0.03
DenHartog2014,3227.7955,19562.438,50534.394,2.425433,6.265466,-0.26,0.03
DenHartog2014,3228.249,19912.494,50880.099,2.468835,6.308328,-0.78,0.04
DenHartog2014,3228.8987,20019.634,50981.009,2.482118,6.32084,-1.31,0.08
DenHartog2014,3230.9636,19757.031,50698.617,2.44956,6.285827,-0.49,0.03
DenHartog2014,3233.9675,19562.438,50475.285,2.425433,6.258138,-0.5,0.03
DenHartog2014,3239.4329,19562.438,50423.134,2.425433,6.251672,-0.21,0.03
DenHartog2014,3247.2801,19912.494,50698.617,2.468835,6.285827,-1.15,0.05
DenHartog2014,3248.2042,19757.031,50534.394,2.44956,6.265466,-0.67,0.03
Belmonte2017,3252.915,20641.109,51373.91,2.559171,6.369553,-1.49,0.05
DenHartog2014,3254.4569,19757.031,50475.285,2.44956,6.258138,-2.38,0.11
DenHartog2014,3259.9895,19757.031,50423.134,2.44956,6.251672,-1.27,0.04
Belmonte2017,3264.513,17726.987,48350.606,2.197866,5.994711,-1.95,0.06
Belmonte2017,3286.016,17927.381,48350.606,2.222712,5.994711,-2.34,0.08
Belmonte2017,3370.783,21715.731,51373.91,2.692408,6.369553,-0.36,0.03
Belmonte2017,3383.979,17550.18,47092.712,2.175945,5.838752,-1.006,0.03
Belmonte2017,3392.305,17726.987,47197.01,2.197866,5.851683,-1.17,0.03
Belmonte2017,3404.354,17726.987,47092.712,2.197866,5.838752,-0.84,0.03
Belmonte2017,3407.46,17550.18,46889.142,2.175945,5.813513,-0.029,0.02
Belmonte2017,3415.531,17927.381,47197.01,2.222712,5.851683,-1.49,0.04
Belmonte2017,3427.12,17550.18,46720.842,2.175945,5.792646,-0.067,0.02
Belmonte2017,3475.863,19621.005,48382.603,2.432695,5.998678,-1.85,0.08
DenHartog2014,3506.5803,23244.836,51754.494,2.881992,6.416739,-1.68,0.12
DenHartog2014,3509.7258,23270.382,51754.494,2.88516,6.416739,-1.61,0.12
DenHartog2014,3523.3087,23192.498,51566.799,2.875503,6.393468,-1.36,0.06
Ruffoni2014,3526.238,23110.937,51461.667,2.865391,6.380434,-0.57,0.02
Belmonte2017,3527.891,22249.428,50586.878,2.758577,6.271974,-1.98,0.09
DenHartog2014,3529.8198,23244.836,51566.799,2.881992,6.393468,-0.43,0.02
DenHartog2014,3533.0066,23270.382,51566.799,2.88516,6.393468,-0.37,0.02
DenHartog2014,3540.1211,23110.937,51350.489,2.865391,6.366649,-0.71,0.02
DenHartog2014,3570.2542,22650.414,50651.629,2.808293,6.280002,0.65,0.02
Belmonte2017,3581.193,6928.268,34843.957,0.858996,4.3201,0.43,0.02
Belmonte2017,3603.681,20641.109,48382.603,2.559171,5.998678,-2.1,0.05
DenHartog2014,3604.3716,23244.836,50981.009,2.881992,6.32084,-1.59,0.09
DenHartog2014,3610.1591,22650.414,50342.126,2.808293,6.241628,0.12,0.05
DenHartog2014,3610.6946,23192.498,50880.099,2.875503,6.308328,-1.31,0.05
DenHartog2014,3618.299,22845.867,50475.285,2.832527,6.258138,-1.0,0.04
DenHartog2014,3623.7731,23110.937,50698.617,2.865391,6.285827,-1.08,0.04
DenHartog2014,3625.1417,22845.867,50423.134,2.832527,6.251672,-0.78,0.03
DenHartog2014,3630.3478,22996.672,50534.394,2.851224,6.265466,-0.82,0.06
DenHartog2014,3645.0748,22996.672,50423.134,2.851224,6.251672,-1.31,0.04
Ruffoni2014,3664.5374,24180.863,51461.667,2.998045,6.380434,-1.08,0.03
Ruffoni2014,3704.4612,21715.732,48702.532,2.692408,6.038344,-0.62,0.02
Belmonte2017,3721.272,17550.18,44415.074,2.175945,5.506767,-1.82,0.07
Belmonte2017,3730.386,24574.653,51373.91,3.046869,6.369553,-0.69,0.03
DenHartog2014,3735.3238,23711.454,50475.285,2.939846,6.258138,-0.32,0.03
Belmonte2017,3738.305,26351.038,53093.528,3.267112,6.582759,-0.031,0.03
DenHartog2014,3742.6166,23711.454,50423.134,2.939846,6.251672,-0.81,0.03
DenHartog2014,3769.9874,24180.86,50698.617,2.998045,6.285827,-1.07,0.04
Belmonte2017,3776.455,17550.18,44022.525,2.175945,5.458097,-1.68,0.03
Ruffoni2014,3779.2027,22249.438,48702.532,2.758579,6.038344,-2.46,0.08
Belmonte2017,3779.416,20641.109,47092.712,2.559171,5.838752,-2.036,0.05
