wave_A,cont_ratio,a_atlas,delta_atlas,delta_local,a_local,chi2_local,status_local,delta_synth,a_synth,chi2_synth,status_synth
3000.468,0.9135658235860395,8.307,0.0,-0.43552,9.225,229.014,ok,0.09461187599452714,8.288,76.56,ok
3006.605,0.7144410423072728,6.837,0.0,-0.26323399999999997,8.751,285.659,ok,0.39969562326727526,7.956,191.188,ok
3031.476,0.8424624480030258,7.458,0.0,-0.0419465,7.389,77.221,ok,0.18699652710978554,8.105,75.314,ok
3087.431,1.6617122837833165,7.392,0.0,-0.16986999999999997,7.127,675.577,ok,-0.398211104437862,6.561,860.056,ok
3099.921,1.0946959024455438,8.284,0.0,-0.26014000000000004,8.546,126.67,ok,-0.08650429971829965,8.345,120.15,ok
3110.108,1.0727254520662344,7.069,0.0,-0.043259999999999965,6.983,381.833,ok,-0.06779502800661064,6.937,380.467,ok
3123.199,1.3248291220528268,7.022,0.0,-0.11592800000000003,6.844,883.219,ok,-0.24518567462459084,6.536,869.348,ok
3162.329,1.129554701791753,7.506,0.0,-0.15059999999999996,7.1,89.457,ok,-0.1146953764932741,7.207,72.339,ok
3175.31,1.5090442493508407,8.04,0.0,-0.12742750000000014,7.778,513.134,ok,-0.33732890839338936,7.131,728.833,ok
3225.606,1.0127468304095704,8.198,0.0,-0.1618529999999999,7.389,87.04,ok,-0.012586393782556105,8.229,76.253,ok
3249.191,1.037876553953382,8.047,0.0,-0.22601800000000005,7.549,177.751,ok,-0.036494276519790536,8.046,104.592,ok
3253.942,1.084164906234272,7.249,0.0,-0.12546250000000003,6.926,96.529,ok,-0.07763109260436174,7.035,100.6,ok
3261.325,1.0775077137908935,7.51,0.0,-0.05810499999999996,7.384,44.228,ok,-0.07193239806906382,7.346,44.136,ok
3292.033,1.0547537356353696,8.38,0.0,-0.06467800000000001,7.564,136.47,ok,-0.05191139294935665,7.628,137.147,ok
3312.698,0.9944056592999716,8.165,0.0,-0.08201200000000008,8.372,229.564,ok,0.005625813416997971,8.138,261.986,ok
3334.218,1.3229634058720077,7.558,0.0,-0.1090810000000002,7.453,272.868,ok,-0.24412119370689023,7.26,219.53,ok
3387.405,1.032042411524266,7.719,0.0,-0.07144450000000002,7.585,85.622,ok,-0.031047572431583625,7.678,77.339,ok
3393.588,0.9138277730063888,7.328,0.0,-0.08683850000000004,7.125,151.02,ok,0.09429810467470734,7.471,68.04,ok
3439.035,0.993299691287767,7.535,0.0,-0.1940415000000001,9.165,176.443,ok,0.006745505682727471,7.557,50.242,ok
3457.086,1.0736858378032634,7.223,0.0,-0.14168800000000004,9.781,157.652,ok,-0.06862886256749268,7.011,26.949,ok
3469.83,1.03504337009278,7.469,0.0,-0.05954000000000004,7.2,59.607,ok,-0.033856909870007335,7.297,64.093,ok
3476.344,0.9789150881387552,7.293,0.0,-0.15440500000000001,12.487,121.259,edge_pinned,0.021539061065382503,7.331,61.521,ok
3509.862,0.9023525336020748,6.998,0.0,-0.09825099999999998,6.707,123.455,ok,0.10821432063600378,7.208,114.542,ok
3559.503,1.025155887779219,7.746,0.0,-0.11894950000000004,6.831,92.908,ok,-0.02453859757242771,7.587,121.146,ok
3572.59,0.9953654208158618,7.199,0.0,-0.11699649999999995,6.797,110.346,ok,0.0046561585194906385,7.218,80.434,ok
3576.758,1.181500480022905,8.4,0.0,-0.12051250000000002,8.336,305.004,ok,-0.15361862571514684,8.279,309.731,ok
3599.625,1.2065362715347168,7.607,0.0,-0.08110000000000006,7.25,413.451,ok,-0.17118115419108137,6.846,353.617,ok
3617.318,0.941227819662206,7.476,0.0,-0.12053900000000006,7.218,125.209,ok,0.06244203487194677,12.445,111.982,ok
3624.28,1.0244951996111211,7.406,0.0,-0.09452250000000018,6.908,111.125,ok,-0.02390953087961667,7.267,124.612,ok
3632.555,1.0078535900229106,7.648,0.0,-0.1916960000000001,7.194,122.365,ok,-0.007792391772630469,7.629,137.659,ok
3636.994,0.9480662286260856,7.247,0.0,-0.06492399999999998,7.103,116.83,ok,0.054778632342147304,7.366,103.552,ok
3643.715,0.9972202061969614,7.252,0.0,-0.09801349999999998,6.996,28.235,ok,0.002787542596674575,7.26,28.704,ok
3650.098,0.8502486591745332,7.048,0.0,-0.10492000000000001,6.765,328.934,ok,0.17612652394048278,7.4,266.754,ok
3656.21,1.089537585221246,7.498,0.0,-0.06224850000000004,7.199,35.14,ok,-0.08217943688749774,7.131,33.914,ok
3664.537,1.2394935956940123,7.638,0.0,-0.06946399999999997,7.106,229.975,ok,-0.19321890530617547,6.748,206.907,ok
3680.784,1.0068858327823973,7.781,0.0,-0.1301524999999999,7.47,188.459,ok,-0.006838742346159776,7.76,139.299,ok
3703.821,0.8527827923965873,7.39,0.0,-0.11575000000000002,7.092,29.825,ok,0.17263154101607303,7.837,75.765,ok
3731.373,0.9820497069644212,7.772,0.0,-0.10023000000000004,7.457,89.288,ok,0.018278395592687735,7.819,123.227,ok
3756.937,1.008870375793978,7.397,0.0,-0.09492400000000001,7.104,55.115,ok,-0.008792384043388224,7.38,62.452,ok
3778.793,0.9447380831478476,7.005,0.0,-0.028756000000000004,6.917,64.751,ok,0.05849443124809883,7.193,84.583,ok
