wave_A,delta,loggf,ep_eV,theo_depth,status,reason,a_synth,red_chi2,n_pix
3000.468,-0.04,-2.266,2.6085,0.899,ok,,8.439,86.333,488
3000.468,-0.02,-2.266,2.6085,0.899,ok,,8.418,84.562,488
3000.468,0.0,-2.266,2.6085,0.899,ok,,8.307,88.024,488
3000.468,0.02,-2.266,2.6085,0.899,ok,,8.377,81.391,488
3000.468,0.04,-2.266,2.6085,0.899,ok,,8.36,79.974,488
3006.605,-0.04,-2.334,2.5592,0.896,ok,,6.777,329.447,243
3006.605,-0.02,-2.334,2.5592,0.896,ok,,6.805,316.571,243
3006.605,0.0,-2.334,2.5592,0.896,ok,,6.837,305.409,243
3006.605,0.02,-2.334,2.5592,0.896,ok,,6.878,295.678,243
3006.605,0.04,-2.334,2.5592,0.896,ok,,6.93,287.141,243
3031.476,-0.04,-2.262,2.5881,0.898,ok,,7.387,77.23,239
3031.476,-0.02,-2.262,2.5881,0.898,ok,,7.422,77.448,239
3031.476,0.0,-2.262,2.5881,0.898,ok,,7.458,77.687,239
3031.476,0.02,-2.262,2.5881,0.898,ok,,7.479,77.843,239
3031.476,0.04,-2.262,2.5881,0.898,ok,,7.515,77.982,239
3087.431,-0.04,-1.465,3.241,0.898,ok,,7.359,831.895,230
3087.431,-0.02,-1.465,3.241,0.898,ok,,7.383,861.181,230
3087.431,0.0,-1.465,3.241,0.898,ok,,7.392,891.296,230
3087.431,0.02,-1.465,3.241,0.898,ok,,7.411,922.044,230
3087.431,0.04,-1.465,3.241,0.898,ok,,7.421,953.366,230
3099.921,-0.04,-1.322,3.332,0.9,ok,,8.313,120.793,228
3099.921,-0.02,-1.322,3.332,0.9,ok,,8.297,121.346,228
3099.921,0.0,-1.322,3.332,0.9,ok,,8.283,122.058,228
3099.921,0.02,-1.322,3.332,0.9,ok,,8.232,123.46,228
3099.921,0.04,-1.322,3.332,0.9,ok,,8.226,124.186,228
3110.108,-0.04,-1.277,3.3965,0.897,ok,,6.99,382.348,227
3110.108,-0.02,-1.277,3.3965,0.897,ok,,7.552,455.066,227
3110.108,0.0,-1.277,3.3965,0.897,ok,,7.069,394.27,227
3110.108,0.02,-1.277,3.3965,0.897,ok,,7.102,403.486,227
3110.108,0.04,-1.277,3.3965,0.897,ok,,7.135,414.482,227
3123.199,-0.04,-2.299,2.4327,0.9,ok,,6.968,953.104,225
3123.199,-0.02,-2.299,2.4327,0.9,ok,,7.0,975.683,225
3123.199,0.0,-2.299,2.4327,0.9,ok,,7.022,999.515,225
3123.199,0.02,-2.299,2.4327,0.9,ok,,7.045,1024.416,225
3123.199,0.04,-2.299,2.4327,0.9,ok,,7.075,1050.212,225
3162.329,-0.04,-2.244,2.4496,0.898,ok,,7.421,60.73,219
3162.329,-0.02,-2.244,2.4496,0.898,ok,,7.47,61.835,219
3162.329,0.0,-2.244,2.4496,0.898,ok,,7.506,64.406,219
3162.329,0.02,-2.244,2.4496,0.898,ok,,7.546,68.315,219
3162.329,0.04,-2.244,2.4496,0.898,ok,,7.576,73.45,219
3175.31,-0.04,-3.296,1.4849,0.9,ok,,8.022,514.973,218
3175.31,-0.02,-3.296,1.4849,0.9,ok,,8.038,520.823,218
3175.31,0.0,-3.296,1.4849,0.9,ok,,8.041,528.762,218
3175.31,0.02,-3.296,1.4849,0.9,ok,,8.065,538.506,218
3175.31,0.04,-3.296,1.4849,0.9,ok,,8.069,549.932,218
3225.606,-0.04,-2.1855526214775125,2.4327,0.898,ok,,8.269,74.998,211
3225.606,-0.02,-2.1855526214775125,2.4327,0.898,ok,,8.238,75.821,211
3225.606,0.0,-2.1855526214775125,2.4327,0.898,ok,,8.205,77.153,211
3225.606,0.02,-2.1855526214775125,2.4327,0.898,ok,,8.178,79.04,211
3225.606,0.04,-2.1855526214775125,2.4327,0.898,ok,,8.155,81.539,211
3249.191,-0.04,-2.004,2.5592,0.898,ok,,8.06,102.915,207
3249.191,-0.02,-2.004,2.5592,0.898,ok,,8.056,113.461,207
