element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Fe,I,3000.468,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",8.307,,1D-LTE,True,,2.6085,False,0.009065786053532275,0.688648619399613,3.8108334179088628,88.024
Fe,I,3006.605,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",6.837,,1D-LTE,True,,2.5592,False,0.0816549927522259,1.982603768774052,2.3413733673349526,305.409
Fe,I,3031.476,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.458,,1D-LTE,True,,2.5881,False,0.03880109874581981,5.472845136781903,2.96155047197359,77.687
Fe,I,3087.431,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.392,,1D-LTE,True,,3.241,False,0.2406960177206527,0.4054469375821133,2.896453898505526,891.296
Fe,I,3099.921,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",8.283,,1D-LTE,True,,3.332,False,0.03728932083168305,1.2469487391820537,3.7868345872800537,122.058
Fe,I,3110.108,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.069,,1D-LTE,True,,3.3965,False,0.08009819391413317,0.8235533723050613,2.572572681104643,394.27
Fe,I,3123.199,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.022,,1D-LTE,True,,2.4327,False,0.1034068445771937,0.5541590468348567,2.5262986362895603,999.515
Fe,I,3162.329,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.506,,1D-LTE,True,,2.4496,False,0.04651105741232778,14.587879946434194,3.009526260149106,64.406
Fe,I,3175.31,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",8.041,,1D-LTE,True,,1.4849,False,0.11040282771511609,1.690032349781485,3.544563745585646,528.762
Fe,I,3225.606,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",8.205,,1D-LTE,True,,2.4327,False,0.04129854707649553,11.731504503737114,3.709068162849781,77.153
