element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Fe,I,4510.8205,kpno_solar_atlas,45.29157081575543,"PROFILE-FIT (voigt); gap 1.070 A; model integrated; chi2_red=0.0008153; sigma_fit=0.1984 A (init 0.0259, floor 0.0038); ew_err=66.54 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0448",7.34584375,-4.998238162197876,ENGINE-A,True,,,,,,True,,,,
Fe,I,4781.7419,kpno_solar_atlas,50.40306849149251,"PROFILE-FIT (voigt); gap 0.031 A; model integrated; chi2_red=0.001198; sigma_fit=0.4000 A (init 0.0274, floor 0.0041); ew_err=21.70 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0476",7.516625,-4.977129154179201,ENGINE-A,True,,,,,,True,,,,
Fe,I,4787.8264,kpno_solar_atlas,53.373410681502655,"PROFILE-FIT (voigt); gap 0.086 A; model integrated; chi2_red=0.0001463; sigma_fit=0.0150 A (init 0.0275, floor 0.0041); ew_err=17.61 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0476",7.56378125,-4.952813439010544,ENGINE-A,True,,,,,,True,,,,
Fe,I,4932.0836,kpno_solar_atlas,52.17726892637214,"PROFILE-FIT (voigt); gap 0.035 A; model integrated; chi2_red=0.0001248; sigma_fit=0.0370 A (init 0.0283, floor 0.0042); ew_err=15.46 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0492",8.51,-4.975549085956095,ENGINE-A,True,,ABUNDANCE_OUTLIER,owed,"764,783,782,809",flag,True,,,,
Fe,I,4974.2458,kpno_solar_atlas,30.35698153326133,"PROFILE-FIT (voigt); gap 0.107 A; model integrated; chi2_red=6.347e-05; sigma_fit=0.1245 A (init 0.0285, floor 0.0042); ew_err=52.67 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0496",,-5.214468655481391,ENGINE-A,False,"ENGINE-A-NOT-SERVED: MPIA returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",,,,,True,,,,
Fe,I,5054.6423,kpno_solar_atlas,51.72684247019093,"PROFILE-FIT (voigt); gap 0.568 A; model integrated; chi2_red=0.0004025; sigma_fit=0.0192 A (init 0.0290, floor 0.0043); ew_err=3.29 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0504",7.649671875,-4.989974458610225,ENGINE-A,True,,,,,,True,,,,
Fe,I,5106.4573,kpno_solar_atlas,50.74977092218517,"PROFILE-FIT (voigt); gap 0.218 A; model integrated; chi2_red=0.000255; sigma_fit=0.0529 A (init 0.0293, floor 0.0043); ew_err=92.22 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0508",7.9011875,-5.002685618463817,ENGINE-A,True,,,,,,True,,,,
Fe,I,5223.1824,kpno_solar_atlas,39.90852020339654,"PROFILE-FIT (voigt); gap 0.257 A; model integrated; chi2_red=0.00421; sigma_fit=0.0070 A (init 0.0299, floor 0.0044); ew_err=8.89 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0520",7.242375,-5.116869567636698,ENGINE-A,True,,,,,,True,,,,
Fe,I,5257.6544,kpno_solar_atlas,28.568795941708988,"PROFILE-FIT (voigt); gap 0.063 A; model integrated; chi2_red=7.54e-05; sigma_fit=0.0311 A (init 0.0301, floor 0.0045); ew_err=4.77 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0524",7.8771875,-5.264900098318347,ENGINE-A,True,,,,,,True,,,,
Fe,I,5293.9582,kpno_solar_atlas,38.52165775438001,"PROFILE-FIT (voigt); gap 0.127 A; model integrated; chi2_red=0.001127; sigma_fit=0.0164 A (init 0.0304, floor 0.0045); ew_err=3.84 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0528",7.184640625,-5.138075539445368,ENGINE-A,True,,,,,,True,,,,
