element,ion,band,engine,pool,primary_is_graded,A,n_lines,stat_dex,syst_dex,total_dex,graded_beats_ungraded,ungraded_A,ungraded_total_dex
Fe,I,VIS,1D-LTE,GRADED (primary lab gf),True,7.445,9,0.0394,0.043,0.058321179686285494,True,7.586,0.17320652412654672
Fe,I,VIS,ENGINE-A,UNGRADED (incl. Kurucz),False,7.6,109,0.0357,0.1705,0.17419741674318825,,7.6,0.17419741674318825
Fe,I,VIS,ENGINE-B,UNGRADED (incl. Kurucz),False,7.517,134,0.032,0.17,0.17298554852934972,,7.517,0.17298554852934972
Fe,I,VIS,ENGINE-B-NLTE,UNGRADED (incl. Kurucz),False,7.572,136,0.0332,0.1705,0.1737023028056911,,7.572,0.1737023028056911
Fe,I,near-UV,1D-LTE,GRADED (primary lab gf),True,7.577,59,0.0849,0.1081,0.13745406505447555,True,7.488,0.20769901299717336
Fe,I,red-optical,1D-LTE,GRADED (primary lab gf),True,7.516,20,0.0225,0.0524,0.05702639739629359,True,7.639,0.1767027447438211
Fe,I,red-optical,ENGINE-A,UNGRADED (incl. Kurucz),False,7.645,44,0.0494,0.1731,0.1800110274399877,,7.645,0.1800110274399877
Fe,I,red-optical,ENGINE-B,UNGRADED (incl. Kurucz),False,7.509,77,0.0241,0.1726,0.17427441005494754,,7.509,0.17427441005494754
Fe,I,red-optical,ENGINE-B-NLTE,UNGRADED (incl. Kurucz),False,7.549,77,0.0243,0.1731,0.17479731119213476,,7.549,0.17479731119213476
Fe,II,VIS,1D-LTE,UNGRADED (incl. Kurucz),False,7.568,11,0.0564,0.1705,0.17958621884766104,,7.568,0.17958621884766104
Fe,II,VIS,ENGINE-A,UNGRADED (incl. Kurucz),False,7.517,3,0.0845,0.1705,0.19029056729118238,,7.517,0.19029056729118238
Fe,II,VIS,ENGINE-B,UNGRADED (incl. Kurucz),False,7.478,10,0.0119,0.17,0.17041599103370553,,7.478,0.17041599103370553
Fe,II,VIS,ENGINE-B-NLTE,UNGRADED (incl. Kurucz),False,7.47,8,0.0174,0.1705,0.17138555948503947,,7.47,0.17138555948503947
Fe,II,red-optical,1D-LTE,UNGRADED (incl. Kurucz),False,7.696,4,0.111,0.1731,0.2056322202379773,,7.696,0.2056322202379773
Fe,II,red-optical,ENGINE-A,UNGRADED (incl. Kurucz),False,7.763,1,0.0,0.1731,0.1731,,7.763,0.1731
Fe,II,red-optical,ENGINE-B,UNGRADED (incl. Kurucz),False,7.523,3,0.0894,0.1726,0.19437880542898703,,7.523,0.19437880542898703
Fe,II,red-optical,ENGINE-B-NLTE,UNGRADED (incl. Kurucz),False,7.461,2,0.045,0.1731,0.1788535993487411,,7.461,0.1788535993487411
