wavelength_air_A,chi_eV,dh_loggf,dh_sigma_dex,n_candidates,our_loggf,our_ref,self_referential,n_nist_candidates,nist_loggf,nist_acc,ours_minus_dh,nist_minus_dh,ours_minus_nist,band
3002.644,1.695261300019126,-0.87,0.04,1,-0.93,VALD3,False,1,-0.8416375079047503,C+,-0.06000000000000005,0.02836249209524966,-0.08836249209524971,near-UV
3170.337,1.695261300019126,-2.38,0.07,1,-2.42,VALD3,False,1,-2.619788758288394,E,-0.040000000000000036,-0.2397887582883942,0.19978875828839415,near-UV
3183.114,1.695261300019126,-2.01,0.04,1,-2.0,VALD3,False,1,-2.0555173278498313,C+,0.009999999999999787,-0.045517327849831535,0.05551732784983132,near-UV
3186.737,1.695261300019126,-1.64,0.03,1,-1.67,VALD3,False,1,-1.6270879970298935,B,-0.030000000000000027,0.012912002970106418,-0.042912002970106444,near-UV
3192.91,1.6706185602916517,-1.9,0.04,1,-1.915,VALD3,False,1,-1.9430951486635273,C,-0.015000000000000124,-0.04309514866352737,0.028095148663527247,near-UV
3193.801,1.723982971094191,-1.65,0.04,1,-1.68,VALD3,False,1,-1.7958800173440752,D+,-0.030000000000000027,-0.1458800173440753,0.11588001734407527,near-UV
3196.071,1.6706185602916517,-1.74,0.03,1,-1.62,VALD3,False,1,-1.7033348097384688,C,0.11999999999999988,0.036665190261531144,0.08333480973846874,near-UV
3210.445,1.723982971094191,-1.62,0.03,1,-1.7,VALD3,False,1,-1.6497519816658373,B,-0.07999999999999985,-0.029751981665837146,-0.0502480183341627,near-UV
3213.309,1.695261300019126,-1.24,0.03,1,-1.28,VALD3,False,1,-1.245651664288981,C+,-0.040000000000000036,-0.0056516642889810065,-0.03434833571101903,near-UV
3227.743,1.6706185602916517,-1.03,0.03,1,-1.08,VALD3,False,1,-0.9665762445130504,C,-0.050000000000000044,0.06342375548694967,-0.11342375548694972,near-UV
3255.888,0.9863337999444338,-2.51,0.04,1,-2.48,VALD3,False,1,-2.453457336521869,B,0.029999999999999805,0.05654266347813097,-0.026542663478131168,near-UV
3277.349,0.9863337999444338,-2.14,0.08,1,-2.39,VALD3,False,1,-2.27083521030723,B,-0.25,-0.13083521030722967,-0.11916478969277033,near-UV
4173.451,2.582659466330795,-2.38,0.05,1,-2.74,VALD3,False,1,-2.157390760389438,C+,-0.3600000000000003,0.2226092396105619,-0.5826092396105622,blue
4233.162,2.582659466330795,-2.02,0.05,1,-1.9,T83av,False,1,-1.8068754016455384,C+,0.1200000000000001,0.21312459835446163,-0.09312459835446152,blue
4303.17,2.7043489652246624,-2.52,0.1,1,-2.56,T83av,False,1,-2.612610173661271,D+,-0.040000000000000036,-0.09261017366127078,0.05261017366127074,blue
4351.762,2.7043489652246624,-1.95,0.07,1,-2.02,T83av,False,1,-2.0757207139381184,C+,-0.07000000000000006,-0.12572071393811846,0.055720713938118394,blue
4385.377,2.7784632970873617,-2.64,0.07,1,-2.68,PGHcor,False,1,-2.5850266520291822,D,-0.040000000000000036,0.054973347970817876,-0.09497334797081791,blue
4416.819,2.7784632970873617,-2.57,0.09,1,-2.41,BSScor,False,1,-2.5850266520291822,D,0.1599999999999997,-0.015026652029182408,0.1750266520291821,blue
4508.281,2.855515149368406,-2.42,0.06,1,-2.25,T83av,False,1,-2.3565473235138126,D,0.16999999999999993,0.06345267648618735,0.10654732351381258,blue
4522.628,2.844117071232811,-2.29,0.06,1,-2.03,KK,False,1,-1.9913998282380825,C,0.26000000000000023,0.29860017176191755,-0.03860017176191732,blue
4549.466,2.8281224525179844,-1.92,0.06,1,-2.02,T83av,False,1,-1.7351821769904636,C+,-0.10000000000000009,0.1848178230095363,-0.2848178230095364,blue
4583.829,2.8066544769725676,-1.94,0.05,1,-1.86,T83av,False,1,-1.739928612014925,C+,0.07999999999999985,0.20007138798507484,-0.120071387985075,blue
