wave,ew_ref,ew_synth,abundance,status,ratio,n_fe1_in_window,n_neighbours,target_strength,window_strength,predicted_ratio,half_A,corrected_ratio
4800.649,72.5,128.47959859632547,7.49,ok,1.7721323944320755,4,3,2.2563768869645598e-05,2.4929753780514953e-05,1.1048577001713684,0.25,1.6039462766627863
4977.648,35.8,78.55067782311679,7.521,ok,2.194153011818905,1,0,3.421939676021727e-06,3.421939676021727e-06,1.0,0.25,2.194153011818905
4991.268,107.1,118.51282422122806,7.543,ok,1.1065623176585253,2,1,4.682728305426965e-05,4.684448246285076e-05,1.0003672946081705,0.25,1.1061560325119884
5222.395,25.5,80.11808683000093,7.433,ok,3.1418857580392525,1,0,1.5066791903864721e-06,1.5066791903864721e-06,1.0,0.25,3.1418857580392525
5267.269,33.6,255.24051945489583,7.44,ok,7.596444031395709,3,2,3.866574685858342e-06,3.954762255487668e-06,1.0228076726286615,0.25,7.427050299566592
5398.279,75.1,153.3075622133939,7.557,ok,2.0413789908574422,5,4,2.804386306522381e-05,2.804433037024621e-05,1.0000166633612964,0.25,2.0413449751885904
5472.709,46.1,59.71914262134515,7.458,ok,1.2954260872309142,1,0,6.757432321956413e-06,6.757432321956413e-06,1.0,0.25,1.2954260872309142
5491.832,14.8,13.545237079626874,7.398,ok,0.9152187215964104,3,2,1.4350428357348425e-06,1.4373019051604033e-06,1.001574217416586,0.25,0.9137802328389433
5618.632,52.7,100.02990426169002,7.521,ok,1.8981006501269453,2,1,1.1188753468873587e-05,1.1212958196944302e-05,1.002163308731223,0.25,1.8940033361728372
5753.122,81.9,92.14643597064996,7.548,ok,1.1251091083107443,1,0,3.9106547865049735e-05,3.9106547865049735e-05,1.0,0.25,1.1251091083107443
5855.076,24.8,32.84885497130175,7.413,ok,1.324550603681522,1,0,3.1505221433135683e-06,3.1505221433135683e-06,1.0,0.25,1.324550603681522
5930.18,90.8,143.1262010293428,7.525,ok,1.576279747019194,8,7,5.104610129689959e-05,5.106416509856764e-05,1.0003538723077594,0.25,1.5757221425882089
6085.258,45.1,22.350205663766456,7.463,ok,0.49556997037176176,1,0,3.132520854055378e-06,3.132520854055378e-06,1.0,0.25,0.49556997037176176
6151.617,50.8,53.50934487092543,7.499,ok,1.0533335604512881,2,1,6.323513061622795e-06,6.330801214327849e-06,1.0011525480589716,0.25,1.0521209405035075
6230.722,151.9,191.87769425281053,7.487,ok,1.2631842939618863,2,1,0.000305161784266585,0.00030516184523311486,1.0000001997842882,0.25,1.2631840415975617
6408.017,100.0,118.59778432760928,7.547,ok,1.1859778432760928,2,1,5.80036470819217e-05,5.8013030559603074e-05,1.0001617739254933,0.25,1.18578601401781
6494.98,157.2,325.7447821407421,7.538,ok,2.072167825322787,1,0,0.0004244955881120862,0.0004244955881120862,1.0,0.25,2.072167825322787
6793.258,14.6,22.500781350592256,7.676,ok,1.541149407574812,5,4,1.302911030685455e-06,1.3081874737797165e-06,1.00404973399564,0.25,1.5349333358635244
4800.649,72.5,128.47959859632547,7.49,ok,1.7721323944320755,4,3,2.2563768869645598e-05,2.4929753780514953e-05,1.1048577001713684,0.5,1.6039462766627863
4977.648,35.8,78.55067782311679,7.521,ok,2.194153011818905,2,1,3.421939676021727e-06,3.5430562959462366e-06,1.03539414232612,0.5,2.1191476000525884
4991.268,107.1,118.51282422122806,7.543,ok,1.1065623176585253,6,5,4.682728305426965e-05,4.698236193244236e-05,1.003311720605122,0.5,1.102909788586074
5222.395,25.5,80.11808683000093,7.433,ok,3.1418857580392525,1,0,1.5066791903864721e-06,1.5066791903864721e-06,1.0,0.5,3.1418857580392525
5267.269,33.6,255.24051945489583,7.44,ok,7.596444031395709,6,5,3.866574685858342e-06,4.602017075633435e-06,1.1902051426718614,0.5,6.382466147258148
5398.279,75.1,153.3075622133939,7.557,ok,2.0413789908574422,9,8,2.804386306522381e-05,2.8415012963997244e-05,1.0132346209903473,0.5,2.014715001410211
5472.709,46.1,59.71914262134515,7.458,ok,1.2954260872309142,3,2,6.757432321956413e-06,8.945227231152182e-06,1.3237612757270438,0.5,0.9785949407829844
5491.832,14.8,13.545237079626874,7.398,ok,0.9152187215964104,4,3,1.4350428357348425e-06,1.437302182425837e-06,1.0015744106271487,0.5,0.9137800565644787
5618.632,52.7,100.02990426169002,7.521,ok,1.8981006501269453,3,2,1.1188753468873587e-05,1.1220064308428472e-05,1.002798420721485,0.5,1.8928037887827103
5753.122,81.9,92.14643597064996,7.548,ok,1.1251091083107443,2,1,3.9106547865049735e-05,3.919748519608704e-05,1.0023253735244317,0.5,1.122498879135997
5855.076,24.8,32.84885497130175,7.413,ok,1.324550603681522,2,1,3.1505221433135683e-06,3.15741282128766e-06,1.0021871542749559,0.5,1.3216599295166418
5930.18,90.8,143.1262010293428,7.525,ok,1.576279747019194,10,9,5.104610129689959e-05,5.106495856848751e-05,1.000369416490365,0.5,1.575697658320381
6085.258,45.1,22.350205663766456,7.463,ok,0.49556997037176176,3,2,3.132520854055378e-06,3.1417740133271557e-06,1.0029539018901656,0.5,0.4941104166779861
6151.617,50.8,53.50934487092543,7.499,ok,1.0533335604512881,3,2,6.323513061622795e-06,6.330801653402598e-06,1.0011526174942276,0.5,1.0521208675333273
6230.722,151.9,191.87769425281053,7.487,ok,1.2631842939618863,2,1,0.000305161784266585,0.00030516184523311486,1.0000001997842882,0.5,1.2631840415975617
6408.017,100.0,118.59778432760928,7.547,ok,1.1859778432760928,6,5,5.80036470819217e-05,5.808970911891307e-05,1.0014837349256644,0.5,1.1842207735546724
6494.98,157.2,325.7447821407421,7.538,ok,2.072167825322787,2,1,0.0004244955881120862,0.00042707330328112865,1.0060724192223214,0.5,2.059660702083992
6793.258,14.6,22.500781350592256,7.676,ok,1.541149407574812,6,5,1.302911030685455e-06,1.3081875223915726e-06,1.0040497713058285,0.5,1.5349332788258618
4800.649,72.5,128.47959859632547,7.49,ok,1.7721323944320755,9,8,2.2563768869645598e-05,3.136338949668587e-05,1.3899889543221724,1.0,1.274925522912702
4977.648,35.8,78.55067782311679,7.521,ok,2.194153011818905,5,4,3.421939676021727e-06,4.834158764989455e-05,14.126954951495648,1.0,0.15531676991626606
4991.268,107.1,118.51282422122806,7.543,ok,1.1065623176585253,11,10,4.682728305426965e-05,5.055139576257839e-05,1.0795286949275436,1.0,1.0250420603528247
5222.395,25.5,80.11808683000093,7.433,ok,3.1418857580392525,4,3,1.5066791903864721e-06,1.3369141858083682e-05,8.873250485827986,1.0,0.35408509689401324
5267.269,33.6,255.24051945489583,7.44,ok,7.596444031395709,8,7,3.866574685858342e-06,0.0009981930327569411,258.159511675216,1.0,0.029425388908205733
