element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Fe,II,5256.9319,kpno_solar_atlas,37.07906499885031,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.508; red_chi2=0.56; n_pix=56; window +/-0.188 A wing-wide from EW 26 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.508,-5.151603576803402,ENGINE-B,True,,,,,,2.891,False,0.007200987563301126,129.39922020605633,2.491649370709357,0.56
Fe,II,5337.722,kpno_solar_atlas,24.945939867505782,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.553; red_chi2=8.325; n_pix=66; window +/-0.230 A wing-wide from EW 42 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.553,-5.3303560799164424,ENGINE-B,True,,,,,,3.2305,False,0.030328619473748746,8.993436518605238,2.446875595584716,8.325
Fe,II,5991.3709,kpno_solar_atlas,33.82568268459859,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.457; red_chi2=4.343; n_pix=67; window +/-0.225 A wing-wide from EW 40 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.457,-5.248279635248089,ENGINE-B,False,"REGISTRY-ASTROPHYSICAL_GF: exclude/active per data/registry/problem_children.csv [877,852,161,844] — carried, not dropped (RYA-711)",ASTROPHYSICAL_GF,active,"877,852,161,844",exclude,3.1528,False,0.019360891289694575,31.168289046732006,2.5432505985836507,4.343
Fe,II,6084.1017,kpno_solar_atlas,23.929913848564368,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.458; red_chi2=3.191; n_pix=53; window +/-0.184 A wing-wide from EW 25 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.458,-5.40525532988843,ENGINE-B,True,,,,,,3.1995,False,0.020054308869592273,23.412784146647375,2.5415970415194415,3.191
Fe,II,6147.7341,kpno_solar_atlas,72.6877101093802,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.469; red_chi2=5.211; n_pix=91; window +/-0.320 A wing-wide from EW 77 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.469,-4.927254087820086,ENGINE-B,True,,,,,,3.8887,False,0.007080841003372382,65.05751899474328,2.5309847826346648,5.211
Fe,II,6149.2459,kpno_solar_atlas,41.43692347960987,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.492; red_chi2=2.221; n_pix=65; window +/-0.228 A wing-wide from EW 41 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.492,-5.1714343568760155,ENGINE-B,True,,,,,,3.8892,False,0.015224961014097817,76.66256186748753,2.5077765192111734,2.221
Fe,II,6238.3859,kpno_solar_atlas,40.215949397038,SYNTHESIS (VIS) via _fit_synth_flux,,-5.190673910496718,ENGINE-B,False,CHI2-GATE: red_chi2 12.434 >= 10.0. The fit converged (A=7.361) but does not describe the observed flux well enough to carry an abundance. Measured and retained; excluded from the aggregate only.,,,,,3.8887,False,0.038627158132324736,11.270585302906266,2.638705927675816,12.434
Fe,II,6247.557,kpno_solar_atlas,67.94081144238953,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.465; red_chi2=6.149; n_pix=79; window +/-0.283 A wing-wide from EW 63 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.465,-4.963579497625459,ENGINE-B,True,,,,,,3.8916,False,0.022475530129458104,44.162816651784794,2.535335154301249,6.149
Fe,II,6369.459,kpno_solar_atlas,43.407101938932534,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.486; red_chi2=0.845; n_pix=49; window +/-0.182 A wing-wide from EW 24 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.486,-5.166541755141643,ENGINE-B,True,,,,,,2.891,False,0.011095543952907898,71.3052709345516,2.514281605382057,0.845
Fe,II,6432.6757,kpno_solar_atlas,43.239876721441995,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.419; red_chi2=5.523; n_pix=62; window +/-0.240 A wing-wide from EW 46 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.419,-5.17250721012911,ENGINE-B,True,,,,,,2.891,False,0.02238210454398592,35.54734918870187,2.5813738734389498,5.523
Fe,II,6456.3796,kpno_solar_atlas,67.99493103666127,"SYNTHESIS via _fit_synth_flux (synth-v2, RYA-287); A=7.517; red_chi2=4.602; n_pix=80; window +/-0.309 A wing-wide from EW 73 mA; R=500000, vmac=3.8, vsini=1.8; EW is the SYNTHETIC target-line EW over +/-1.00 A, not the measurement",7.517,-4.977512518983065,ENGINE-B,True,,,,,,3.9034,False,0.022742840223145967,71.898169470481,2.48293200020011,4.602
