wave,ew_ref,ew_synth,abundance,a_banked,frac_rise_weaker,sigma_A,edge_distance_dex,red_chi2,status,ew_obs,a_engine,ew_engine
4800.649,72.5,128.47959859632547,7.49,7.495,56.41939334210698,0.0262341724031001,2.5095181972937297,8.095,ok,72.5,7.495,129.87594650329805
4977.648,35.8,78.55067782311679,7.521,7.515,21.04936468508956,0.026826082914715,2.4788975869130354,5.93,ok,35.8,7.515,77.7626942999835
4991.268,107.1,118.51282422122806,7.543,7.552,51.48788811633945,0.0294349487476892,2.457366975766232,5.919,ok,107.1,7.552,119.6514292569729
5222.395,25.5,80.11808683000093,7.433,7.427,69.72538539824853,0.0119648087390674,2.56744179620617,0.891,ok,25.5,7.427,80.11808683000093
5267.269,33.6,255.24051945489583,7.44,7.551,66.23770490547818,0.0134933411109507,2.559948915924596,1.998,ok,33.6,7.551,281.74690541481584
5398.279,75.1,153.3075622133939,7.557,7.557,109.98427144489092,0.016003566723664,2.4431425324538028,2.022,ok,75.1,7.557,153.3075622133939
5472.709,46.1,59.71914262134515,7.458,7.458,24.51359363114473,0.0279605444111197,2.5416310588646214,6.425,ok,46.1,7.458,59.71914262134515
5491.832,14.8,13.545237079626874,7.398,7.391,18.583739501973582,0.0248451687239982,2.602086068782392,1.639,ok,14.8,7.391,13.284632199298919
5618.632,52.7,100.02990426169002,7.521,7.519,116.98110977844613,0.0169156294725404,2.478905118200281,2.563,ok,52.7,7.519,100.02990426169002
5753.122,81.9,92.14643597064996,7.548,7.554,146.88446083410574,0.0200061600382441,2.4524976003654366,2.503,ok,81.9,7.554,92.14643597064995
5855.076,24.8,32.84885497130175,7.413,7.414,38.584202662503735,0.0174374427496735,2.586947770920798,2.051,ok,24.8,7.414,32.84885497130175
5930.18,90.8,143.1262010293428,7.525,7.521,265.8137918902507,0.0123042766359907,2.475452163629763,1.255,ok,90.8,7.521,141.8795578155557
6085.258,45.1,22.350205663766456,7.463,7.458,86.73349661125252,0.0115322233686244,2.5372934807475342,0.625,ok,45.1,7.458,22.350205663766456
6151.617,50.8,53.50934487092543,7.499,7.49,255.0590724205911,0.0126247024779895,2.5013874732657104,1.065,ok,50.8,7.49,53.02970603000022
6230.722,151.9,191.87769425281053,7.487,7.496,260.974804102169,0.01652488038896,2.51254769052517,2.186,ok,151.9,7.496,193.33731927158115
6408.017,100.0,118.59778432760928,7.547,7.55,108.61279966188404,0.0200947686272897,2.453074369412893,3.254,ok,100.0,7.55,118.59778432760929
6494.98,157.2,325.7447821407421,7.538,7.545,239.38327970237003,0.01209696004781,2.4620762326548027,3.117,ok,157.2,7.545,325.7447821407421
6793.258,14.6,22.500781350592256,7.676,7.67,16.73905912874015,0.0281736264275031,2.324008090799764,4.366,ok,14.6,7.67,22.127486397279927
